BusinessPartner,AddressID,Person,OrdinalNumber,FaxCountry,FaxAreaCodeSubscriberNumber,FaxNumberExtension,InternationalFaxNumber,IsDefaultFaxNumber,ValidityEndDate,ValidityStartDate
x-22430275,x-22430275,x-22430275,275,275,aCodeSubscriberNumber-22430275,n-22430275,nternationalFaxNumber-22430275,false,2021-04-13,2001-12-24
x-22430276,x-22430276,x-22430276,276,276,aCodeSubscriberNumber-22430276,n-22430276,nternationalFaxNumber-22430276,true,2020-08-01,2002-03-12
x-22430277,x-22430277,x-22430277,277,277,aCodeSubscriberNumber-22430277,n-22430277,nternationalFaxNumber-22430277,false,2001-12-20,2009-05-05
x-22430278,x-22430278,x-22430278,278,278,aCodeSubscriberNumber-22430278,n-22430278,nternationalFaxNumber-22430278,true,2007-02-20,2006-04-15
x-22430279,x-22430279,x-22430279,279,279,aCodeSubscriberNumber-22430279,n-22430279,nternationalFaxNumber-22430279,false,2005-04-21,2010-06-22
x-22430280,x-22430280,x-22430280,280,280,aCodeSubscriberNumber-22430280,n-22430280,nternationalFaxNumber-22430280,true,2005-04-10,2023-09-27
x-22430281,x-22430281,x-22430281,281,281,aCodeSubscriberNumber-22430281,n-22430281,nternationalFaxNumber-22430281,false,2010-04-03,2017-01-03
x-22430282,x-22430282,x-22430282,282,282,aCodeSubscriberNumber-22430282,n-22430282,nternationalFaxNumber-22430282,true,2007-01-18,2006-03-30
x-22430283,x-22430283,x-22430283,283,283,aCodeSubscriberNumber-22430283,n-22430283,nternationalFaxNumber-22430283,false,2020-12-16,2018-11-02
x-22430284,x-22430284,x-22430284,284,284,aCodeSubscriberNumber-22430284,n-22430284,nternationalFaxNumber-22430284,true,2010-10-18,2004-06-19
x-22430285,x-22430285,x-22430285,285,285,aCodeSubscriberNumber-22430285,n-22430285,nternationalFaxNumber-22430285,false,2016-01-12,2023-06-22
x-22430286,x-22430286,x-22430286,286,286,aCodeSubscriberNumber-22430286,n-22430286,nternationalFaxNumber-22430286,true,2002-11-15,2021-11-05
x-22430287,x-22430287,x-22430287,287,287,aCodeSubscriberNumber-22430287,n-22430287,nternationalFaxNumber-22430287,false,2016-07-04,2010-03-09
x-22430288,x-22430288,x-22430288,288,288,aCodeSubscriberNumber-22430288,n-22430288,nternationalFaxNumber-22430288,true,2023-09-15,2012-11-12
x-22430289,x-22430289,x-22430289,289,289,aCodeSubscriberNumber-22430289,n-22430289,nternationalFaxNumber-22430289,false,2016-02-02,2021-07-12
x-22430290,x-22430290,x-22430290,290,290,aCodeSubscriberNumber-22430290,n-22430290,nternationalFaxNumber-22430290,true,2004-03-20,2004-04-25
x-22430291,x-22430291,x-22430291,291,291,aCodeSubscriberNumber-22430291,n-22430291,nternationalFaxNumber-22430291,false,2018-07-13,2017-08-08
x-22430292,x-22430292,x-22430292,292,292,aCodeSubscriberNumber-22430292,n-22430292,nternationalFaxNumber-22430292,true,2023-07-14,2008-06-01
x-22430293,x-22430293,x-22430293,293,293,aCodeSubscriberNumber-22430293,n-22430293,nternationalFaxNumber-22430293,false,2015-02-19,2023-02-14
x-22430294,x-22430294,x-22430294,294,294,aCodeSubscriberNumber-22430294,n-22430294,nternationalFaxNumber-22430294,true,2019-03-07,2001-04-16
x-22430295,x-22430295,x-22430295,295,295,aCodeSubscriberNumber-22430295,n-22430295,nternationalFaxNumber-22430295,false,2020-03-30,2018-04-11
x-22430296,x-22430296,x-22430296,296,296,aCodeSubscriberNumber-22430296,n-22430296,nternationalFaxNumber-22430296,true,2020-09-09,2015-10-18
x-22430297,x-22430297,x-22430297,297,297,aCodeSubscriberNumber-22430297,n-22430297,nternationalFaxNumber-22430297,false,2014-05-20,2010-12-19
x-22430298,x-22430298,x-22430298,298,298,aCodeSubscriberNumber-22430298,n-22430298,nternationalFaxNumber-22430298,true,2015-04-25,2017-10-13
x-22430299,x-22430299,x-22430299,299,299,aCodeSubscriberNumber-22430299,n-22430299,nternationalFaxNumber-22430299,false,2021-02-12,2007-12-28
x-22430300,x-22430300,x-22430300,300,300,aCodeSubscriberNumber-22430300,n-22430300,nternationalFaxNumber-22430300,true,2002-12-07,2004-07-30
x-22430301,x-22430301,x-22430301,301,301,aCodeSubscriberNumber-22430301,n-22430301,nternationalFaxNumber-22430301,false,2000-02-27,2015-04-19
x-22430302,x-22430302,x-22430302,302,302,aCodeSubscriberNumber-22430302,n-22430302,nternationalFaxNumber-22430302,true,2018-05-05,2013-05-02
x-22430303,x-22430303,x-22430303,303,303,aCodeSubscriberNumber-22430303,n-22430303,nternationalFaxNumber-22430303,false,2009-01-27,2004-06-11
x-22430304,x-22430304,x-22430304,304,304,aCodeSubscriberNumber-22430304,n-22430304,nternationalFaxNumber-22430304,true,2021-07-27,2006-11-16
x-22430305,x-22430305,x-22430305,305,305,aCodeSubscriberNumber-22430305,n-22430305,nternationalFaxNumber-22430305,false,2007-03-09,2013-11-12
x-22430306,x-22430306,x-22430306,306,306,aCodeSubscriberNumber-22430306,n-22430306,nternationalFaxNumber-22430306,true,2010-07-15,2016-08-20
x-22430307,x-22430307,x-22430307,307,307,aCodeSubscriberNumber-22430307,n-22430307,nternationalFaxNumber-22430307,false,2007-11-09,2004-04-04
x-22430308,x-22430308,x-22430308,308,308,aCodeSubscriberNumber-22430308,n-22430308,nternationalFaxNumber-22430308,true,2005-02-27,2020-07-22
x-22430309,x-22430309,x-22430309,309,309,aCodeSubscriberNumber-22430309,n-22430309,nternationalFaxNumber-22430309,false,2000-11-17,2022-03-30
x-22430310,x-22430310,x-22430310,310,310,aCodeSubscriberNumber-22430310,n-22430310,nternationalFaxNumber-22430310,true,2016-12-10,2003-09-26
x-22430311,x-22430311,x-22430311,311,311,aCodeSubscriberNumber-22430311,n-22430311,nternationalFaxNumber-22430311,false,2019-08-18,2002-08-18
x-22430312,x-22430312,x-22430312,312,312,aCodeSubscriberNumber-22430312,n-22430312,nternationalFaxNumber-22430312,true,2001-07-03,2012-04-24
x-22430313,x-22430313,x-22430313,313,313,aCodeSubscriberNumber-22430313,n-22430313,nternationalFaxNumber-22430313,false,2016-10-10,2018-04-06
x-22430314,x-22430314,x-22430314,314,314,aCodeSubscriberNumber-22430314,n-22430314,nternationalFaxNumber-22430314,true,2002-10-05,2019-04-03
x-22430315,x-22430315,x-22430315,315,315,aCodeSubscriberNumber-22430315,n-22430315,nternationalFaxNumber-22430315,false,2014-04-11,2004-11-05
x-22430316,x-22430316,x-22430316,316,316,aCodeSubscriberNumber-22430316,n-22430316,nternationalFaxNumber-22430316,true,2010-10-27,2022-05-25
x-22430317,x-22430317,x-22430317,317,317,aCodeSubscriberNumber-22430317,n-22430317,nternationalFaxNumber-22430317,false,2006-10-05,2007-05-10
x-22430318,x-22430318,x-22430318,318,318,aCodeSubscriberNumber-22430318,n-22430318,nternationalFaxNumber-22430318,true,2019-07-05,2016-11-12
x-22430319,x-22430319,x-22430319,319,319,aCodeSubscriberNumber-22430319,n-22430319,nternationalFaxNumber-22430319,false,2004-10-17,2012-03-20
x-22430320,x-22430320,x-22430320,320,320,aCodeSubscriberNumber-22430320,n-22430320,nternationalFaxNumber-22430320,true,2014-10-25,2005-06-09
x-22430321,x-22430321,x-22430321,321,321,aCodeSubscriberNumber-22430321,n-22430321,nternationalFaxNumber-22430321,false,2021-12-29,2007-04-13
x-22430322,x-22430322,x-22430322,322,322,aCodeSubscriberNumber-22430322,n-22430322,nternationalFaxNumber-22430322,true,2019-04-05,2000-05-31
x-22430323,x-22430323,x-22430323,323,323,aCodeSubscriberNumber-22430323,n-22430323,nternationalFaxNumber-22430323,false,2010-02-09,2006-05-13
x-22430324,x-22430324,x-22430324,324,324,aCodeSubscriberNumber-22430324,n-22430324,nternationalFaxNumber-22430324,true,2017-08-27,2018-06-15
x-22430325,x-22430325,x-22430325,325,325,aCodeSubscriberNumber-22430325,n-22430325,nternationalFaxNumber-22430325,false,2017-01-19,2009-07-03
x-22430326,x-22430326,x-22430326,326,326,aCodeSubscriberNumber-22430326,n-22430326,nternationalFaxNumber-22430326,true,2010-08-06,2014-05-10
x-22430327,x-22430327,x-22430327,327,327,aCodeSubscriberNumber-22430327,n-22430327,nternationalFaxNumber-22430327,false,2000-12-10,2017-07-14
x-22430328,x-22430328,x-22430328,328,328,aCodeSubscriberNumber-22430328,n-22430328,nternationalFaxNumber-22430328,true,2014-02-26,2017-02-28
x-22430329,x-22430329,x-22430329,329,329,aCodeSubscriberNumber-22430329,n-22430329,nternationalFaxNumber-22430329,false,2017-12-05,2002-08-24
x-22430330,x-22430330,x-22430330,330,330,aCodeSubscriberNumber-22430330,n-22430330,nternationalFaxNumber-22430330,true,2022-09-23,2016-03-25
x-22430331,x-22430331,x-22430331,331,331,aCodeSubscriberNumber-22430331,n-22430331,nternationalFaxNumber-22430331,false,2019-04-18,2010-06-02
x-22430332,x-22430332,x-22430332,332,332,aCodeSubscriberNumber-22430332,n-22430332,nternationalFaxNumber-22430332,true,2022-02-27,2010-10-29
x-22430333,x-22430333,x-22430333,333,333,aCodeSubscriberNumber-22430333,n-22430333,nternationalFaxNumber-22430333,false,2008-01-15,2011-06-13
x-22430334,x-22430334,x-22430334,334,334,aCodeSubscriberNumber-22430334,n-22430334,nternationalFaxNumber-22430334,true,2007-10-09,2021-04-09
x-22430335,x-22430335,x-22430335,335,335,aCodeSubscriberNumber-22430335,n-22430335,nternationalFaxNumber-22430335,false,2005-02-17,2007-06-22
x-22430336,x-22430336,x-22430336,336,336,aCodeSubscriberNumber-22430336,n-22430336,nternationalFaxNumber-22430336,true,2019-09-19,2020-06-08
x-22430337,x-22430337,x-22430337,337,337,aCodeSubscriberNumber-22430337,n-22430337,nternationalFaxNumber-22430337,false,2017-12-18,2017-09-15
x-22430338,x-22430338,x-22430338,338,338,aCodeSubscriberNumber-22430338,n-22430338,nternationalFaxNumber-22430338,true,2007-05-17,2017-01-22
x-22430339,x-22430339,x-22430339,339,339,aCodeSubscriberNumber-22430339,n-22430339,nternationalFaxNumber-22430339,false,2012-01-20,2022-06-08
x-22430340,x-22430340,x-22430340,340,340,aCodeSubscriberNumber-22430340,n-22430340,nternationalFaxNumber-22430340,true,2014-11-01,2017-01-01
x-22430341,x-22430341,x-22430341,341,341,aCodeSubscriberNumber-22430341,n-22430341,nternationalFaxNumber-22430341,false,2019-03-04,2003-02-04
x-22430342,x-22430342,x-22430342,342,342,aCodeSubscriberNumber-22430342,n-22430342,nternationalFaxNumber-22430342,true,2023-08-15,2011-10-08
x-22430343,x-22430343,x-22430343,343,343,aCodeSubscriberNumber-22430343,n-22430343,nternationalFaxNumber-22430343,false,2005-08-15,2006-03-05
x-22430344,x-22430344,x-22430344,344,344,aCodeSubscriberNumber-22430344,n-22430344,nternationalFaxNumber-22430344,true,2008-03-23,2009-03-25
x-22430345,x-22430345,x-22430345,345,345,aCodeSubscriberNumber-22430345,n-22430345,nternationalFaxNumber-22430345,false,2013-02-07,2002-03-15
x-22430346,x-22430346,x-22430346,346,346,aCodeSubscriberNumber-22430346,n-22430346,nternationalFaxNumber-22430346,true,2020-09-30,2009-10-07
x-22430347,x-22430347,x-22430347,347,347,aCodeSubscriberNumber-22430347,n-22430347,nternationalFaxNumber-22430347,false,2015-10-31,2012-08-22
