BusinessPartner,PaymentCardID,PaymentCardType,CardNumber,IsStandardCard,CardDescription,ValidityDate,ValidityEndDate,CardHolder,CardIssuingBank,CardIssueDate,PaymentCardLock,MaskedCardNumber
d-30206229,206229,6229,rtnerPaymentCard-30206229,false,CardDescription-30206229,2015-12-20,2009-03-13,CardHolder-30206229,CardIssuingBank-30206229,2013-02-22,29,MaskedCardNumber-30206229
d-30206230,206230,6230,rtnerPaymentCard-30206230,true,CardDescription-30206230,2023-08-01,2014-02-03,CardHolder-30206230,CardIssuingBank-30206230,2016-09-30,30,MaskedCardNumber-30206230
d-30206231,206231,6231,rtnerPaymentCard-30206231,false,CardDescription-30206231,2015-05-13,2008-09-22,CardHolder-30206231,CardIssuingBank-30206231,2015-07-26,31,MaskedCardNumber-30206231
d-30206232,206232,6232,rtnerPaymentCard-30206232,true,CardDescription-30206232,2020-04-19,2021-10-25,CardHolder-30206232,CardIssuingBank-30206232,2023-12-25,32,MaskedCardNumber-30206232
d-30206233,206233,6233,rtnerPaymentCard-30206233,false,CardDescription-30206233,2008-01-13,2011-09-25,CardHolder-30206233,CardIssuingBank-30206233,2017-02-22,33,MaskedCardNumber-30206233
d-30206234,206234,6234,rtnerPaymentCard-30206234,true,CardDescription-30206234,2014-06-04,2010-04-24,CardHolder-30206234,CardIssuingBank-30206234,2003-02-23,34,MaskedCardNumber-30206234
d-30206235,206235,6235,rtnerPaymentCard-30206235,false,CardDescription-30206235,2003-08-17,2019-10-04,CardHolder-30206235,CardIssuingBank-30206235,2003-06-17,35,MaskedCardNumber-30206235
d-30206236,206236,6236,rtnerPaymentCard-30206236,true,CardDescription-30206236,2020-06-04,2002-01-10,CardHolder-30206236,CardIssuingBank-30206236,2006-12-20,36,MaskedCardNumber-30206236
d-30206237,206237,6237,rtnerPaymentCard-30206237,false,CardDescription-30206237,2009-09-30,2022-06-28,CardHolder-30206237,CardIssuingBank-30206237,2007-02-15,37,MaskedCardNumber-30206237
d-30206238,206238,6238,rtnerPaymentCard-30206238,true,CardDescription-30206238,2006-02-22,2000-10-10,CardHolder-30206238,CardIssuingBank-30206238,2014-05-12,38,MaskedCardNumber-30206238
d-30206239,206239,6239,rtnerPaymentCard-30206239,false,CardDescription-30206239,2023-07-13,2016-10-31,CardHolder-30206239,CardIssuingBank-30206239,2017-06-24,39,MaskedCardNumber-30206239
d-30206240,206240,6240,rtnerPaymentCard-30206240,true,CardDescription-30206240,2018-01-10,2003-07-29,CardHolder-30206240,CardIssuingBank-30206240,2003-08-24,40,MaskedCardNumber-30206240
d-30206241,206241,6241,rtnerPaymentCard-30206241,false,CardDescription-30206241,2002-12-19,2007-07-13,CardHolder-30206241,CardIssuingBank-30206241,2006-02-02,41,MaskedCardNumber-30206241
d-30206242,206242,6242,rtnerPaymentCard-30206242,true,CardDescription-30206242,2000-06-04,2013-08-22,CardHolder-30206242,CardIssuingBank-30206242,2013-08-30,42,MaskedCardNumber-30206242
d-30206243,206243,6243,rtnerPaymentCard-30206243,false,CardDescription-30206243,2010-12-23,2002-08-18,CardHolder-30206243,CardIssuingBank-30206243,2018-06-06,43,MaskedCardNumber-30206243
d-30206244,206244,6244,rtnerPaymentCard-30206244,true,CardDescription-30206244,2020-12-27,2007-07-27,CardHolder-30206244,CardIssuingBank-30206244,2002-03-04,44,MaskedCardNumber-30206244
d-30206245,206245,6245,rtnerPaymentCard-30206245,false,CardDescription-30206245,2005-07-05,2015-03-12,CardHolder-30206245,CardIssuingBank-30206245,2016-08-13,45,MaskedCardNumber-30206245
d-30206246,206246,6246,rtnerPaymentCard-30206246,true,CardDescription-30206246,2011-10-31,2014-01-18,CardHolder-30206246,CardIssuingBank-30206246,2023-03-14,46,MaskedCardNumber-30206246
d-30206247,206247,6247,rtnerPaymentCard-30206247,false,CardDescription-30206247,2013-07-09,2001-07-27,CardHolder-30206247,CardIssuingBank-30206247,2023-03-18,47,MaskedCardNumber-30206247
d-30206248,206248,6248,rtnerPaymentCard-30206248,true,CardDescription-30206248,2018-07-12,2004-03-01,CardHolder-30206248,CardIssuingBank-30206248,2016-04-16,48,MaskedCardNumber-30206248
d-30206249,206249,6249,rtnerPaymentCard-30206249,false,CardDescription-30206249,2000-01-05,2006-01-04,CardHolder-30206249,CardIssuingBank-30206249,2002-03-15,49,MaskedCardNumber-30206249
d-30206250,206250,6250,rtnerPaymentCard-30206250,true,CardDescription-30206250,2019-05-30,2001-08-29,CardHolder-30206250,CardIssuingBank-30206250,2019-08-12,50,MaskedCardNumber-30206250
d-30206251,206251,6251,rtnerPaymentCard-30206251,false,CardDescription-30206251,2002-02-19,2005-10-01,CardHolder-30206251,CardIssuingBank-30206251,2009-10-12,51,MaskedCardNumber-30206251
d-30206252,206252,6252,rtnerPaymentCard-30206252,true,CardDescription-30206252,2011-05-13,2004-04-14,CardHolder-30206252,CardIssuingBank-30206252,2007-09-22,52,MaskedCardNumber-30206252
d-30206253,206253,6253,rtnerPaymentCard-30206253,false,CardDescription-30206253,2011-06-13,2014-05-28,CardHolder-30206253,CardIssuingBank-30206253,2016-07-26,53,MaskedCardNumber-30206253
d-30206254,206254,6254,rtnerPaymentCard-30206254,true,CardDescription-30206254,2018-03-22,2005-05-07,CardHolder-30206254,CardIssuingBank-30206254,2008-05-14,54,MaskedCardNumber-30206254
d-30206255,206255,6255,rtnerPaymentCard-30206255,false,CardDescription-30206255,2019-09-02,2014-11-03,CardHolder-30206255,CardIssuingBank-30206255,2014-08-23,55,MaskedCardNumber-30206255
d-30206256,206256,6256,rtnerPaymentCard-30206256,true,CardDescription-30206256,2007-01-22,2018-08-24,CardHolder-30206256,CardIssuingBank-30206256,2008-02-27,56,MaskedCardNumber-30206256
d-30206257,206257,6257,rtnerPaymentCard-30206257,false,CardDescription-30206257,2022-07-09,2009-04-18,CardHolder-30206257,CardIssuingBank-30206257,2007-04-17,57,MaskedCardNumber-30206257
d-30206258,206258,6258,rtnerPaymentCard-30206258,true,CardDescription-30206258,2009-10-05,2009-03-08,CardHolder-30206258,CardIssuingBank-30206258,2016-09-11,58,MaskedCardNumber-30206258
d-30206259,206259,6259,rtnerPaymentCard-30206259,false,CardDescription-30206259,2011-11-15,2016-04-12,CardHolder-30206259,CardIssuingBank-30206259,2017-11-12,59,MaskedCardNumber-30206259
d-30206260,206260,6260,rtnerPaymentCard-30206260,true,CardDescription-30206260,2023-05-09,2019-11-22,CardHolder-30206260,CardIssuingBank-30206260,2001-06-06,60,MaskedCardNumber-30206260
d-30206261,206261,6261,rtnerPaymentCard-30206261,false,CardDescription-30206261,2010-01-04,2012-02-17,CardHolder-30206261,CardIssuingBank-30206261,2020-06-27,61,MaskedCardNumber-30206261
d-30206262,206262,6262,rtnerPaymentCard-30206262,true,CardDescription-30206262,2010-04-17,2019-02-19,CardHolder-30206262,CardIssuingBank-30206262,2008-11-06,62,MaskedCardNumber-30206262
d-30206263,206263,6263,rtnerPaymentCard-30206263,false,CardDescription-30206263,2006-10-21,2021-04-04,CardHolder-30206263,CardIssuingBank-30206263,2001-04-01,63,MaskedCardNumber-30206263
d-30206264,206264,6264,rtnerPaymentCard-30206264,true,CardDescription-30206264,2002-11-26,2023-11-29,CardHolder-30206264,CardIssuingBank-30206264,2016-08-28,64,MaskedCardNumber-30206264
d-30206265,206265,6265,rtnerPaymentCard-30206265,false,CardDescription-30206265,2022-11-29,2002-12-20,CardHolder-30206265,CardIssuingBank-30206265,2008-09-26,65,MaskedCardNumber-30206265
d-30206266,206266,6266,rtnerPaymentCard-30206266,true,CardDescription-30206266,2004-10-06,2007-02-01,CardHolder-30206266,CardIssuingBank-30206266,2006-02-21,66,MaskedCardNumber-30206266
d-30206267,206267,6267,rtnerPaymentCard-30206267,false,CardDescription-30206267,2001-08-13,2007-12-26,CardHolder-30206267,CardIssuingBank-30206267,2015-09-06,67,MaskedCardNumber-30206267
d-30206268,206268,6268,rtnerPaymentCard-30206268,true,CardDescription-30206268,2005-12-01,2001-11-04,CardHolder-30206268,CardIssuingBank-30206268,2023-05-09,68,MaskedCardNumber-30206268
d-30206269,206269,6269,rtnerPaymentCard-30206269,false,CardDescription-30206269,2019-04-18,2020-03-25,CardHolder-30206269,CardIssuingBank-30206269,2021-05-01,69,MaskedCardNumber-30206269
d-30206270,206270,6270,rtnerPaymentCard-30206270,true,CardDescription-30206270,2009-08-19,2003-01-29,CardHolder-30206270,CardIssuingBank-30206270,2022-02-16,70,MaskedCardNumber-30206270
d-30206271,206271,6271,rtnerPaymentCard-30206271,false,CardDescription-30206271,2021-01-08,2014-11-09,CardHolder-30206271,CardIssuingBank-30206271,2012-12-18,71,MaskedCardNumber-30206271
d-30206272,206272,6272,rtnerPaymentCard-30206272,true,CardDescription-30206272,2022-08-28,2017-07-06,CardHolder-30206272,CardIssuingBank-30206272,2011-01-22,72,MaskedCardNumber-30206272
d-30206273,206273,6273,rtnerPaymentCard-30206273,false,CardDescription-30206273,2000-03-02,2000-01-19,CardHolder-30206273,CardIssuingBank-30206273,2002-06-21,73,MaskedCardNumber-30206273
d-30206274,206274,6274,rtnerPaymentCard-30206274,true,CardDescription-30206274,2009-01-19,2016-08-22,CardHolder-30206274,CardIssuingBank-30206274,2004-07-08,74,MaskedCardNumber-30206274
d-30206275,206275,6275,rtnerPaymentCard-30206275,false,CardDescription-30206275,2004-11-19,2002-07-05,CardHolder-30206275,CardIssuingBank-30206275,2010-03-10,75,MaskedCardNumber-30206275
d-30206276,206276,6276,rtnerPaymentCard-30206276,true,CardDescription-30206276,2017-02-05,2008-01-27,CardHolder-30206276,CardIssuingBank-30206276,2021-12-28,76,MaskedCardNumber-30206276
d-30206277,206277,6277,rtnerPaymentCard-30206277,false,CardDescription-30206277,2001-04-28,2006-09-30,CardHolder-30206277,CardIssuingBank-30206277,2006-05-15,77,MaskedCardNumber-30206277
d-30206278,206278,6278,rtnerPaymentCard-30206278,true,CardDescription-30206278,2023-01-18,2017-01-15,CardHolder-30206278,CardIssuingBank-30206278,2005-11-13,78,MaskedCardNumber-30206278
d-30206279,206279,6279,rtnerPaymentCard-30206279,false,CardDescription-30206279,2022-11-21,2006-04-06,CardHolder-30206279,CardIssuingBank-30206279,2004-09-10,79,MaskedCardNumber-30206279
d-30206280,206280,6280,rtnerPaymentCard-30206280,true,CardDescription-30206280,2002-11-10,2016-01-10,CardHolder-30206280,CardIssuingBank-30206280,2003-02-08,80,MaskedCardNumber-30206280
d-30206281,206281,6281,rtnerPaymentCard-30206281,false,CardDescription-30206281,2008-05-06,2009-08-23,CardHolder-30206281,CardIssuingBank-30206281,2003-03-24,81,MaskedCardNumber-30206281
d-30206282,206282,6282,rtnerPaymentCard-30206282,true,CardDescription-30206282,2020-11-14,2021-11-22,CardHolder-30206282,CardIssuingBank-30206282,2005-05-07,82,MaskedCardNumber-30206282
d-30206283,206283,6283,rtnerPaymentCard-30206283,false,CardDescription-30206283,2017-06-22,2004-09-22,CardHolder-30206283,CardIssuingBank-30206283,2018-12-26,83,MaskedCardNumber-30206283
d-30206284,206284,6284,rtnerPaymentCard-30206284,true,CardDescription-30206284,2011-09-16,2010-07-08,CardHolder-30206284,CardIssuingBank-30206284,2007-04-26,84,MaskedCardNumber-30206284
d-30206285,206285,6285,rtnerPaymentCard-30206285,false,CardDescription-30206285,2016-02-27,2016-05-09,CardHolder-30206285,CardIssuingBank-30206285,2022-09-14,85,MaskedCardNumber-30206285
d-30206286,206286,6286,rtnerPaymentCard-30206286,true,CardDescription-30206286,2002-01-17,2003-07-24,CardHolder-30206286,CardIssuingBank-30206286,2010-03-15,86,MaskedCardNumber-30206286
d-30206287,206287,6287,rtnerPaymentCard-30206287,false,CardDescription-30206287,2020-10-15,2001-09-23,CardHolder-30206287,CardIssuingBank-30206287,2022-12-19,87,MaskedCardNumber-30206287
d-30206288,206288,6288,rtnerPaymentCard-30206288,true,CardDescription-30206288,2018-09-15,2001-07-25,CardHolder-30206288,CardIssuingBank-30206288,2018-10-01,88,MaskedCardNumber-30206288
d-30206289,206289,6289,rtnerPaymentCard-30206289,false,CardDescription-30206289,2010-01-16,2015-08-28,CardHolder-30206289,CardIssuingBank-30206289,2007-06-16,89,MaskedCardNumber-30206289
d-30206290,206290,6290,rtnerPaymentCard-30206290,true,CardDescription-30206290,2012-12-20,2008-12-02,CardHolder-30206290,CardIssuingBank-30206290,2003-01-29,90,MaskedCardNumber-30206290
d-30206291,206291,6291,rtnerPaymentCard-30206291,false,CardDescription-30206291,2020-05-29,2020-04-15,CardHolder-30206291,CardIssuingBank-30206291,2014-05-11,91,MaskedCardNumber-30206291
d-30206292,206292,6292,rtnerPaymentCard-30206292,true,CardDescription-30206292,2017-05-19,2019-02-13,CardHolder-30206292,CardIssuingBank-30206292,2007-05-01,92,MaskedCardNumber-30206292
d-30206293,206293,6293,rtnerPaymentCard-30206293,false,CardDescription-30206293,2019-05-29,2016-03-07,CardHolder-30206293,CardIssuingBank-30206293,2019-11-21,93,MaskedCardNumber-30206293
d-30206294,206294,6294,rtnerPaymentCard-30206294,true,CardDescription-30206294,2007-08-18,2013-10-04,CardHolder-30206294,CardIssuingBank-30206294,2015-08-15,94,MaskedCardNumber-30206294
d-30206295,206295,6295,rtnerPaymentCard-30206295,false,CardDescription-30206295,2020-05-23,2022-08-03,CardHolder-30206295,CardIssuingBank-30206295,2002-07-09,95,MaskedCardNumber-30206295
d-30206296,206296,6296,rtnerPaymentCard-30206296,true,CardDescription-30206296,2002-05-11,2009-03-01,CardHolder-30206296,CardIssuingBank-30206296,2005-12-11,96,MaskedCardNumber-30206296
d-30206297,206297,6297,rtnerPaymentCard-30206297,false,CardDescription-30206297,2020-05-25,2006-06-14,CardHolder-30206297,CardIssuingBank-30206297,2012-10-24,97,MaskedCardNumber-30206297
d-30206298,206298,6298,rtnerPaymentCard-30206298,true,CardDescription-30206298,2023-11-08,2004-10-09,CardHolder-30206298,CardIssuingBank-30206298,2021-04-14,98,MaskedCardNumber-30206298
d-30206299,206299,6299,rtnerPaymentCard-30206299,false,CardDescription-30206299,2020-02-09,2007-12-12,CardHolder-30206299,CardIssuingBank-30206299,2011-08-12,99,MaskedCardNumber-30206299
d-30206300,206300,6300,rtnerPaymentCard-30206300,true,CardDescription-30206300,2001-03-14,2003-03-17,CardHolder-30206300,CardIssuingBank-30206300,2021-07-09,00,MaskedCardNumber-30206300
d-30206301,206301,6301,rtnerPaymentCard-30206301,false,CardDescription-30206301,2009-12-02,2008-09-01,CardHolder-30206301,CardIssuingBank-30206301,2003-06-29,01,MaskedCardNumber-30206301
d-30206302,206302,6302,rtnerPaymentCard-30206302,true,CardDescription-30206302,2009-02-18,2005-05-21,CardHolder-30206302,CardIssuingBank-30206302,2022-03-22,02,MaskedCardNumber-30206302
d-30206303,206303,6303,rtnerPaymentCard-30206303,false,CardDescription-30206303,2013-09-12,2013-10-07,CardHolder-30206303,CardIssuingBank-30206303,2006-04-09,03,MaskedCardNumber-30206303
d-30206304,206304,6304,rtnerPaymentCard-30206304,true,CardDescription-30206304,2008-12-12,2022-12-13,CardHolder-30206304,CardIssuingBank-30206304,2011-03-07,04,MaskedCardNumber-30206304
d-30206305,206305,6305,rtnerPaymentCard-30206305,false,CardDescription-30206305,2018-07-05,2005-09-04,CardHolder-30206305,CardIssuingBank-30206305,2003-11-07,05,MaskedCardNumber-30206305
d-30206306,206306,6306,rtnerPaymentCard-30206306,true,CardDescription-30206306,2019-07-06,2015-07-12,CardHolder-30206306,CardIssuingBank-30206306,2023-08-10,06,MaskedCardNumber-30206306
d-30206307,206307,6307,rtnerPaymentCard-30206307,false,CardDescription-30206307,2000-11-13,2015-10-19,CardHolder-30206307,CardIssuingBank-30206307,2012-02-28,07,MaskedCardNumber-30206307
d-30206308,206308,6308,rtnerPaymentCard-30206308,true,CardDescription-30206308,2013-12-29,2004-02-15,CardHolder-30206308,CardIssuingBank-30206308,2005-01-30,08,MaskedCardNumber-30206308
d-30206309,206309,6309,rtnerPaymentCard-30206309,false,CardDescription-30206309,2020-08-07,2018-02-10,CardHolder-30206309,CardIssuingBank-30206309,2021-07-31,09,MaskedCardNumber-30206309
d-30206310,206310,6310,rtnerPaymentCard-30206310,true,CardDescription-30206310,2022-02-12,2014-01-09,CardHolder-30206310,CardIssuingBank-30206310,2006-04-26,10,MaskedCardNumber-30206310
d-30206311,206311,6311,rtnerPaymentCard-30206311,false,CardDescription-30206311,2005-05-24,2009-05-12,CardHolder-30206311,CardIssuingBank-30206311,2014-10-29,11,MaskedCardNumber-30206311
d-30206312,206312,6312,rtnerPaymentCard-30206312,true,CardDescription-30206312,2020-11-30,2010-06-26,CardHolder-30206312,CardIssuingBank-30206312,2002-10-15,12,MaskedCardNumber-30206312
d-30206313,206313,6313,rtnerPaymentCard-30206313,false,CardDescription-30206313,2015-01-27,2008-10-26,CardHolder-30206313,CardIssuingBank-30206313,2006-12-13,13,MaskedCardNumber-30206313
d-30206314,206314,6314,rtnerPaymentCard-30206314,true,CardDescription-30206314,2021-06-26,2002-03-04,CardHolder-30206314,CardIssuingBank-30206314,2010-08-08,14,MaskedCardNumber-30206314
d-30206315,206315,6315,rtnerPaymentCard-30206315,false,CardDescription-30206315,2006-10-31,2021-12-13,CardHolder-30206315,CardIssuingBank-30206315,2007-01-09,15,MaskedCardNumber-30206315
d-30206316,206316,6316,rtnerPaymentCard-30206316,true,CardDescription-30206316,2022-12-14,2018-07-28,CardHolder-30206316,CardIssuingBank-30206316,2019-05-06,16,MaskedCardNumber-30206316
d-30206317,206317,6317,rtnerPaymentCard-30206317,false,CardDescription-30206317,2002-01-26,2018-01-27,CardHolder-30206317,CardIssuingBank-30206317,2004-10-16,17,MaskedCardNumber-30206317
