RelationshipNumber,BusinessPartnerCompany,BusinessPartnerPerson,ValidityEndDate,ContactPersonAuthorityType,ContactPersonDepartment,ContactPersonDepartmentName,ContactPersonFunction,ContactPersonFunctionName,ContactPersonRemarkText,ContactPersonVIPType,EmailAddress,FaxNumber,FaxNumberExtension,PhoneNumber,PhoneNumberExtension,RelationshipCategory
ndDept-92947,Dept-92947,Dept-92947,2023-07-13,7,2947,ContactPersonDepartmentName-92947,2947,ContactPersonFunctionName-92947,ContactPersonRemarkText-92947,7,EmailAddress-92947,FaxNumber-92947,sion-92947,PhoneNumber-92947,sion-92947,-92947
ndDept-92948,Dept-92948,Dept-92948,2006-05-13,8,2948,ContactPersonDepartmentName-92948,2948,ContactPersonFunctionName-92948,ContactPersonRemarkText-92948,8,EmailAddress-92948,FaxNumber-92948,sion-92948,PhoneNumber-92948,sion-92948,-92948
ndDept-92949,Dept-92949,Dept-92949,2011-06-13,9,2949,ContactPersonDepartmentName-92949,2949,ContactPersonFunctionName-92949,ContactPersonRemarkText-92949,9,EmailAddress-92949,FaxNumber-92949,sion-92949,PhoneNumber-92949,sion-92949,-92949
ndDept-92950,Dept-92950,Dept-92950,2020-01-23,0,2950,ContactPersonDepartmentName-92950,2950,ContactPersonFunctionName-92950,ContactPersonRemarkText-92950,0,EmailAddress-92950,FaxNumber-92950,sion-92950,PhoneNumber-92950,sion-92950,-92950
ndDept-92951,Dept-92951,Dept-92951,2005-01-22,1,2951,ContactPersonDepartmentName-92951,2951,ContactPersonFunctionName-92951,ContactPersonRemarkText-92951,1,EmailAddress-92951,FaxNumber-92951,sion-92951,PhoneNumber-92951,sion-92951,-92951
ndDept-92952,Dept-92952,Dept-92952,2004-02-14,2,2952,ContactPersonDepartmentName-92952,2952,ContactPersonFunctionName-92952,ContactPersonRemarkText-92952,2,EmailAddress-92952,FaxNumber-92952,sion-92952,PhoneNumber-92952,sion-92952,-92952
ndDept-92953,Dept-92953,Dept-92953,2013-09-24,3,2953,ContactPersonDepartmentName-92953,2953,ContactPersonFunctionName-92953,ContactPersonRemarkText-92953,3,EmailAddress-92953,FaxNumber-92953,sion-92953,PhoneNumber-92953,sion-92953,-92953
ndDept-92954,Dept-92954,Dept-92954,2022-06-18,4,2954,ContactPersonDepartmentName-92954,2954,ContactPersonFunctionName-92954,ContactPersonRemarkText-92954,4,EmailAddress-92954,FaxNumber-92954,sion-92954,PhoneNumber-92954,sion-92954,-92954
ndDept-92955,Dept-92955,Dept-92955,2022-02-12,5,2955,ContactPersonDepartmentName-92955,2955,ContactPersonFunctionName-92955,ContactPersonRemarkText-92955,5,EmailAddress-92955,FaxNumber-92955,sion-92955,PhoneNumber-92955,sion-92955,-92955
ndDept-92956,Dept-92956,Dept-92956,2014-01-28,6,2956,ContactPersonDepartmentName-92956,2956,ContactPersonFunctionName-92956,ContactPersonRemarkText-92956,6,EmailAddress-92956,FaxNumber-92956,sion-92956,PhoneNumber-92956,sion-92956,-92956
ndDept-92957,Dept-92957,Dept-92957,2012-03-02,7,2957,ContactPersonDepartmentName-92957,2957,ContactPersonFunctionName-92957,ContactPersonRemarkText-92957,7,EmailAddress-92957,FaxNumber-92957,sion-92957,PhoneNumber-92957,sion-92957,-92957
ndDept-92958,Dept-92958,Dept-92958,2008-06-25,8,2958,ContactPersonDepartmentName-92958,2958,ContactPersonFunctionName-92958,ContactPersonRemarkText-92958,8,EmailAddress-92958,FaxNumber-92958,sion-92958,PhoneNumber-92958,sion-92958,-92958
ndDept-92959,Dept-92959,Dept-92959,2008-12-09,9,2959,ContactPersonDepartmentName-92959,2959,ContactPersonFunctionName-92959,ContactPersonRemarkText-92959,9,EmailAddress-92959,FaxNumber-92959,sion-92959,PhoneNumber-92959,sion-92959,-92959
ndDept-92960,Dept-92960,Dept-92960,2018-11-20,0,2960,ContactPersonDepartmentName-92960,2960,ContactPersonFunctionName-92960,ContactPersonRemarkText-92960,0,EmailAddress-92960,FaxNumber-92960,sion-92960,PhoneNumber-92960,sion-92960,-92960
ndDept-92961,Dept-92961,Dept-92961,2022-05-09,1,2961,ContactPersonDepartmentName-92961,2961,ContactPersonFunctionName-92961,ContactPersonRemarkText-92961,1,EmailAddress-92961,FaxNumber-92961,sion-92961,PhoneNumber-92961,sion-92961,-92961
ndDept-92962,Dept-92962,Dept-92962,2000-05-02,2,2962,ContactPersonDepartmentName-92962,2962,ContactPersonFunctionName-92962,ContactPersonRemarkText-92962,2,EmailAddress-92962,FaxNumber-92962,sion-92962,PhoneNumber-92962,sion-92962,-92962
ndDept-92963,Dept-92963,Dept-92963,2012-08-06,3,2963,ContactPersonDepartmentName-92963,2963,ContactPersonFunctionName-92963,ContactPersonRemarkText-92963,3,EmailAddress-92963,FaxNumber-92963,sion-92963,PhoneNumber-92963,sion-92963,-92963
ndDept-92964,Dept-92964,Dept-92964,2016-04-09,4,2964,ContactPersonDepartmentName-92964,2964,ContactPersonFunctionName-92964,ContactPersonRemarkText-92964,4,EmailAddress-92964,FaxNumber-92964,sion-92964,PhoneNumber-92964,sion-92964,-92964
ndDept-92965,Dept-92965,Dept-92965,2001-06-02,5,2965,ContactPersonDepartmentName-92965,2965,ContactPersonFunctionName-92965,ContactPersonRemarkText-92965,5,EmailAddress-92965,FaxNumber-92965,sion-92965,PhoneNumber-92965,sion-92965,-92965
ndDept-92966,Dept-92966,Dept-92966,2008-06-08,6,2966,ContactPersonDepartmentName-92966,2966,ContactPersonFunctionName-92966,ContactPersonRemarkText-92966,6,EmailAddress-92966,FaxNumber-92966,sion-92966,PhoneNumber-92966,sion-92966,-92966
ndDept-92967,Dept-92967,Dept-92967,2017-07-04,7,2967,ContactPersonDepartmentName-92967,2967,ContactPersonFunctionName-92967,ContactPersonRemarkText-92967,7,EmailAddress-92967,FaxNumber-92967,sion-92967,PhoneNumber-92967,sion-92967,-92967
ndDept-92968,Dept-92968,Dept-92968,2004-09-08,8,2968,ContactPersonDepartmentName-92968,2968,ContactPersonFunctionName-92968,ContactPersonRemarkText-92968,8,EmailAddress-92968,FaxNumber-92968,sion-92968,PhoneNumber-92968,sion-92968,-92968
ndDept-92969,Dept-92969,Dept-92969,2005-09-23,9,2969,ContactPersonDepartmentName-92969,2969,ContactPersonFunctionName-92969,ContactPersonRemarkText-92969,9,EmailAddress-92969,FaxNumber-92969,sion-92969,PhoneNumber-92969,sion-92969,-92969
ndDept-92970,Dept-92970,Dept-92970,2006-02-08,0,2970,ContactPersonDepartmentName-92970,2970,ContactPersonFunctionName-92970,ContactPersonRemarkText-92970,0,EmailAddress-92970,FaxNumber-92970,sion-92970,PhoneNumber-92970,sion-92970,-92970
ndDept-92971,Dept-92971,Dept-92971,2017-12-01,1,2971,ContactPersonDepartmentName-92971,2971,ContactPersonFunctionName-92971,ContactPersonRemarkText-92971,1,EmailAddress-92971,FaxNumber-92971,sion-92971,PhoneNumber-92971,sion-92971,-92971
ndDept-92972,Dept-92972,Dept-92972,2009-04-03,2,2972,ContactPersonDepartmentName-92972,2972,ContactPersonFunctionName-92972,ContactPersonRemarkText-92972,2,EmailAddress-92972,FaxNumber-92972,sion-92972,PhoneNumber-92972,sion-92972,-92972
ndDept-92973,Dept-92973,Dept-92973,2013-05-20,3,2973,ContactPersonDepartmentName-92973,2973,ContactPersonFunctionName-92973,ContactPersonRemarkText-92973,3,EmailAddress-92973,FaxNumber-92973,sion-92973,PhoneNumber-92973,sion-92973,-92973
ndDept-92974,Dept-92974,Dept-92974,2008-06-27,4,2974,ContactPersonDepartmentName-92974,2974,ContactPersonFunctionName-92974,ContactPersonRemarkText-92974,4,EmailAddress-92974,FaxNumber-92974,sion-92974,PhoneNumber-92974,sion-92974,-92974
ndDept-92975,Dept-92975,Dept-92975,2001-12-26,5,2975,ContactPersonDepartmentName-92975,2975,ContactPersonFunctionName-92975,ContactPersonRemarkText-92975,5,EmailAddress-92975,FaxNumber-92975,sion-92975,PhoneNumber-92975,sion-92975,-92975
ndDept-92976,Dept-92976,Dept-92976,2001-04-21,6,2976,ContactPersonDepartmentName-92976,2976,ContactPersonFunctionName-92976,ContactPersonRemarkText-92976,6,EmailAddress-92976,FaxNumber-92976,sion-92976,PhoneNumber-92976,sion-92976,-92976
ndDept-92977,Dept-92977,Dept-92977,2018-11-28,7,2977,ContactPersonDepartmentName-92977,2977,ContactPersonFunctionName-92977,ContactPersonRemarkText-92977,7,EmailAddress-92977,FaxNumber-92977,sion-92977,PhoneNumber-92977,sion-92977,-92977
ndDept-92978,Dept-92978,Dept-92978,2001-08-19,8,2978,ContactPersonDepartmentName-92978,2978,ContactPersonFunctionName-92978,ContactPersonRemarkText-92978,8,EmailAddress-92978,FaxNumber-92978,sion-92978,PhoneNumber-92978,sion-92978,-92978
ndDept-92979,Dept-92979,Dept-92979,2009-02-07,9,2979,ContactPersonDepartmentName-92979,2979,ContactPersonFunctionName-92979,ContactPersonRemarkText-92979,9,EmailAddress-92979,FaxNumber-92979,sion-92979,PhoneNumber-92979,sion-92979,-92979
ndDept-92980,Dept-92980,Dept-92980,2015-01-26,0,2980,ContactPersonDepartmentName-92980,2980,ContactPersonFunctionName-92980,ContactPersonRemarkText-92980,0,EmailAddress-92980,FaxNumber-92980,sion-92980,PhoneNumber-92980,sion-92980,-92980
ndDept-92981,Dept-92981,Dept-92981,2013-11-06,1,2981,ContactPersonDepartmentName-92981,2981,ContactPersonFunctionName-92981,ContactPersonRemarkText-92981,1,EmailAddress-92981,FaxNumber-92981,sion-92981,PhoneNumber-92981,sion-92981,-92981
ndDept-92982,Dept-92982,Dept-92982,2023-10-28,2,2982,ContactPersonDepartmentName-92982,2982,ContactPersonFunctionName-92982,ContactPersonRemarkText-92982,2,EmailAddress-92982,FaxNumber-92982,sion-92982,PhoneNumber-92982,sion-92982,-92982
ndDept-92983,Dept-92983,Dept-92983,2006-05-21,3,2983,ContactPersonDepartmentName-92983,2983,ContactPersonFunctionName-92983,ContactPersonRemarkText-92983,3,EmailAddress-92983,FaxNumber-92983,sion-92983,PhoneNumber-92983,sion-92983,-92983
ndDept-92984,Dept-92984,Dept-92984,2001-05-26,4,2984,ContactPersonDepartmentName-92984,2984,ContactPersonFunctionName-92984,ContactPersonRemarkText-92984,4,EmailAddress-92984,FaxNumber-92984,sion-92984,PhoneNumber-92984,sion-92984,-92984
ndDept-92985,Dept-92985,Dept-92985,2021-07-21,5,2985,ContactPersonDepartmentName-92985,2985,ContactPersonFunctionName-92985,ContactPersonRemarkText-92985,5,EmailAddress-92985,FaxNumber-92985,sion-92985,PhoneNumber-92985,sion-92985,-92985
ndDept-92986,Dept-92986,Dept-92986,2019-03-01,6,2986,ContactPersonDepartmentName-92986,2986,ContactPersonFunctionName-92986,ContactPersonRemarkText-92986,6,EmailAddress-92986,FaxNumber-92986,sion-92986,PhoneNumber-92986,sion-92986,-92986
ndDept-92987,Dept-92987,Dept-92987,2020-06-20,7,2987,ContactPersonDepartmentName-92987,2987,ContactPersonFunctionName-92987,ContactPersonRemarkText-92987,7,EmailAddress-92987,FaxNumber-92987,sion-92987,PhoneNumber-92987,sion-92987,-92987
ndDept-92988,Dept-92988,Dept-92988,2009-05-06,8,2988,ContactPersonDepartmentName-92988,2988,ContactPersonFunctionName-92988,ContactPersonRemarkText-92988,8,EmailAddress-92988,FaxNumber-92988,sion-92988,PhoneNumber-92988,sion-92988,-92988
ndDept-92989,Dept-92989,Dept-92989,2009-05-14,9,2989,ContactPersonDepartmentName-92989,2989,ContactPersonFunctionName-92989,ContactPersonRemarkText-92989,9,EmailAddress-92989,FaxNumber-92989,sion-92989,PhoneNumber-92989,sion-92989,-92989
ndDept-92990,Dept-92990,Dept-92990,2006-10-03,0,2990,ContactPersonDepartmentName-92990,2990,ContactPersonFunctionName-92990,ContactPersonRemarkText-92990,0,EmailAddress-92990,FaxNumber-92990,sion-92990,PhoneNumber-92990,sion-92990,-92990
ndDept-92991,Dept-92991,Dept-92991,2001-04-05,1,2991,ContactPersonDepartmentName-92991,2991,ContactPersonFunctionName-92991,ContactPersonRemarkText-92991,1,EmailAddress-92991,FaxNumber-92991,sion-92991,PhoneNumber-92991,sion-92991,-92991
ndDept-92992,Dept-92992,Dept-92992,2017-11-16,2,2992,ContactPersonDepartmentName-92992,2992,ContactPersonFunctionName-92992,ContactPersonRemarkText-92992,2,EmailAddress-92992,FaxNumber-92992,sion-92992,PhoneNumber-92992,sion-92992,-92992
ndDept-92993,Dept-92993,Dept-92993,2020-03-26,3,2993,ContactPersonDepartmentName-92993,2993,ContactPersonFunctionName-92993,ContactPersonRemarkText-92993,3,EmailAddress-92993,FaxNumber-92993,sion-92993,PhoneNumber-92993,sion-92993,-92993
ndDept-92994,Dept-92994,Dept-92994,2010-09-15,4,2994,ContactPersonDepartmentName-92994,2994,ContactPersonFunctionName-92994,ContactPersonRemarkText-92994,4,EmailAddress-92994,FaxNumber-92994,sion-92994,PhoneNumber-92994,sion-92994,-92994
ndDept-92995,Dept-92995,Dept-92995,2016-11-28,5,2995,ContactPersonDepartmentName-92995,2995,ContactPersonFunctionName-92995,ContactPersonRemarkText-92995,5,EmailAddress-92995,FaxNumber-92995,sion-92995,PhoneNumber-92995,sion-92995,-92995
ndDept-92996,Dept-92996,Dept-92996,2015-05-09,6,2996,ContactPersonDepartmentName-92996,2996,ContactPersonFunctionName-92996,ContactPersonRemarkText-92996,6,EmailAddress-92996,FaxNumber-92996,sion-92996,PhoneNumber-92996,sion-92996,-92996
ndDept-92997,Dept-92997,Dept-92997,2020-08-30,7,2997,ContactPersonDepartmentName-92997,2997,ContactPersonFunctionName-92997,ContactPersonRemarkText-92997,7,EmailAddress-92997,FaxNumber-92997,sion-92997,PhoneNumber-92997,sion-92997,-92997
ndDept-92998,Dept-92998,Dept-92998,2001-08-20,8,2998,ContactPersonDepartmentName-92998,2998,ContactPersonFunctionName-92998,ContactPersonRemarkText-92998,8,EmailAddress-92998,FaxNumber-92998,sion-92998,PhoneNumber-92998,sion-92998,-92998
ndDept-92999,Dept-92999,Dept-92999,2009-06-05,9,2999,ContactPersonDepartmentName-92999,2999,ContactPersonFunctionName-92999,ContactPersonRemarkText-92999,9,EmailAddress-92999,FaxNumber-92999,sion-92999,PhoneNumber-92999,sion-92999,-92999
ndDept-93000,Dept-93000,Dept-93000,2014-07-11,0,3000,ContactPersonDepartmentName-93000,3000,ContactPersonFunctionName-93000,ContactPersonRemarkText-93000,0,EmailAddress-93000,FaxNumber-93000,sion-93000,PhoneNumber-93000,sion-93000,-93000
ndDept-93001,Dept-93001,Dept-93001,2000-12-21,1,3001,ContactPersonDepartmentName-93001,3001,ContactPersonFunctionName-93001,ContactPersonRemarkText-93001,1,EmailAddress-93001,FaxNumber-93001,sion-93001,PhoneNumber-93001,sion-93001,-93001
ndDept-93002,Dept-93002,Dept-93002,2000-03-04,2,3002,ContactPersonDepartmentName-93002,3002,ContactPersonFunctionName-93002,ContactPersonRemarkText-93002,2,EmailAddress-93002,FaxNumber-93002,sion-93002,PhoneNumber-93002,sion-93002,-93002
ndDept-93003,Dept-93003,Dept-93003,2013-10-11,3,3003,ContactPersonDepartmentName-93003,3003,ContactPersonFunctionName-93003,ContactPersonRemarkText-93003,3,EmailAddress-93003,FaxNumber-93003,sion-93003,PhoneNumber-93003,sion-93003,-93003
ndDept-93004,Dept-93004,Dept-93004,2004-09-12,4,3004,ContactPersonDepartmentName-93004,3004,ContactPersonFunctionName-93004,ContactPersonRemarkText-93004,4,EmailAddress-93004,FaxNumber-93004,sion-93004,PhoneNumber-93004,sion-93004,-93004
ndDept-93005,Dept-93005,Dept-93005,2023-12-13,5,3005,ContactPersonDepartmentName-93005,3005,ContactPersonFunctionName-93005,ContactPersonRemarkText-93005,5,EmailAddress-93005,FaxNumber-93005,sion-93005,PhoneNumber-93005,sion-93005,-93005
ndDept-93006,Dept-93006,Dept-93006,2017-05-16,6,3006,ContactPersonDepartmentName-93006,3006,ContactPersonFunctionName-93006,ContactPersonRemarkText-93006,6,EmailAddress-93006,FaxNumber-93006,sion-93006,PhoneNumber-93006,sion-93006,-93006
ndDept-93007,Dept-93007,Dept-93007,2007-07-27,7,3007,ContactPersonDepartmentName-93007,3007,ContactPersonFunctionName-93007,ContactPersonRemarkText-93007,7,EmailAddress-93007,FaxNumber-93007,sion-93007,PhoneNumber-93007,sion-93007,-93007
ndDept-93008,Dept-93008,Dept-93008,2001-03-06,8,3008,ContactPersonDepartmentName-93008,3008,ContactPersonFunctionName-93008,ContactPersonRemarkText-93008,8,EmailAddress-93008,FaxNumber-93008,sion-93008,PhoneNumber-93008,sion-93008,-93008
ndDept-93009,Dept-93009,Dept-93009,2023-01-14,9,3009,ContactPersonDepartmentName-93009,3009,ContactPersonFunctionName-93009,ContactPersonRemarkText-93009,9,EmailAddress-93009,FaxNumber-93009,sion-93009,PhoneNumber-93009,sion-93009,-93009
ndDept-93010,Dept-93010,Dept-93010,2011-10-30,0,3010,ContactPersonDepartmentName-93010,3010,ContactPersonFunctionName-93010,ContactPersonRemarkText-93010,0,EmailAddress-93010,FaxNumber-93010,sion-93010,PhoneNumber-93010,sion-93010,-93010
ndDept-93011,Dept-93011,Dept-93011,2020-01-26,1,3011,ContactPersonDepartmentName-93011,3011,ContactPersonFunctionName-93011,ContactPersonRemarkText-93011,1,EmailAddress-93011,FaxNumber-93011,sion-93011,PhoneNumber-93011,sion-93011,-93011
ndDept-93012,Dept-93012,Dept-93012,2020-04-05,2,3012,ContactPersonDepartmentName-93012,3012,ContactPersonFunctionName-93012,ContactPersonRemarkText-93012,2,EmailAddress-93012,FaxNumber-93012,sion-93012,PhoneNumber-93012,sion-93012,-93012
ndDept-93013,Dept-93013,Dept-93013,2019-11-01,3,3013,ContactPersonDepartmentName-93013,3013,ContactPersonFunctionName-93013,ContactPersonRemarkText-93013,3,EmailAddress-93013,FaxNumber-93013,sion-93013,PhoneNumber-93013,sion-93013,-93013
ndDept-93014,Dept-93014,Dept-93014,2020-10-03,4,3014,ContactPersonDepartmentName-93014,3014,ContactPersonFunctionName-93014,ContactPersonRemarkText-93014,4,EmailAddress-93014,FaxNumber-93014,sion-93014,PhoneNumber-93014,sion-93014,-93014
ndDept-93015,Dept-93015,Dept-93015,2006-12-01,5,3015,ContactPersonDepartmentName-93015,3015,ContactPersonFunctionName-93015,ContactPersonRemarkText-93015,5,EmailAddress-93015,FaxNumber-93015,sion-93015,PhoneNumber-93015,sion-93015,-93015
ndDept-93016,Dept-93016,Dept-93016,2017-01-29,6,3016,ContactPersonDepartmentName-93016,3016,ContactPersonFunctionName-93016,ContactPersonRemarkText-93016,6,EmailAddress-93016,FaxNumber-93016,sion-93016,PhoneNumber-93016,sion-93016,-93016
ndDept-93017,Dept-93017,Dept-93017,2002-12-06,7,3017,ContactPersonDepartmentName-93017,3017,ContactPersonFunctionName-93017,ContactPersonRemarkText-93017,7,EmailAddress-93017,FaxNumber-93017,sion-93017,PhoneNumber-93017,sion-93017,-93017
ndDept-93018,Dept-93018,Dept-93018,2010-10-03,8,3018,ContactPersonDepartmentName-93018,3018,ContactPersonFunctionName-93018,ContactPersonRemarkText-93018,8,EmailAddress-93018,FaxNumber-93018,sion-93018,PhoneNumber-93018,sion-93018,-93018
ndDept-93019,Dept-93019,Dept-93019,2021-12-25,9,3019,ContactPersonDepartmentName-93019,3019,ContactPersonFunctionName-93019,ContactPersonRemarkText-93019,9,EmailAddress-93019,FaxNumber-93019,sion-93019,PhoneNumber-93019,sion-93019,-93019
ndDept-93020,Dept-93020,Dept-93020,2009-04-20,0,3020,ContactPersonDepartmentName-93020,3020,ContactPersonFunctionName-93020,ContactPersonRemarkText-93020,0,EmailAddress-93020,FaxNumber-93020,sion-93020,PhoneNumber-93020,sion-93020,-93020
ndDept-93021,Dept-93021,Dept-93021,2005-11-24,1,3021,ContactPersonDepartmentName-93021,3021,ContactPersonFunctionName-93021,ContactPersonRemarkText-93021,1,EmailAddress-93021,FaxNumber-93021,sion-93021,PhoneNumber-93021,sion-93021,-93021
ndDept-93022,Dept-93022,Dept-93022,2000-10-30,2,3022,ContactPersonDepartmentName-93022,3022,ContactPersonFunctionName-93022,ContactPersonRemarkText-93022,2,EmailAddress-93022,FaxNumber-93022,sion-93022,PhoneNumber-93022,sion-93022,-93022
