RelationshipNumber,BusinessPartnerCompany,BusinessPartnerPerson,ValidityEndDate,AddressID,OrdinalNumber,IsDefaultEmailAddress,EmailAddress,SearchEmailAddress
ddr-24989796,r-24989796,r-24989796,2000-10-27,r-24989796,796,true,EmailAddress-24989796,mailAddress-24989796
ddr-24989797,r-24989797,r-24989797,2007-06-23,r-24989797,797,false,EmailAddress-24989797,mailAddress-24989797
ddr-24989798,r-24989798,r-24989798,2008-05-09,r-24989798,798,true,EmailAddress-24989798,mailAddress-24989798
ddr-24989799,r-24989799,r-24989799,2015-11-11,r-24989799,799,false,EmailAddress-24989799,mailAddress-24989799
ddr-24989800,r-24989800,r-24989800,2008-08-24,r-24989800,800,true,EmailAddress-24989800,mailAddress-24989800
ddr-24989801,r-24989801,r-24989801,2019-06-01,r-24989801,801,false,EmailAddress-24989801,mailAddress-24989801
ddr-24989802,r-24989802,r-24989802,2020-08-26,r-24989802,802,true,EmailAddress-24989802,mailAddress-24989802
ddr-24989803,r-24989803,r-24989803,2011-11-20,r-24989803,803,false,EmailAddress-24989803,mailAddress-24989803
ddr-24989804,r-24989804,r-24989804,2015-10-01,r-24989804,804,true,EmailAddress-24989804,mailAddress-24989804
ddr-24989805,r-24989805,r-24989805,2010-07-26,r-24989805,805,false,EmailAddress-24989805,mailAddress-24989805
ddr-24989806,r-24989806,r-24989806,2006-06-23,r-24989806,806,true,EmailAddress-24989806,mailAddress-24989806
ddr-24989807,r-24989807,r-24989807,2003-07-06,r-24989807,807,false,EmailAddress-24989807,mailAddress-24989807
ddr-24989808,r-24989808,r-24989808,2022-05-03,r-24989808,808,true,EmailAddress-24989808,mailAddress-24989808
ddr-24989809,r-24989809,r-24989809,2015-11-28,r-24989809,809,false,EmailAddress-24989809,mailAddress-24989809
ddr-24989810,r-24989810,r-24989810,2006-01-06,r-24989810,810,true,EmailAddress-24989810,mailAddress-24989810
ddr-24989811,r-24989811,r-24989811,2009-06-02,r-24989811,811,false,EmailAddress-24989811,mailAddress-24989811
ddr-24989812,r-24989812,r-24989812,2004-02-04,r-24989812,812,true,EmailAddress-24989812,mailAddress-24989812
ddr-24989813,r-24989813,r-24989813,2005-07-10,r-24989813,813,false,EmailAddress-24989813,mailAddress-24989813
ddr-24989814,r-24989814,r-24989814,2005-12-13,r-24989814,814,true,EmailAddress-24989814,mailAddress-24989814
ddr-24989815,r-24989815,r-24989815,2002-06-21,r-24989815,815,false,EmailAddress-24989815,mailAddress-24989815
ddr-24989816,r-24989816,r-24989816,2018-09-02,r-24989816,816,true,EmailAddress-24989816,mailAddress-24989816
ddr-24989817,r-24989817,r-24989817,2018-10-18,r-24989817,817,false,EmailAddress-24989817,mailAddress-24989817
ddr-24989818,r-24989818,r-24989818,2000-02-04,r-24989818,818,true,EmailAddress-24989818,mailAddress-24989818
ddr-24989819,r-24989819,r-24989819,2015-10-07,r-24989819,819,false,EmailAddress-24989819,mailAddress-24989819
ddr-24989820,r-24989820,r-24989820,2020-01-09,r-24989820,820,true,EmailAddress-24989820,mailAddress-24989820
ddr-24989821,r-24989821,r-24989821,2001-09-18,r-24989821,821,false,EmailAddress-24989821,mailAddress-24989821
ddr-24989822,r-24989822,r-24989822,2021-03-06,r-24989822,822,true,EmailAddress-24989822,mailAddress-24989822
ddr-24989823,r-24989823,r-24989823,2015-06-05,r-24989823,823,false,EmailAddress-24989823,mailAddress-24989823
ddr-24989824,r-24989824,r-24989824,2023-05-01,r-24989824,824,true,EmailAddress-24989824,mailAddress-24989824
ddr-24989825,r-24989825,r-24989825,2015-04-25,r-24989825,825,false,EmailAddress-24989825,mailAddress-24989825
ddr-24989826,r-24989826,r-24989826,2001-06-11,r-24989826,826,true,EmailAddress-24989826,mailAddress-24989826
ddr-24989827,r-24989827,r-24989827,2008-06-22,r-24989827,827,false,EmailAddress-24989827,mailAddress-24989827
ddr-24989828,r-24989828,r-24989828,2006-08-23,r-24989828,828,true,EmailAddress-24989828,mailAddress-24989828
ddr-24989829,r-24989829,r-24989829,2006-01-10,r-24989829,829,false,EmailAddress-24989829,mailAddress-24989829
ddr-24989830,r-24989830,r-24989830,2004-10-21,r-24989830,830,true,EmailAddress-24989830,mailAddress-24989830
ddr-24989831,r-24989831,r-24989831,2009-04-29,r-24989831,831,false,EmailAddress-24989831,mailAddress-24989831
ddr-24989832,r-24989832,r-24989832,2013-01-09,r-24989832,832,true,EmailAddress-24989832,mailAddress-24989832
ddr-24989833,r-24989833,r-24989833,2023-10-19,r-24989833,833,false,EmailAddress-24989833,mailAddress-24989833
ddr-24989834,r-24989834,r-24989834,2018-07-26,r-24989834,834,true,EmailAddress-24989834,mailAddress-24989834
ddr-24989835,r-24989835,r-24989835,2000-05-31,r-24989835,835,false,EmailAddress-24989835,mailAddress-24989835
ddr-24989836,r-24989836,r-24989836,2020-10-05,r-24989836,836,true,EmailAddress-24989836,mailAddress-24989836
ddr-24989837,r-24989837,r-24989837,2013-12-18,r-24989837,837,false,EmailAddress-24989837,mailAddress-24989837
ddr-24989838,r-24989838,r-24989838,2018-01-17,r-24989838,838,true,EmailAddress-24989838,mailAddress-24989838
ddr-24989839,r-24989839,r-24989839,2010-02-20,r-24989839,839,false,EmailAddress-24989839,mailAddress-24989839
ddr-24989840,r-24989840,r-24989840,2019-07-25,r-24989840,840,true,EmailAddress-24989840,mailAddress-24989840
ddr-24989841,r-24989841,r-24989841,2000-01-27,r-24989841,841,false,EmailAddress-24989841,mailAddress-24989841
ddr-24989842,r-24989842,r-24989842,2012-01-30,r-24989842,842,true,EmailAddress-24989842,mailAddress-24989842
ddr-24989843,r-24989843,r-24989843,2018-06-10,r-24989843,843,false,EmailAddress-24989843,mailAddress-24989843
ddr-24989844,r-24989844,r-24989844,2001-12-02,r-24989844,844,true,EmailAddress-24989844,mailAddress-24989844
ddr-24989845,r-24989845,r-24989845,2012-10-28,r-24989845,845,false,EmailAddress-24989845,mailAddress-24989845
ddr-24989846,r-24989846,r-24989846,2011-11-22,r-24989846,846,true,EmailAddress-24989846,mailAddress-24989846
ddr-24989847,r-24989847,r-24989847,2012-07-28,r-24989847,847,false,EmailAddress-24989847,mailAddress-24989847
ddr-24989848,r-24989848,r-24989848,2018-05-03,r-24989848,848,true,EmailAddress-24989848,mailAddress-24989848
ddr-24989849,r-24989849,r-24989849,2015-07-24,r-24989849,849,false,EmailAddress-24989849,mailAddress-24989849
ddr-24989850,r-24989850,r-24989850,2000-08-10,r-24989850,850,true,EmailAddress-24989850,mailAddress-24989850
ddr-24989851,r-24989851,r-24989851,2021-03-07,r-24989851,851,false,EmailAddress-24989851,mailAddress-24989851
ddr-24989852,r-24989852,r-24989852,2020-04-13,r-24989852,852,true,EmailAddress-24989852,mailAddress-24989852
ddr-24989853,r-24989853,r-24989853,2022-08-28,r-24989853,853,false,EmailAddress-24989853,mailAddress-24989853
ddr-24989854,r-24989854,r-24989854,2007-12-08,r-24989854,854,true,EmailAddress-24989854,mailAddress-24989854
ddr-24989855,r-24989855,r-24989855,2014-02-04,r-24989855,855,false,EmailAddress-24989855,mailAddress-24989855
ddr-24989856,r-24989856,r-24989856,2018-06-14,r-24989856,856,true,EmailAddress-24989856,mailAddress-24989856
ddr-24989857,r-24989857,r-24989857,2020-04-29,r-24989857,857,false,EmailAddress-24989857,mailAddress-24989857
ddr-24989858,r-24989858,r-24989858,2000-05-22,r-24989858,858,true,EmailAddress-24989858,mailAddress-24989858
ddr-24989859,r-24989859,r-24989859,2019-12-15,r-24989859,859,false,EmailAddress-24989859,mailAddress-24989859
ddr-24989860,r-24989860,r-24989860,2017-05-21,r-24989860,860,true,EmailAddress-24989860,mailAddress-24989860
ddr-24989861,r-24989861,r-24989861,2017-05-10,r-24989861,861,false,EmailAddress-24989861,mailAddress-24989861
ddr-24989862,r-24989862,r-24989862,2019-09-24,r-24989862,862,true,EmailAddress-24989862,mailAddress-24989862
ddr-24989863,r-24989863,r-24989863,2021-09-23,r-24989863,863,false,EmailAddress-24989863,mailAddress-24989863
ddr-24989864,r-24989864,r-24989864,2020-10-06,r-24989864,864,true,EmailAddress-24989864,mailAddress-24989864
ddr-24989865,r-24989865,r-24989865,2008-03-29,r-24989865,865,false,EmailAddress-24989865,mailAddress-24989865
ddr-24989866,r-24989866,r-24989866,2008-12-04,r-24989866,866,true,EmailAddress-24989866,mailAddress-24989866
ddr-24989867,r-24989867,r-24989867,2011-01-15,r-24989867,867,false,EmailAddress-24989867,mailAddress-24989867
ddr-24989868,r-24989868,r-24989868,2021-03-06,r-24989868,868,true,EmailAddress-24989868,mailAddress-24989868
ddr-24989869,r-24989869,r-24989869,2002-07-01,r-24989869,869,false,EmailAddress-24989869,mailAddress-24989869
ddr-24989870,r-24989870,r-24989870,2011-08-28,r-24989870,870,true,EmailAddress-24989870,mailAddress-24989870
ddr-24989871,r-24989871,r-24989871,2007-09-20,r-24989871,871,false,EmailAddress-24989871,mailAddress-24989871
ddr-24989872,r-24989872,r-24989872,2020-01-25,r-24989872,872,true,EmailAddress-24989872,mailAddress-24989872
ddr-24989873,r-24989873,r-24989873,2017-09-25,r-24989873,873,false,EmailAddress-24989873,mailAddress-24989873
ddr-24989874,r-24989874,r-24989874,2014-10-18,r-24989874,874,true,EmailAddress-24989874,mailAddress-24989874
