Supplier,AlternativePayeeAccountNumber,AuthorizationGroup,BusinessPartnerPanNumber,CreatedByUser,CreationDate,Customer,PaymentIsBlockedForSupplier,PostingIsBlocked,PurchasingIsBlocked,SupplierAccountGroup,SupplierFullName,SupplierName,VATRegistration,BirthDate,ConcatenatedInternationalLocNo,DeletionIndicator,FiscalAddress,Industry,InternationalLocationNumber1,InternationalLocationNumber2,InternationalLocationNumber3,IsNaturalPerson,PaymentReason,ResponsibleType,SuplrQltyInProcmtCertfnValidTo,SuplrQualityManagementSystem,SupplierCorporateGroup,SupplierProcurementBlock,TaxNumber1,TaxNumber2,TaxNumber3,TaxNumber4,TaxNumber5,TaxNumberResponsible,TaxNumberType,SuplrProofOfDelivRlvtCode,BR_TaxIsSplit,DataExchangeInstructionKey,JP_SuplrAmtInCapitalAmount,JP_SupplierCapitalAmountCrcy
r-16593944,r-16593944,3944,BusinessPartnerPanNumber-16593944,ser-16593944,2014-02-04,r-16593944,true,true,true,3944,SupplierFullName-16593944,SupplierName-16593944,egistration-16593944,2022-07-05,tionalLocNo-16593944,true,s-16593944,3944,6593944,93944,4,4,3944,44,2010-12-17,3944,p-16593944,44,Number1-16593944,r2-16593944,axNumber3-16593944,axNumber4-16593944,TaxNumber5-16593944,sponsible-16593944,44,4,true,44,273462897851.393,93944
r-16593945,r-16593945,3945,BusinessPartnerPanNumber-16593945,ser-16593945,2013-08-02,r-16593945,false,false,false,3945,SupplierFullName-16593945,SupplierName-16593945,egistration-16593945,2005-04-30,tionalLocNo-16593945,false,s-16593945,3945,6593945,93945,5,5,3945,45,2009-07-17,3945,p-16593945,45,Number1-16593945,r2-16593945,axNumber3-16593945,axNumber4-16593945,TaxNumber5-16593945,sponsible-16593945,45,5,false,45,4539298301223.192,93945
r-16593946,r-16593946,3946,BusinessPartnerPanNumber-16593946,ser-16593946,2003-02-28,r-16593946,true,true,true,3946,SupplierFullName-16593946,SupplierName-16593946,egistration-16593946,2010-04-15,tionalLocNo-16593946,true,s-16593946,3946,6593946,93946,6,6,3946,46,2011-05-07,3946,p-16593946,46,Number1-16593946,r2-16593946,axNumber3-16593946,axNumber4-16593946,TaxNumber5-16593946,sponsible-16593946,46,6,true,46,8918517344078.799,93946
r-16593947,r-16593947,3947,BusinessPartnerPanNumber-16593947,ser-16593947,2019-03-23,r-16593947,false,false,false,3947,SupplierFullName-16593947,SupplierName-16593947,egistration-16593947,2022-04-24,tionalLocNo-16593947,false,s-16593947,3947,6593947,93947,7,7,3947,47,2020-06-23,3947,p-16593947,47,Number1-16593947,r2-16593947,axNumber3-16593947,axNumber4-16593947,TaxNumber5-16593947,sponsible-16593947,47,7,false,47,4927893666241.871,93947
r-16593948,r-16593948,3948,BusinessPartnerPanNumber-16593948,ser-16593948,2012-02-18,r-16593948,true,true,true,3948,SupplierFullName-16593948,SupplierName-16593948,egistration-16593948,2022-04-21,tionalLocNo-16593948,true,s-16593948,3948,6593948,93948,8,8,3948,48,2008-05-20,3948,p-16593948,48,Number1-16593948,r2-16593948,axNumber3-16593948,axNumber4-16593948,TaxNumber5-16593948,sponsible-16593948,48,8,true,48,293764341992.519,93948
r-16593949,r-16593949,3949,BusinessPartnerPanNumber-16593949,ser-16593949,2007-09-08,r-16593949,false,false,false,3949,SupplierFullName-16593949,SupplierName-16593949,egistration-16593949,2015-02-05,tionalLocNo-16593949,false,s-16593949,3949,6593949,93949,9,9,3949,49,2012-08-06,3949,p-16593949,49,Number1-16593949,r2-16593949,axNumber3-16593949,axNumber4-16593949,TaxNumber5-16593949,sponsible-16593949,49,9,false,49,6066667816396.808,93949
r-16593950,r-16593950,3950,BusinessPartnerPanNumber-16593950,ser-16593950,2016-12-05,r-16593950,true,true,true,3950,SupplierFullName-16593950,SupplierName-16593950,egistration-16593950,2009-08-06,tionalLocNo-16593950,true,s-16593950,3950,6593950,93950,0,0,3950,50,2008-07-08,3950,p-16593950,50,Number1-16593950,r2-16593950,axNumber3-16593950,axNumber4-16593950,TaxNumber5-16593950,sponsible-16593950,50,0,true,50,1041476137707.894,93950
r-16593951,r-16593951,3951,BusinessPartnerPanNumber-16593951,ser-16593951,2006-09-17,r-16593951,false,false,false,3951,SupplierFullName-16593951,SupplierName-16593951,egistration-16593951,2022-02-28,tionalLocNo-16593951,false,s-16593951,3951,6593951,93951,1,1,3951,51,2003-03-09,3951,p-16593951,51,Number1-16593951,r2-16593951,axNumber3-16593951,axNumber4-16593951,TaxNumber5-16593951,sponsible-16593951,51,1,false,51,4730476291662.514,93951
r-16593952,r-16593952,3952,BusinessPartnerPanNumber-16593952,ser-16593952,2012-11-05,r-16593952,true,true,true,3952,SupplierFullName-16593952,SupplierName-16593952,egistration-16593952,2011-03-03,tionalLocNo-16593952,true,s-16593952,3952,6593952,93952,2,2,3952,52,2010-06-01,3952,p-16593952,52,Number1-16593952,r2-16593952,axNumber3-16593952,axNumber4-16593952,TaxNumber5-16593952,sponsible-16593952,52,2,true,52,7026481537452.859,93952
r-16593953,r-16593953,3953,BusinessPartnerPanNumber-16593953,ser-16593953,2021-05-03,r-16593953,false,false,false,3953,SupplierFullName-16593953,SupplierName-16593953,egistration-16593953,2001-03-30,tionalLocNo-16593953,false,s-16593953,3953,6593953,93953,3,3,3953,53,2003-04-15,3953,p-16593953,53,Number1-16593953,r2-16593953,axNumber3-16593953,axNumber4-16593953,TaxNumber5-16593953,sponsible-16593953,53,3,false,53,8882038693119.22,93953
r-16593954,r-16593954,3954,BusinessPartnerPanNumber-16593954,ser-16593954,2008-05-07,r-16593954,true,true,true,3954,SupplierFullName-16593954,SupplierName-16593954,egistration-16593954,2014-01-18,tionalLocNo-16593954,true,s-16593954,3954,6593954,93954,4,4,3954,54,2005-06-08,3954,p-16593954,54,Number1-16593954,r2-16593954,axNumber3-16593954,axNumber4-16593954,TaxNumber5-16593954,sponsible-16593954,54,4,true,54,6340160926135.819,93954
r-16593955,r-16593955,3955,BusinessPartnerPanNumber-16593955,ser-16593955,2002-10-12,r-16593955,false,false,false,3955,SupplierFullName-16593955,SupplierName-16593955,egistration-16593955,2005-10-13,tionalLocNo-16593955,false,s-16593955,3955,6593955,93955,5,5,3955,55,2006-12-06,3955,p-16593955,55,Number1-16593955,r2-16593955,axNumber3-16593955,axNumber4-16593955,TaxNumber5-16593955,sponsible-16593955,55,5,false,55,5630860083336.516,93955
r-16593956,r-16593956,3956,BusinessPartnerPanNumber-16593956,ser-16593956,2015-08-05,r-16593956,true,true,true,3956,SupplierFullName-16593956,SupplierName-16593956,egistration-16593956,2022-12-04,tionalLocNo-16593956,true,s-16593956,3956,6593956,93956,6,6,3956,56,2009-12-21,3956,p-16593956,56,Number1-16593956,r2-16593956,axNumber3-16593956,axNumber4-16593956,TaxNumber5-16593956,sponsible-16593956,56,6,true,56,8785321944794.61,93956
r-16593957,r-16593957,3957,BusinessPartnerPanNumber-16593957,ser-16593957,2011-03-07,r-16593957,false,false,false,3957,SupplierFullName-16593957,SupplierName-16593957,egistration-16593957,2002-03-30,tionalLocNo-16593957,false,s-16593957,3957,6593957,93957,7,7,3957,57,2017-05-31,3957,p-16593957,57,Number1-16593957,r2-16593957,axNumber3-16593957,axNumber4-16593957,TaxNumber5-16593957,sponsible-16593957,57,7,false,57,2236000975843.338,93957
r-16593958,r-16593958,3958,BusinessPartnerPanNumber-16593958,ser-16593958,2021-11-15,r-16593958,true,true,true,3958,SupplierFullName-16593958,SupplierName-16593958,egistration-16593958,2009-02-15,tionalLocNo-16593958,true,s-16593958,3958,6593958,93958,8,8,3958,58,2018-02-18,3958,p-16593958,58,Number1-16593958,r2-16593958,axNumber3-16593958,axNumber4-16593958,TaxNumber5-16593958,sponsible-16593958,58,8,true,58,2676576522367.569,93958
r-16593959,r-16593959,3959,BusinessPartnerPanNumber-16593959,ser-16593959,2019-10-25,r-16593959,false,false,false,3959,SupplierFullName-16593959,SupplierName-16593959,egistration-16593959,2023-12-27,tionalLocNo-16593959,false,s-16593959,3959,6593959,93959,9,9,3959,59,2008-10-09,3959,p-16593959,59,Number1-16593959,r2-16593959,axNumber3-16593959,axNumber4-16593959,TaxNumber5-16593959,sponsible-16593959,59,9,false,59,8010548165741.633,93959
r-16593960,r-16593960,3960,BusinessPartnerPanNumber-16593960,ser-16593960,2019-07-03,r-16593960,true,true,true,3960,SupplierFullName-16593960,SupplierName-16593960,egistration-16593960,2022-12-09,tionalLocNo-16593960,true,s-16593960,3960,6593960,93960,0,0,3960,60,2022-06-30,3960,p-16593960,60,Number1-16593960,r2-16593960,axNumber3-16593960,axNumber4-16593960,TaxNumber5-16593960,sponsible-16593960,60,0,true,60,8202649821693.905,93960
r-16593961,r-16593961,3961,BusinessPartnerPanNumber-16593961,ser-16593961,2018-08-17,r-16593961,false,false,false,3961,SupplierFullName-16593961,SupplierName-16593961,egistration-16593961,2020-08-16,tionalLocNo-16593961,false,s-16593961,3961,6593961,93961,1,1,3961,61,2017-02-05,3961,p-16593961,61,Number1-16593961,r2-16593961,axNumber3-16593961,axNumber4-16593961,TaxNumber5-16593961,sponsible-16593961,61,1,false,61,6632874775629.291,93961
r-16593962,r-16593962,3962,BusinessPartnerPanNumber-16593962,ser-16593962,2023-04-27,r-16593962,true,true,true,3962,SupplierFullName-16593962,SupplierName-16593962,egistration-16593962,2022-04-01,tionalLocNo-16593962,true,s-16593962,3962,6593962,93962,2,2,3962,62,2005-03-06,3962,p-16593962,62,Number1-16593962,r2-16593962,axNumber3-16593962,axNumber4-16593962,TaxNumber5-16593962,sponsible-16593962,62,2,true,62,5922703767535.226,93962
r-16593963,r-16593963,3963,BusinessPartnerPanNumber-16593963,ser-16593963,2004-07-11,r-16593963,false,false,false,3963,SupplierFullName-16593963,SupplierName-16593963,egistration-16593963,2013-05-01,tionalLocNo-16593963,false,s-16593963,3963,6593963,93963,3,3,3963,63,2000-04-30,3963,p-16593963,63,Number1-16593963,r2-16593963,axNumber3-16593963,axNumber4-16593963,TaxNumber5-16593963,sponsible-16593963,63,3,false,63,5093246157771.577,93963
r-16593964,r-16593964,3964,BusinessPartnerPanNumber-16593964,ser-16593964,2002-07-03,r-16593964,true,true,true,3964,SupplierFullName-16593964,SupplierName-16593964,egistration-16593964,2014-09-18,tionalLocNo-16593964,true,s-16593964,3964,6593964,93964,4,4,3964,64,2015-04-12,3964,p-16593964,64,Number1-16593964,r2-16593964,axNumber3-16593964,axNumber4-16593964,TaxNumber5-16593964,sponsible-16593964,64,4,true,64,4284558905816.975,93964
r-16593965,r-16593965,3965,BusinessPartnerPanNumber-16593965,ser-16593965,2007-03-10,r-16593965,false,false,false,3965,SupplierFullName-16593965,SupplierName-16593965,egistration-16593965,2008-10-20,tionalLocNo-16593965,false,s-16593965,3965,6593965,93965,5,5,3965,65,2010-07-06,3965,p-16593965,65,Number1-16593965,r2-16593965,axNumber3-16593965,axNumber4-16593965,TaxNumber5-16593965,sponsible-16593965,65,5,false,65,2879062885162.064,93965
r-16593966,r-16593966,3966,BusinessPartnerPanNumber-16593966,ser-16593966,2013-04-23,r-16593966,true,true,true,3966,SupplierFullName-16593966,SupplierName-16593966,egistration-16593966,2001-09-14,tionalLocNo-16593966,true,s-16593966,3966,6593966,93966,6,6,3966,66,2008-01-19,3966,p-16593966,66,Number1-16593966,r2-16593966,axNumber3-16593966,axNumber4-16593966,TaxNumber5-16593966,sponsible-16593966,66,6,true,66,797287614523.99,93966
r-16593967,r-16593967,3967,BusinessPartnerPanNumber-16593967,ser-16593967,2012-11-30,r-16593967,false,false,false,3967,SupplierFullName-16593967,SupplierName-16593967,egistration-16593967,2002-01-24,tionalLocNo-16593967,false,s-16593967,3967,6593967,93967,7,7,3967,67,2006-10-08,3967,p-16593967,67,Number1-16593967,r2-16593967,axNumber3-16593967,axNumber4-16593967,TaxNumber5-16593967,sponsible-16593967,67,7,false,67,7960368738602.565,93967
r-16593968,r-16593968,3968,BusinessPartnerPanNumber-16593968,ser-16593968,2008-02-04,r-16593968,true,true,true,3968,SupplierFullName-16593968,SupplierName-16593968,egistration-16593968,2021-10-28,tionalLocNo-16593968,true,s-16593968,3968,6593968,93968,8,8,3968,68,2008-07-28,3968,p-16593968,68,Number1-16593968,r2-16593968,axNumber3-16593968,axNumber4-16593968,TaxNumber5-16593968,sponsible-16593968,68,8,true,68,9219539147871.24,93968
r-16593969,r-16593969,3969,BusinessPartnerPanNumber-16593969,ser-16593969,2001-09-20,r-16593969,false,false,false,3969,SupplierFullName-16593969,SupplierName-16593969,egistration-16593969,2012-08-18,tionalLocNo-16593969,false,s-16593969,3969,6593969,93969,9,9,3969,69,2013-08-31,3969,p-16593969,69,Number1-16593969,r2-16593969,axNumber3-16593969,axNumber4-16593969,TaxNumber5-16593969,sponsible-16593969,69,9,false,69,5863638898459.797,93969
r-16593970,r-16593970,3970,BusinessPartnerPanNumber-16593970,ser-16593970,2006-11-02,r-16593970,true,true,true,3970,SupplierFullName-16593970,SupplierName-16593970,egistration-16593970,2017-07-03,tionalLocNo-16593970,true,s-16593970,3970,6593970,93970,0,0,3970,70,2011-05-08,3970,p-16593970,70,Number1-16593970,r2-16593970,axNumber3-16593970,axNumber4-16593970,TaxNumber5-16593970,sponsible-16593970,70,0,true,70,2202087502940.611,93970
r-16593971,r-16593971,3971,BusinessPartnerPanNumber-16593971,ser-16593971,2000-06-19,r-16593971,false,false,false,3971,SupplierFullName-16593971,SupplierName-16593971,egistration-16593971,2016-10-26,tionalLocNo-16593971,false,s-16593971,3971,6593971,93971,1,1,3971,71,2004-07-01,3971,p-16593971,71,Number1-16593971,r2-16593971,axNumber3-16593971,axNumber4-16593971,TaxNumber5-16593971,sponsible-16593971,71,1,false,71,2513064753012.423,93971
r-16593972,r-16593972,3972,BusinessPartnerPanNumber-16593972,ser-16593972,2009-11-12,r-16593972,true,true,true,3972,SupplierFullName-16593972,SupplierName-16593972,egistration-16593972,2018-06-15,tionalLocNo-16593972,true,s-16593972,3972,6593972,93972,2,2,3972,72,2018-09-24,3972,p-16593972,72,Number1-16593972,r2-16593972,axNumber3-16593972,axNumber4-16593972,TaxNumber5-16593972,sponsible-16593972,72,2,true,72,4040135611091.779,93972
r-16593973,r-16593973,3973,BusinessPartnerPanNumber-16593973,ser-16593973,2006-11-23,r-16593973,false,false,false,3973,SupplierFullName-16593973,SupplierName-16593973,egistration-16593973,2021-04-02,tionalLocNo-16593973,false,s-16593973,3973,6593973,93973,3,3,3973,73,2013-06-10,3973,p-16593973,73,Number1-16593973,r2-16593973,axNumber3-16593973,axNumber4-16593973,TaxNumber5-16593973,sponsible-16593973,73,3,false,73,8620749612312.014,93973
r-16593974,r-16593974,3974,BusinessPartnerPanNumber-16593974,ser-16593974,2003-08-17,r-16593974,true,true,true,3974,SupplierFullName-16593974,SupplierName-16593974,egistration-16593974,2006-03-04,tionalLocNo-16593974,true,s-16593974,3974,6593974,93974,4,4,3974,74,2021-09-02,3974,p-16593974,74,Number1-16593974,r2-16593974,axNumber3-16593974,axNumber4-16593974,TaxNumber5-16593974,sponsible-16593974,74,4,true,74,4806833060314.336,93974
r-16593975,r-16593975,3975,BusinessPartnerPanNumber-16593975,ser-16593975,2009-07-20,r-16593975,false,false,false,3975,SupplierFullName-16593975,SupplierName-16593975,egistration-16593975,2009-04-03,tionalLocNo-16593975,false,s-16593975,3975,6593975,93975,5,5,3975,75,2005-03-05,3975,p-16593975,75,Number1-16593975,r2-16593975,axNumber3-16593975,axNumber4-16593975,TaxNumber5-16593975,sponsible-16593975,75,5,false,75,5970042018441.903,93975
r-16593976,r-16593976,3976,BusinessPartnerPanNumber-16593976,ser-16593976,2010-07-20,r-16593976,true,true,true,3976,SupplierFullName-16593976,SupplierName-16593976,egistration-16593976,2013-06-21,tionalLocNo-16593976,true,s-16593976,3976,6593976,93976,6,6,3976,76,2009-02-22,3976,p-16593976,76,Number1-16593976,r2-16593976,axNumber3-16593976,axNumber4-16593976,TaxNumber5-16593976,sponsible-16593976,76,6,true,76,254639318530.655,93976
r-16593977,r-16593977,3977,BusinessPartnerPanNumber-16593977,ser-16593977,2008-02-09,r-16593977,false,false,false,3977,SupplierFullName-16593977,SupplierName-16593977,egistration-16593977,2019-10-17,tionalLocNo-16593977,false,s-16593977,3977,6593977,93977,7,7,3977,77,2014-08-06,3977,p-16593977,77,Number1-16593977,r2-16593977,axNumber3-16593977,axNumber4-16593977,TaxNumber5-16593977,sponsible-16593977,77,7,false,77,9278476560547.52,93977
r-16593978,r-16593978,3978,BusinessPartnerPanNumber-16593978,ser-16593978,2022-05-20,r-16593978,true,true,true,3978,SupplierFullName-16593978,SupplierName-16593978,egistration-16593978,2018-12-01,tionalLocNo-16593978,true,s-16593978,3978,6593978,93978,8,8,3978,78,2010-05-25,3978,p-16593978,78,Number1-16593978,r2-16593978,axNumber3-16593978,axNumber4-16593978,TaxNumber5-16593978,sponsible-16593978,78,8,true,78,2729187377020.883,93978
r-16593979,r-16593979,3979,BusinessPartnerPanNumber-16593979,ser-16593979,2021-12-09,r-16593979,false,false,false,3979,SupplierFullName-16593979,SupplierName-16593979,egistration-16593979,2012-02-01,tionalLocNo-16593979,false,s-16593979,3979,6593979,93979,9,9,3979,79,2015-05-14,3979,p-16593979,79,Number1-16593979,r2-16593979,axNumber3-16593979,axNumber4-16593979,TaxNumber5-16593979,sponsible-16593979,79,9,false,79,9080467536508.33,93979
r-16593980,r-16593980,3980,BusinessPartnerPanNumber-16593980,ser-16593980,2001-11-20,r-16593980,true,true,true,3980,SupplierFullName-16593980,SupplierName-16593980,egistration-16593980,2016-05-03,tionalLocNo-16593980,true,s-16593980,3980,6593980,93980,0,0,3980,80,2010-10-30,3980,p-16593980,80,Number1-16593980,r2-16593980,axNumber3-16593980,axNumber4-16593980,TaxNumber5-16593980,sponsible-16593980,80,0,true,80,688227736702.349,93980
