BusinessPartner,BankIdentification,BankCountryKey,BankName,BankNumber,SWIFTCode,BankControlKey,BankAccountHolderName,BankAccountName,ValidityStartDate,ValidityEndDate,IBAN,IBANValidityStartDate,BankAccount,BankAccountReferenceText,CollectionAuthInd,CityName,AuthorizationGroup
k-21383698,3698,698,BankName-21383698,Number-21383698,de-21383698,98,BankAccountHolderName-21383698,BankAccountName-21383698,2014-09-21T00:00:00.000Z,2016-01-04T00:00:00.000Z,IBAN-21383698,2005-10-19,nkAccount-21383698,ferenceText-21383698,true,CityName-21383698,3698
k-21383699,3699,699,BankName-21383699,Number-21383699,de-21383699,99,BankAccountHolderName-21383699,BankAccountName-21383699,2019-08-26T00:00:00.000Z,2003-10-01T00:00:00.000Z,IBAN-21383699,2009-07-16,nkAccount-21383699,ferenceText-21383699,false,CityName-21383699,3699
k-21383700,3700,700,BankName-21383700,Number-21383700,de-21383700,00,BankAccountHolderName-21383700,BankAccountName-21383700,2000-04-16T00:00:00.000Z,2010-05-13T00:00:00.000Z,IBAN-21383700,2019-01-30,nkAccount-21383700,ferenceText-21383700,true,CityName-21383700,3700
k-21383701,3701,701,BankName-21383701,Number-21383701,de-21383701,01,BankAccountHolderName-21383701,BankAccountName-21383701,2019-03-26T00:00:00.000Z,2006-03-20T00:00:00.000Z,IBAN-21383701,2016-01-17,nkAccount-21383701,ferenceText-21383701,false,CityName-21383701,3701
k-21383702,3702,702,BankName-21383702,Number-21383702,de-21383702,02,BankAccountHolderName-21383702,BankAccountName-21383702,2023-11-06T00:00:00.000Z,2002-05-03T00:00:00.000Z,IBAN-21383702,2002-10-25,nkAccount-21383702,ferenceText-21383702,true,CityName-21383702,3702
k-21383703,3703,703,BankName-21383703,Number-21383703,de-21383703,03,BankAccountHolderName-21383703,BankAccountName-21383703,2023-07-17T00:00:00.000Z,2016-06-02T00:00:00.000Z,IBAN-21383703,2021-05-29,nkAccount-21383703,ferenceText-21383703,false,CityName-21383703,3703
k-21383704,3704,704,BankName-21383704,Number-21383704,de-21383704,04,BankAccountHolderName-21383704,BankAccountName-21383704,2003-02-04T00:00:00.000Z,2018-03-08T00:00:00.000Z,IBAN-21383704,2007-10-02,nkAccount-21383704,ferenceText-21383704,true,CityName-21383704,3704
k-21383705,3705,705,BankName-21383705,Number-21383705,de-21383705,05,BankAccountHolderName-21383705,BankAccountName-21383705,2001-09-18T00:00:00.000Z,2013-11-26T00:00:00.000Z,IBAN-21383705,2023-03-23,nkAccount-21383705,ferenceText-21383705,false,CityName-21383705,3705
k-21383706,3706,706,BankName-21383706,Number-21383706,de-21383706,06,BankAccountHolderName-21383706,BankAccountName-21383706,2004-05-26T00:00:00.000Z,2012-04-26T00:00:00.000Z,IBAN-21383706,2007-05-17,nkAccount-21383706,ferenceText-21383706,true,CityName-21383706,3706
k-21383707,3707,707,BankName-21383707,Number-21383707,de-21383707,07,BankAccountHolderName-21383707,BankAccountName-21383707,2013-08-01T00:00:00.000Z,2006-06-28T00:00:00.000Z,IBAN-21383707,2000-03-04,nkAccount-21383707,ferenceText-21383707,false,CityName-21383707,3707
k-21383708,3708,708,BankName-21383708,Number-21383708,de-21383708,08,BankAccountHolderName-21383708,BankAccountName-21383708,2006-01-07T00:00:00.000Z,2014-02-05T00:00:00.000Z,IBAN-21383708,2017-09-19,nkAccount-21383708,ferenceText-21383708,true,CityName-21383708,3708
k-21383709,3709,709,BankName-21383709,Number-21383709,de-21383709,09,BankAccountHolderName-21383709,BankAccountName-21383709,2022-03-06T00:00:00.000Z,2022-08-26T00:00:00.000Z,IBAN-21383709,2017-12-07,nkAccount-21383709,ferenceText-21383709,false,CityName-21383709,3709
k-21383710,3710,710,BankName-21383710,Number-21383710,de-21383710,10,BankAccountHolderName-21383710,BankAccountName-21383710,2017-02-03T00:00:00.000Z,2011-01-04T00:00:00.000Z,IBAN-21383710,2008-02-15,nkAccount-21383710,ferenceText-21383710,true,CityName-21383710,3710
k-21383711,3711,711,BankName-21383711,Number-21383711,de-21383711,11,BankAccountHolderName-21383711,BankAccountName-21383711,2023-02-19T00:00:00.000Z,2021-08-28T00:00:00.000Z,IBAN-21383711,2008-10-21,nkAccount-21383711,ferenceText-21383711,false,CityName-21383711,3711
k-21383712,3712,712,BankName-21383712,Number-21383712,de-21383712,12,BankAccountHolderName-21383712,BankAccountName-21383712,2007-08-28T00:00:00.000Z,2000-04-23T00:00:00.000Z,IBAN-21383712,2020-12-07,nkAccount-21383712,ferenceText-21383712,true,CityName-21383712,3712
k-21383713,3713,713,BankName-21383713,Number-21383713,de-21383713,13,BankAccountHolderName-21383713,BankAccountName-21383713,2008-12-17T00:00:00.000Z,2011-09-26T00:00:00.000Z,IBAN-21383713,2010-09-16,nkAccount-21383713,ferenceText-21383713,false,CityName-21383713,3713
k-21383714,3714,714,BankName-21383714,Number-21383714,de-21383714,14,BankAccountHolderName-21383714,BankAccountName-21383714,2001-06-08T00:00:00.000Z,2019-06-16T00:00:00.000Z,IBAN-21383714,2013-12-06,nkAccount-21383714,ferenceText-21383714,true,CityName-21383714,3714
k-21383715,3715,715,BankName-21383715,Number-21383715,de-21383715,15,BankAccountHolderName-21383715,BankAccountName-21383715,2002-10-01T00:00:00.000Z,2006-08-09T00:00:00.000Z,IBAN-21383715,2005-05-07,nkAccount-21383715,ferenceText-21383715,false,CityName-21383715,3715
k-21383716,3716,716,BankName-21383716,Number-21383716,de-21383716,16,BankAccountHolderName-21383716,BankAccountName-21383716,2001-03-08T00:00:00.000Z,2003-05-25T00:00:00.000Z,IBAN-21383716,2017-08-06,nkAccount-21383716,ferenceText-21383716,true,CityName-21383716,3716
k-21383717,3717,717,BankName-21383717,Number-21383717,de-21383717,17,BankAccountHolderName-21383717,BankAccountName-21383717,2015-10-31T00:00:00.000Z,2010-08-29T00:00:00.000Z,IBAN-21383717,2001-12-02,nkAccount-21383717,ferenceText-21383717,false,CityName-21383717,3717
k-21383718,3718,718,BankName-21383718,Number-21383718,de-21383718,18,BankAccountHolderName-21383718,BankAccountName-21383718,2020-12-28T00:00:00.000Z,2010-04-26T00:00:00.000Z,IBAN-21383718,2014-03-09,nkAccount-21383718,ferenceText-21383718,true,CityName-21383718,3718
k-21383719,3719,719,BankName-21383719,Number-21383719,de-21383719,19,BankAccountHolderName-21383719,BankAccountName-21383719,2002-01-23T00:00:00.000Z,2015-04-12T00:00:00.000Z,IBAN-21383719,2011-11-24,nkAccount-21383719,ferenceText-21383719,false,CityName-21383719,3719
k-21383720,3720,720,BankName-21383720,Number-21383720,de-21383720,20,BankAccountHolderName-21383720,BankAccountName-21383720,2012-09-12T00:00:00.000Z,2008-01-12T00:00:00.000Z,IBAN-21383720,2020-04-03,nkAccount-21383720,ferenceText-21383720,true,CityName-21383720,3720
k-21383721,3721,721,BankName-21383721,Number-21383721,de-21383721,21,BankAccountHolderName-21383721,BankAccountName-21383721,2016-08-22T00:00:00.000Z,2008-05-21T00:00:00.000Z,IBAN-21383721,2003-05-23,nkAccount-21383721,ferenceText-21383721,false,CityName-21383721,3721
k-21383722,3722,722,BankName-21383722,Number-21383722,de-21383722,22,BankAccountHolderName-21383722,BankAccountName-21383722,2001-12-01T00:00:00.000Z,2008-09-19T00:00:00.000Z,IBAN-21383722,2004-11-02,nkAccount-21383722,ferenceText-21383722,true,CityName-21383722,3722
k-21383723,3723,723,BankName-21383723,Number-21383723,de-21383723,23,BankAccountHolderName-21383723,BankAccountName-21383723,2022-12-04T00:00:00.000Z,2010-05-10T00:00:00.000Z,IBAN-21383723,2002-12-18,nkAccount-21383723,ferenceText-21383723,false,CityName-21383723,3723
k-21383724,3724,724,BankName-21383724,Number-21383724,de-21383724,24,BankAccountHolderName-21383724,BankAccountName-21383724,2022-04-18T00:00:00.000Z,2002-12-28T00:00:00.000Z,IBAN-21383724,2011-12-22,nkAccount-21383724,ferenceText-21383724,true,CityName-21383724,3724
k-21383725,3725,725,BankName-21383725,Number-21383725,de-21383725,25,BankAccountHolderName-21383725,BankAccountName-21383725,2023-04-05T00:00:00.000Z,2004-10-26T00:00:00.000Z,IBAN-21383725,2015-04-06,nkAccount-21383725,ferenceText-21383725,false,CityName-21383725,3725
k-21383726,3726,726,BankName-21383726,Number-21383726,de-21383726,26,BankAccountHolderName-21383726,BankAccountName-21383726,2009-04-19T00:00:00.000Z,2000-12-31T00:00:00.000Z,IBAN-21383726,2016-05-01,nkAccount-21383726,ferenceText-21383726,true,CityName-21383726,3726
k-21383727,3727,727,BankName-21383727,Number-21383727,de-21383727,27,BankAccountHolderName-21383727,BankAccountName-21383727,2016-02-16T00:00:00.000Z,2001-05-12T00:00:00.000Z,IBAN-21383727,2018-06-20,nkAccount-21383727,ferenceText-21383727,false,CityName-21383727,3727
k-21383728,3728,728,BankName-21383728,Number-21383728,de-21383728,28,BankAccountHolderName-21383728,BankAccountName-21383728,2019-03-27T00:00:00.000Z,2021-09-02T00:00:00.000Z,IBAN-21383728,2023-10-05,nkAccount-21383728,ferenceText-21383728,true,CityName-21383728,3728
k-21383729,3729,729,BankName-21383729,Number-21383729,de-21383729,29,BankAccountHolderName-21383729,BankAccountName-21383729,2012-03-13T00:00:00.000Z,2017-08-24T00:00:00.000Z,IBAN-21383729,2017-03-15,nkAccount-21383729,ferenceText-21383729,false,CityName-21383729,3729
k-21383730,3730,730,BankName-21383730,Number-21383730,de-21383730,30,BankAccountHolderName-21383730,BankAccountName-21383730,2011-06-25T00:00:00.000Z,2023-05-22T00:00:00.000Z,IBAN-21383730,2002-02-04,nkAccount-21383730,ferenceText-21383730,true,CityName-21383730,3730
k-21383731,3731,731,BankName-21383731,Number-21383731,de-21383731,31,BankAccountHolderName-21383731,BankAccountName-21383731,2020-06-21T00:00:00.000Z,2000-05-01T00:00:00.000Z,IBAN-21383731,2011-06-29,nkAccount-21383731,ferenceText-21383731,false,CityName-21383731,3731
k-21383732,3732,732,BankName-21383732,Number-21383732,de-21383732,32,BankAccountHolderName-21383732,BankAccountName-21383732,2014-02-18T00:00:00.000Z,2004-10-09T00:00:00.000Z,IBAN-21383732,2008-06-22,nkAccount-21383732,ferenceText-21383732,true,CityName-21383732,3732
k-21383733,3733,733,BankName-21383733,Number-21383733,de-21383733,33,BankAccountHolderName-21383733,BankAccountName-21383733,2007-01-29T00:00:00.000Z,2005-05-24T00:00:00.000Z,IBAN-21383733,2005-09-16,nkAccount-21383733,ferenceText-21383733,false,CityName-21383733,3733
k-21383734,3734,734,BankName-21383734,Number-21383734,de-21383734,34,BankAccountHolderName-21383734,BankAccountName-21383734,2001-02-03T00:00:00.000Z,2005-07-21T00:00:00.000Z,IBAN-21383734,2010-03-20,nkAccount-21383734,ferenceText-21383734,true,CityName-21383734,3734
k-21383735,3735,735,BankName-21383735,Number-21383735,de-21383735,35,BankAccountHolderName-21383735,BankAccountName-21383735,2019-04-23T00:00:00.000Z,2018-05-19T00:00:00.000Z,IBAN-21383735,2007-07-01,nkAccount-21383735,ferenceText-21383735,false,CityName-21383735,3735
k-21383736,3736,736,BankName-21383736,Number-21383736,de-21383736,36,BankAccountHolderName-21383736,BankAccountName-21383736,2021-04-07T00:00:00.000Z,2015-10-19T00:00:00.000Z,IBAN-21383736,2009-03-23,nkAccount-21383736,ferenceText-21383736,true,CityName-21383736,3736
k-21383737,3737,737,BankName-21383737,Number-21383737,de-21383737,37,BankAccountHolderName-21383737,BankAccountName-21383737,2002-03-13T00:00:00.000Z,2020-11-24T00:00:00.000Z,IBAN-21383737,2015-02-06,nkAccount-21383737,ferenceText-21383737,false,CityName-21383737,3737
k-21383738,3738,738,BankName-21383738,Number-21383738,de-21383738,38,BankAccountHolderName-21383738,BankAccountName-21383738,2022-05-09T00:00:00.000Z,2023-06-30T00:00:00.000Z,IBAN-21383738,2006-08-01,nkAccount-21383738,ferenceText-21383738,true,CityName-21383738,3738
k-21383739,3739,739,BankName-21383739,Number-21383739,de-21383739,39,BankAccountHolderName-21383739,BankAccountName-21383739,2019-07-07T00:00:00.000Z,2006-07-31T00:00:00.000Z,IBAN-21383739,2022-11-20,nkAccount-21383739,ferenceText-21383739,false,CityName-21383739,3739
k-21383740,3740,740,BankName-21383740,Number-21383740,de-21383740,40,BankAccountHolderName-21383740,BankAccountName-21383740,2016-02-23T00:00:00.000Z,2022-03-27T00:00:00.000Z,IBAN-21383740,2021-05-17,nkAccount-21383740,ferenceText-21383740,true,CityName-21383740,3740
k-21383741,3741,741,BankName-21383741,Number-21383741,de-21383741,41,BankAccountHolderName-21383741,BankAccountName-21383741,2022-01-26T00:00:00.000Z,2017-05-10T00:00:00.000Z,IBAN-21383741,2014-05-29,nkAccount-21383741,ferenceText-21383741,false,CityName-21383741,3741
k-21383742,3742,742,BankName-21383742,Number-21383742,de-21383742,42,BankAccountHolderName-21383742,BankAccountName-21383742,2013-02-15T00:00:00.000Z,2023-12-01T00:00:00.000Z,IBAN-21383742,2010-12-10,nkAccount-21383742,ferenceText-21383742,true,CityName-21383742,3742
k-21383743,3743,743,BankName-21383743,Number-21383743,de-21383743,43,BankAccountHolderName-21383743,BankAccountName-21383743,2015-06-14T00:00:00.000Z,2011-04-05T00:00:00.000Z,IBAN-21383743,2011-02-13,nkAccount-21383743,ferenceText-21383743,false,CityName-21383743,3743
k-21383744,3744,744,BankName-21383744,Number-21383744,de-21383744,44,BankAccountHolderName-21383744,BankAccountName-21383744,2006-11-29T00:00:00.000Z,2011-08-29T00:00:00.000Z,IBAN-21383744,2001-09-11,nkAccount-21383744,ferenceText-21383744,true,CityName-21383744,3744
k-21383745,3745,745,BankName-21383745,Number-21383745,de-21383745,45,BankAccountHolderName-21383745,BankAccountName-21383745,2015-08-30T00:00:00.000Z,2021-06-16T00:00:00.000Z,IBAN-21383745,2021-01-25,nkAccount-21383745,ferenceText-21383745,false,CityName-21383745,3745
k-21383746,3746,746,BankName-21383746,Number-21383746,de-21383746,46,BankAccountHolderName-21383746,BankAccountName-21383746,2013-01-27T00:00:00.000Z,2022-07-09T00:00:00.000Z,IBAN-21383746,2016-04-08,nkAccount-21383746,ferenceText-21383746,true,CityName-21383746,3746
k-21383747,3747,747,BankName-21383747,Number-21383747,de-21383747,47,BankAccountHolderName-21383747,BankAccountName-21383747,2013-08-05T00:00:00.000Z,2016-09-28T00:00:00.000Z,IBAN-21383747,2019-06-27,nkAccount-21383747,ferenceText-21383747,false,CityName-21383747,3747
k-21383748,3748,748,BankName-21383748,Number-21383748,de-21383748,48,BankAccountHolderName-21383748,BankAccountName-21383748,2011-03-12T00:00:00.000Z,2006-05-31T00:00:00.000Z,IBAN-21383748,2001-12-30,nkAccount-21383748,ferenceText-21383748,true,CityName-21383748,3748
k-21383749,3749,749,BankName-21383749,Number-21383749,de-21383749,49,BankAccountHolderName-21383749,BankAccountName-21383749,2004-03-14T00:00:00.000Z,2010-06-14T00:00:00.000Z,IBAN-21383749,2021-07-21,nkAccount-21383749,ferenceText-21383749,false,CityName-21383749,3749
k-21383750,3750,750,BankName-21383750,Number-21383750,de-21383750,50,BankAccountHolderName-21383750,BankAccountName-21383750,2014-08-30T00:00:00.000Z,2006-09-02T00:00:00.000Z,IBAN-21383750,2017-11-14,nkAccount-21383750,ferenceText-21383750,true,CityName-21383750,3750
k-21383751,3751,751,BankName-21383751,Number-21383751,de-21383751,51,BankAccountHolderName-21383751,BankAccountName-21383751,2019-01-16T00:00:00.000Z,2020-07-11T00:00:00.000Z,IBAN-21383751,2008-05-08,nkAccount-21383751,ferenceText-21383751,false,CityName-21383751,3751
k-21383752,3752,752,BankName-21383752,Number-21383752,de-21383752,52,BankAccountHolderName-21383752,BankAccountName-21383752,2019-05-22T00:00:00.000Z,2015-12-05T00:00:00.000Z,IBAN-21383752,2020-04-25,nkAccount-21383752,ferenceText-21383752,true,CityName-21383752,3752
k-21383753,3753,753,BankName-21383753,Number-21383753,de-21383753,53,BankAccountHolderName-21383753,BankAccountName-21383753,2006-04-07T00:00:00.000Z,2009-02-13T00:00:00.000Z,IBAN-21383753,2011-08-10,nkAccount-21383753,ferenceText-21383753,false,CityName-21383753,3753
k-21383754,3754,754,BankName-21383754,Number-21383754,de-21383754,54,BankAccountHolderName-21383754,BankAccountName-21383754,2014-06-23T00:00:00.000Z,2002-11-07T00:00:00.000Z,IBAN-21383754,2011-05-09,nkAccount-21383754,ferenceText-21383754,true,CityName-21383754,3754
k-21383755,3755,755,BankName-21383755,Number-21383755,de-21383755,55,BankAccountHolderName-21383755,BankAccountName-21383755,2003-08-07T00:00:00.000Z,2004-03-17T00:00:00.000Z,IBAN-21383755,2006-01-31,nkAccount-21383755,ferenceText-21383755,false,CityName-21383755,3755
k-21383756,3756,756,BankName-21383756,Number-21383756,de-21383756,56,BankAccountHolderName-21383756,BankAccountName-21383756,2003-08-22T00:00:00.000Z,2016-07-13T00:00:00.000Z,IBAN-21383756,2004-10-27,nkAccount-21383756,ferenceText-21383756,true,CityName-21383756,3756
k-21383757,3757,757,BankName-21383757,Number-21383757,de-21383757,57,BankAccountHolderName-21383757,BankAccountName-21383757,2013-09-24T00:00:00.000Z,2005-05-13T00:00:00.000Z,IBAN-21383757,2008-11-05,nkAccount-21383757,ferenceText-21383757,false,CityName-21383757,3757
k-21383758,3758,758,BankName-21383758,Number-21383758,de-21383758,58,BankAccountHolderName-21383758,BankAccountName-21383758,2020-08-25T00:00:00.000Z,2004-10-01T00:00:00.000Z,IBAN-21383758,2015-06-05,nkAccount-21383758,ferenceText-21383758,true,CityName-21383758,3758
k-21383759,3759,759,BankName-21383759,Number-21383759,de-21383759,59,BankAccountHolderName-21383759,BankAccountName-21383759,2009-02-23T00:00:00.000Z,2019-11-18T00:00:00.000Z,IBAN-21383759,2002-04-09,nkAccount-21383759,ferenceText-21383759,false,CityName-21383759,3759
k-21383760,3760,760,BankName-21383760,Number-21383760,de-21383760,60,BankAccountHolderName-21383760,BankAccountName-21383760,2003-08-29T00:00:00.000Z,2014-08-10T00:00:00.000Z,IBAN-21383760,2015-12-20,nkAccount-21383760,ferenceText-21383760,true,CityName-21383760,3760
k-21383761,3761,761,BankName-21383761,Number-21383761,de-21383761,61,BankAccountHolderName-21383761,BankAccountName-21383761,2003-11-11T00:00:00.000Z,2014-05-25T00:00:00.000Z,IBAN-21383761,2022-08-20,nkAccount-21383761,ferenceText-21383761,false,CityName-21383761,3761
k-21383762,3762,762,BankName-21383762,Number-21383762,de-21383762,62,BankAccountHolderName-21383762,BankAccountName-21383762,2020-02-25T00:00:00.000Z,2015-10-19T00:00:00.000Z,IBAN-21383762,2021-05-26,nkAccount-21383762,ferenceText-21383762,true,CityName-21383762,3762
k-21383763,3763,763,BankName-21383763,Number-21383763,de-21383763,63,BankAccountHolderName-21383763,BankAccountName-21383763,2017-09-21T00:00:00.000Z,2004-07-16T00:00:00.000Z,IBAN-21383763,2021-04-22,nkAccount-21383763,ferenceText-21383763,false,CityName-21383763,3763
k-21383764,3764,764,BankName-21383764,Number-21383764,de-21383764,64,BankAccountHolderName-21383764,BankAccountName-21383764,2008-03-27T00:00:00.000Z,2012-12-02T00:00:00.000Z,IBAN-21383764,2019-05-30,nkAccount-21383764,ferenceText-21383764,true,CityName-21383764,3764
k-21383765,3765,765,BankName-21383765,Number-21383765,de-21383765,65,BankAccountHolderName-21383765,BankAccountName-21383765,2001-06-26T00:00:00.000Z,2014-12-12T00:00:00.000Z,IBAN-21383765,2021-09-08,nkAccount-21383765,ferenceText-21383765,false,CityName-21383765,3765
k-21383766,3766,766,BankName-21383766,Number-21383766,de-21383766,66,BankAccountHolderName-21383766,BankAccountName-21383766,2010-07-09T00:00:00.000Z,2009-02-04T00:00:00.000Z,IBAN-21383766,2017-05-24,nkAccount-21383766,ferenceText-21383766,true,CityName-21383766,3766
k-21383767,3767,767,BankName-21383767,Number-21383767,de-21383767,67,BankAccountHolderName-21383767,BankAccountName-21383767,2010-01-11T00:00:00.000Z,2001-12-15T00:00:00.000Z,IBAN-21383767,2000-01-29,nkAccount-21383767,ferenceText-21383767,false,CityName-21383767,3767
k-21383768,3768,768,BankName-21383768,Number-21383768,de-21383768,68,BankAccountHolderName-21383768,BankAccountName-21383768,2013-11-03T00:00:00.000Z,2012-09-16T00:00:00.000Z,IBAN-21383768,2003-10-18,nkAccount-21383768,ferenceText-21383768,true,CityName-21383768,3768
k-21383769,3769,769,BankName-21383769,Number-21383769,de-21383769,69,BankAccountHolderName-21383769,BankAccountName-21383769,2003-04-06T00:00:00.000Z,2005-08-07T00:00:00.000Z,IBAN-21383769,2010-12-06,nkAccount-21383769,ferenceText-21383769,false,CityName-21383769,3769
k-21383770,3770,770,BankName-21383770,Number-21383770,de-21383770,70,BankAccountHolderName-21383770,BankAccountName-21383770,2000-04-12T00:00:00.000Z,2015-02-22T00:00:00.000Z,IBAN-21383770,2021-01-14,nkAccount-21383770,ferenceText-21383770,true,CityName-21383770,3770
k-21383771,3771,771,BankName-21383771,Number-21383771,de-21383771,71,BankAccountHolderName-21383771,BankAccountName-21383771,2010-03-11T00:00:00.000Z,2001-01-05T00:00:00.000Z,IBAN-21383771,2004-06-05,nkAccount-21383771,ferenceText-21383771,false,CityName-21383771,3771
k-21383772,3772,772,BankName-21383772,Number-21383772,de-21383772,72,BankAccountHolderName-21383772,BankAccountName-21383772,2005-03-26T00:00:00.000Z,2023-04-11T00:00:00.000Z,IBAN-21383772,2005-10-27,nkAccount-21383772,ferenceText-21383772,true,CityName-21383772,3772
k-21383773,3773,773,BankName-21383773,Number-21383773,de-21383773,73,BankAccountHolderName-21383773,BankAccountName-21383773,2003-08-06T00:00:00.000Z,2018-03-27T00:00:00.000Z,IBAN-21383773,2008-03-03,nkAccount-21383773,ferenceText-21383773,false,CityName-21383773,3773
k-21383774,3774,774,BankName-21383774,Number-21383774,de-21383774,74,BankAccountHolderName-21383774,BankAccountName-21383774,2009-07-22T00:00:00.000Z,2018-07-01T00:00:00.000Z,IBAN-21383774,2000-04-03,nkAccount-21383774,ferenceText-21383774,true,CityName-21383774,3774
k-21383775,3775,775,BankName-21383775,Number-21383775,de-21383775,75,BankAccountHolderName-21383775,BankAccountName-21383775,2005-02-09T00:00:00.000Z,2011-05-05T00:00:00.000Z,IBAN-21383775,2006-12-22,nkAccount-21383775,ferenceText-21383775,false,CityName-21383775,3775
k-21383776,3776,776,BankName-21383776,Number-21383776,de-21383776,76,BankAccountHolderName-21383776,BankAccountName-21383776,2010-11-01T00:00:00.000Z,2016-09-26T00:00:00.000Z,IBAN-21383776,2001-01-21,nkAccount-21383776,ferenceText-21383776,true,CityName-21383776,3776
k-21383777,3777,777,BankName-21383777,Number-21383777,de-21383777,77,BankAccountHolderName-21383777,BankAccountName-21383777,2008-08-05T00:00:00.000Z,2019-11-01T00:00:00.000Z,IBAN-21383777,2004-12-06,nkAccount-21383777,ferenceText-21383777,false,CityName-21383777,3777
k-21383778,3778,778,BankName-21383778,Number-21383778,de-21383778,78,BankAccountHolderName-21383778,BankAccountName-21383778,2005-01-05T00:00:00.000Z,2012-06-21T00:00:00.000Z,IBAN-21383778,2010-12-25,nkAccount-21383778,ferenceText-21383778,true,CityName-21383778,3778
k-21383779,3779,779,BankName-21383779,Number-21383779,de-21383779,79,BankAccountHolderName-21383779,BankAccountName-21383779,2000-07-22T00:00:00.000Z,2002-06-13T00:00:00.000Z,IBAN-21383779,2001-01-12,nkAccount-21383779,ferenceText-21383779,false,CityName-21383779,3779
k-21383780,3780,780,BankName-21383780,Number-21383780,de-21383780,80,BankAccountHolderName-21383780,BankAccountName-21383780,2016-03-05T00:00:00.000Z,2017-06-09T00:00:00.000Z,IBAN-21383780,2015-08-09,nkAccount-21383780,ferenceText-21383780,true,CityName-21383780,3780
k-21383781,3781,781,BankName-21383781,Number-21383781,de-21383781,81,BankAccountHolderName-21383781,BankAccountName-21383781,2004-04-10T00:00:00.000Z,2018-02-24T00:00:00.000Z,IBAN-21383781,2012-05-29,nkAccount-21383781,ferenceText-21383781,false,CityName-21383781,3781
k-21383782,3782,782,BankName-21383782,Number-21383782,de-21383782,82,BankAccountHolderName-21383782,BankAccountName-21383782,2002-06-27T00:00:00.000Z,2010-11-26T00:00:00.000Z,IBAN-21383782,2020-03-11,nkAccount-21383782,ferenceText-21383782,true,CityName-21383782,3782
k-21383783,3783,783,BankName-21383783,Number-21383783,de-21383783,83,BankAccountHolderName-21383783,BankAccountName-21383783,2011-08-15T00:00:00.000Z,2009-10-17T00:00:00.000Z,IBAN-21383783,2006-02-25,nkAccount-21383783,ferenceText-21383783,false,CityName-21383783,3783
