BusinessPartner,AddressID,AddressRepresentationCode,AddresseeFullName,AddressIDByExternalSystem,AddressPersonID,AddressSearchTerm1,AddressSearchTerm2,AddressTimeZone,CareOfName,CityName,CityNumber,CompanyPostalCode,Country,DeliveryServiceNumber,DeliveryServiceTypeCode,DistrictName,FormOfAddress,HouseNumber,HouseNumberSupplementText,Language,OrganizationName1,OrganizationName2,OrganizationName3,OrganizationName4,PersonFamilyName,PersonGivenName,POBox,POBoxDeviatingCityName,POBoxDeviatingCountry,POBoxDeviatingRegion,POBoxIsWithoutNumber,POBoxLobbyName,POBoxPostalCode,PostalCode,PrfrdCommMediumType,Region,SecondaryRegion,SecondaryRegionName,StreetName,StreetPrefixName1,StreetPrefixName2,StreetSuffixName1,StreetSuffixName2,TaxJurisdiction,TertiaryRegion,TertiaryRegionName,TransportZone,VillageName
n-13281574,n-13281574,4,AddresseeFullName-13281574,ernalSystem-13281574,D-13281574,SearchTerm1-13281574,SearchTerm2-13281574,281574,CareOfName-13281574,CityName-13281574,ber-13281574,e-13281574,574,r-13281574,1574,DistrictName-13281574,1574,r-13281574,t-13281574,74,OrganizationName1-13281574,OrganizationName2-13281574,OrganizationName3-13281574,OrganizationName4-13281574,PersonFamilyName-13281574,PersonGivenName-13281574,x-13281574,POBoxDeviatingCityName-13281574,574,574,true,POBoxLobbyName-13281574,e-13281574,e-13281574,574,574,13281574,SecondaryRegionName-13281574,StreetName-13281574,StreetPrefixName1-13281574,StreetPrefixName2-13281574,StreetSuffixName1-13281574,StreetSuffixName2-13281574,iction-13281574,13281574,TertiaryRegionName-13281574,e-13281574,VillageName-13281574
n-13281575,n-13281575,5,AddresseeFullName-13281575,ernalSystem-13281575,D-13281575,SearchTerm1-13281575,SearchTerm2-13281575,281575,CareOfName-13281575,CityName-13281575,ber-13281575,e-13281575,575,r-13281575,1575,DistrictName-13281575,1575,r-13281575,t-13281575,75,OrganizationName1-13281575,OrganizationName2-13281575,OrganizationName3-13281575,OrganizationName4-13281575,PersonFamilyName-13281575,PersonGivenName-13281575,x-13281575,POBoxDeviatingCityName-13281575,575,575,false,POBoxLobbyName-13281575,e-13281575,e-13281575,575,575,13281575,SecondaryRegionName-13281575,StreetName-13281575,StreetPrefixName1-13281575,StreetPrefixName2-13281575,StreetSuffixName1-13281575,StreetSuffixName2-13281575,iction-13281575,13281575,TertiaryRegionName-13281575,e-13281575,VillageName-13281575
n-13281576,n-13281576,6,AddresseeFullName-13281576,ernalSystem-13281576,D-13281576,SearchTerm1-13281576,SearchTerm2-13281576,281576,CareOfName-13281576,CityName-13281576,ber-13281576,e-13281576,576,r-13281576,1576,DistrictName-13281576,1576,r-13281576,t-13281576,76,OrganizationName1-13281576,OrganizationName2-13281576,OrganizationName3-13281576,OrganizationName4-13281576,PersonFamilyName-13281576,PersonGivenName-13281576,x-13281576,POBoxDeviatingCityName-13281576,576,576,true,POBoxLobbyName-13281576,e-13281576,e-13281576,576,576,13281576,SecondaryRegionName-13281576,StreetName-13281576,StreetPrefixName1-13281576,StreetPrefixName2-13281576,StreetSuffixName1-13281576,StreetSuffixName2-13281576,iction-13281576,13281576,TertiaryRegionName-13281576,e-13281576,VillageName-13281576
n-13281577,n-13281577,7,AddresseeFullName-13281577,ernalSystem-13281577,D-13281577,SearchTerm1-13281577,SearchTerm2-13281577,281577,CareOfName-13281577,CityName-13281577,ber-13281577,e-13281577,577,r-13281577,1577,DistrictName-13281577,1577,r-13281577,t-13281577,77,OrganizationName1-13281577,OrganizationName2-13281577,OrganizationName3-13281577,OrganizationName4-13281577,PersonFamilyName-13281577,PersonGivenName-13281577,x-13281577,POBoxDeviatingCityName-13281577,577,577,false,POBoxLobbyName-13281577,e-13281577,e-13281577,577,577,13281577,SecondaryRegionName-13281577,StreetName-13281577,StreetPrefixName1-13281577,StreetPrefixName2-13281577,StreetSuffixName1-13281577,StreetSuffixName2-13281577,iction-13281577,13281577,TertiaryRegionName-13281577,e-13281577,VillageName-13281577
n-13281578,n-13281578,8,AddresseeFullName-13281578,ernalSystem-13281578,D-13281578,SearchTerm1-13281578,SearchTerm2-13281578,281578,CareOfName-13281578,CityName-13281578,ber-13281578,e-13281578,578,r-13281578,1578,DistrictName-13281578,1578,r-13281578,t-13281578,78,OrganizationName1-13281578,OrganizationName2-13281578,OrganizationName3-13281578,OrganizationName4-13281578,PersonFamilyName-13281578,PersonGivenName-13281578,x-13281578,POBoxDeviatingCityName-13281578,578,578,true,POBoxLobbyName-13281578,e-13281578,e-13281578,578,578,13281578,SecondaryRegionName-13281578,StreetName-13281578,StreetPrefixName1-13281578,StreetPrefixName2-13281578,StreetSuffixName1-13281578,StreetSuffixName2-13281578,iction-13281578,13281578,TertiaryRegionName-13281578,e-13281578,VillageName-13281578
n-13281579,n-13281579,9,AddresseeFullName-13281579,ernalSystem-13281579,D-13281579,SearchTerm1-13281579,SearchTerm2-13281579,281579,CareOfName-13281579,CityName-13281579,ber-13281579,e-13281579,579,r-13281579,1579,DistrictName-13281579,1579,r-13281579,t-13281579,79,OrganizationName1-13281579,OrganizationName2-13281579,OrganizationName3-13281579,OrganizationName4-13281579,PersonFamilyName-13281579,PersonGivenName-13281579,x-13281579,POBoxDeviatingCityName-13281579,579,579,false,POBoxLobbyName-13281579,e-13281579,e-13281579,579,579,13281579,SecondaryRegionName-13281579,StreetName-13281579,StreetPrefixName1-13281579,StreetPrefixName2-13281579,StreetSuffixName1-13281579,StreetSuffixName2-13281579,iction-13281579,13281579,TertiaryRegionName-13281579,e-13281579,VillageName-13281579
n-13281580,n-13281580,0,AddresseeFullName-13281580,ernalSystem-13281580,D-13281580,SearchTerm1-13281580,SearchTerm2-13281580,281580,CareOfName-13281580,CityName-13281580,ber-13281580,e-13281580,580,r-13281580,1580,DistrictName-13281580,1580,r-13281580,t-13281580,80,OrganizationName1-13281580,OrganizationName2-13281580,OrganizationName3-13281580,OrganizationName4-13281580,PersonFamilyName-13281580,PersonGivenName-13281580,x-13281580,POBoxDeviatingCityName-13281580,580,580,true,POBoxLobbyName-13281580,e-13281580,e-13281580,580,580,13281580,SecondaryRegionName-13281580,StreetName-13281580,StreetPrefixName1-13281580,StreetPrefixName2-13281580,StreetSuffixName1-13281580,StreetSuffixName2-13281580,iction-13281580,13281580,TertiaryRegionName-13281580,e-13281580,VillageName-13281580
n-13281581,n-13281581,1,AddresseeFullName-13281581,ernalSystem-13281581,D-13281581,SearchTerm1-13281581,SearchTerm2-13281581,281581,CareOfName-13281581,CityName-13281581,ber-13281581,e-13281581,581,r-13281581,1581,DistrictName-13281581,1581,r-13281581,t-13281581,81,OrganizationName1-13281581,OrganizationName2-13281581,OrganizationName3-13281581,OrganizationName4-13281581,PersonFamilyName-13281581,PersonGivenName-13281581,x-13281581,POBoxDeviatingCityName-13281581,581,581,false,POBoxLobbyName-13281581,e-13281581,e-13281581,581,581,13281581,SecondaryRegionName-13281581,StreetName-13281581,StreetPrefixName1-13281581,StreetPrefixName2-13281581,StreetSuffixName1-13281581,StreetSuffixName2-13281581,iction-13281581,13281581,TertiaryRegionName-13281581,e-13281581,VillageName-13281581
n-13281582,n-13281582,2,AddresseeFullName-13281582,ernalSystem-13281582,D-13281582,SearchTerm1-13281582,SearchTerm2-13281582,281582,CareOfName-13281582,CityName-13281582,ber-13281582,e-13281582,582,r-13281582,1582,DistrictName-13281582,1582,r-13281582,t-13281582,82,OrganizationName1-13281582,OrganizationName2-13281582,OrganizationName3-13281582,OrganizationName4-13281582,PersonFamilyName-13281582,PersonGivenName-13281582,x-13281582,POBoxDeviatingCityName-13281582,582,582,true,POBoxLobbyName-13281582,e-13281582,e-13281582,582,582,13281582,SecondaryRegionName-13281582,StreetName-13281582,StreetPrefixName1-13281582,StreetPrefixName2-13281582,StreetSuffixName1-13281582,StreetSuffixName2-13281582,iction-13281582,13281582,TertiaryRegionName-13281582,e-13281582,VillageName-13281582
n-13281583,n-13281583,3,AddresseeFullName-13281583,ernalSystem-13281583,D-13281583,SearchTerm1-13281583,SearchTerm2-13281583,281583,CareOfName-13281583,CityName-13281583,ber-13281583,e-13281583,583,r-13281583,1583,DistrictName-13281583,1583,r-13281583,t-13281583,83,OrganizationName1-13281583,OrganizationName2-13281583,OrganizationName3-13281583,OrganizationName4-13281583,PersonFamilyName-13281583,PersonGivenName-13281583,x-13281583,POBoxDeviatingCityName-13281583,583,583,false,POBoxLobbyName-13281583,e-13281583,e-13281583,583,583,13281583,SecondaryRegionName-13281583,StreetName-13281583,StreetPrefixName1-13281583,StreetPrefixName2-13281583,StreetSuffixName1-13281583,StreetSuffixName2-13281583,iction-13281583,13281583,TertiaryRegionName-13281583,e-13281583,VillageName-13281583
n-13281584,n-13281584,4,AddresseeFullName-13281584,ernalSystem-13281584,D-13281584,SearchTerm1-13281584,SearchTerm2-13281584,281584,CareOfName-13281584,CityName-13281584,ber-13281584,e-13281584,584,r-13281584,1584,DistrictName-13281584,1584,r-13281584,t-13281584,84,OrganizationName1-13281584,OrganizationName2-13281584,OrganizationName3-13281584,OrganizationName4-13281584,PersonFamilyName-13281584,PersonGivenName-13281584,x-13281584,POBoxDeviatingCityName-13281584,584,584,true,POBoxLobbyName-13281584,e-13281584,e-13281584,584,584,13281584,SecondaryRegionName-13281584,StreetName-13281584,StreetPrefixName1-13281584,StreetPrefixName2-13281584,StreetSuffixName1-13281584,StreetSuffixName2-13281584,iction-13281584,13281584,TertiaryRegionName-13281584,e-13281584,VillageName-13281584
n-13281585,n-13281585,5,AddresseeFullName-13281585,ernalSystem-13281585,D-13281585,SearchTerm1-13281585,SearchTerm2-13281585,281585,CareOfName-13281585,CityName-13281585,ber-13281585,e-13281585,585,r-13281585,1585,DistrictName-13281585,1585,r-13281585,t-13281585,85,OrganizationName1-13281585,OrganizationName2-13281585,OrganizationName3-13281585,OrganizationName4-13281585,PersonFamilyName-13281585,PersonGivenName-13281585,x-13281585,POBoxDeviatingCityName-13281585,585,585,false,POBoxLobbyName-13281585,e-13281585,e-13281585,585,585,13281585,SecondaryRegionName-13281585,StreetName-13281585,StreetPrefixName1-13281585,StreetPrefixName2-13281585,StreetSuffixName1-13281585,StreetSuffixName2-13281585,iction-13281585,13281585,TertiaryRegionName-13281585,e-13281585,VillageName-13281585
n-13281586,n-13281586,6,AddresseeFullName-13281586,ernalSystem-13281586,D-13281586,SearchTerm1-13281586,SearchTerm2-13281586,281586,CareOfName-13281586,CityName-13281586,ber-13281586,e-13281586,586,r-13281586,1586,DistrictName-13281586,1586,r-13281586,t-13281586,86,OrganizationName1-13281586,OrganizationName2-13281586,OrganizationName3-13281586,OrganizationName4-13281586,PersonFamilyName-13281586,PersonGivenName-13281586,x-13281586,POBoxDeviatingCityName-13281586,586,586,true,POBoxLobbyName-13281586,e-13281586,e-13281586,586,586,13281586,SecondaryRegionName-13281586,StreetName-13281586,StreetPrefixName1-13281586,StreetPrefixName2-13281586,StreetSuffixName1-13281586,StreetSuffixName2-13281586,iction-13281586,13281586,TertiaryRegionName-13281586,e-13281586,VillageName-13281586
n-13281587,n-13281587,7,AddresseeFullName-13281587,ernalSystem-13281587,D-13281587,SearchTerm1-13281587,SearchTerm2-13281587,281587,CareOfName-13281587,CityName-13281587,ber-13281587,e-13281587,587,r-13281587,1587,DistrictName-13281587,1587,r-13281587,t-13281587,87,OrganizationName1-13281587,OrganizationName2-13281587,OrganizationName3-13281587,OrganizationName4-13281587,PersonFamilyName-13281587,PersonGivenName-13281587,x-13281587,POBoxDeviatingCityName-13281587,587,587,false,POBoxLobbyName-13281587,e-13281587,e-13281587,587,587,13281587,SecondaryRegionName-13281587,StreetName-13281587,StreetPrefixName1-13281587,StreetPrefixName2-13281587,StreetSuffixName1-13281587,StreetSuffixName2-13281587,iction-13281587,13281587,TertiaryRegionName-13281587,e-13281587,VillageName-13281587
n-13281588,n-13281588,8,AddresseeFullName-13281588,ernalSystem-13281588,D-13281588,SearchTerm1-13281588,SearchTerm2-13281588,281588,CareOfName-13281588,CityName-13281588,ber-13281588,e-13281588,588,r-13281588,1588,DistrictName-13281588,1588,r-13281588,t-13281588,88,OrganizationName1-13281588,OrganizationName2-13281588,OrganizationName3-13281588,OrganizationName4-13281588,PersonFamilyName-13281588,PersonGivenName-13281588,x-13281588,POBoxDeviatingCityName-13281588,588,588,true,POBoxLobbyName-13281588,e-13281588,e-13281588,588,588,13281588,SecondaryRegionName-13281588,StreetName-13281588,StreetPrefixName1-13281588,StreetPrefixName2-13281588,StreetSuffixName1-13281588,StreetSuffixName2-13281588,iction-13281588,13281588,TertiaryRegionName-13281588,e-13281588,VillageName-13281588
n-13281589,n-13281589,9,AddresseeFullName-13281589,ernalSystem-13281589,D-13281589,SearchTerm1-13281589,SearchTerm2-13281589,281589,CareOfName-13281589,CityName-13281589,ber-13281589,e-13281589,589,r-13281589,1589,DistrictName-13281589,1589,r-13281589,t-13281589,89,OrganizationName1-13281589,OrganizationName2-13281589,OrganizationName3-13281589,OrganizationName4-13281589,PersonFamilyName-13281589,PersonGivenName-13281589,x-13281589,POBoxDeviatingCityName-13281589,589,589,false,POBoxLobbyName-13281589,e-13281589,e-13281589,589,589,13281589,SecondaryRegionName-13281589,StreetName-13281589,StreetPrefixName1-13281589,StreetPrefixName2-13281589,StreetSuffixName1-13281589,StreetSuffixName2-13281589,iction-13281589,13281589,TertiaryRegionName-13281589,e-13281589,VillageName-13281589
n-13281590,n-13281590,0,AddresseeFullName-13281590,ernalSystem-13281590,D-13281590,SearchTerm1-13281590,SearchTerm2-13281590,281590,CareOfName-13281590,CityName-13281590,ber-13281590,e-13281590,590,r-13281590,1590,DistrictName-13281590,1590,r-13281590,t-13281590,90,OrganizationName1-13281590,OrganizationName2-13281590,OrganizationName3-13281590,OrganizationName4-13281590,PersonFamilyName-13281590,PersonGivenName-13281590,x-13281590,POBoxDeviatingCityName-13281590,590,590,true,POBoxLobbyName-13281590,e-13281590,e-13281590,590,590,13281590,SecondaryRegionName-13281590,StreetName-13281590,StreetPrefixName1-13281590,StreetPrefixName2-13281590,StreetSuffixName1-13281590,StreetSuffixName2-13281590,iction-13281590,13281590,TertiaryRegionName-13281590,e-13281590,VillageName-13281590
n-13281591,n-13281591,1,AddresseeFullName-13281591,ernalSystem-13281591,D-13281591,SearchTerm1-13281591,SearchTerm2-13281591,281591,CareOfName-13281591,CityName-13281591,ber-13281591,e-13281591,591,r-13281591,1591,DistrictName-13281591,1591,r-13281591,t-13281591,91,OrganizationName1-13281591,OrganizationName2-13281591,OrganizationName3-13281591,OrganizationName4-13281591,PersonFamilyName-13281591,PersonGivenName-13281591,x-13281591,POBoxDeviatingCityName-13281591,591,591,false,POBoxLobbyName-13281591,e-13281591,e-13281591,591,591,13281591,SecondaryRegionName-13281591,StreetName-13281591,StreetPrefixName1-13281591,StreetPrefixName2-13281591,StreetSuffixName1-13281591,StreetSuffixName2-13281591,iction-13281591,13281591,TertiaryRegionName-13281591,e-13281591,VillageName-13281591
n-13281592,n-13281592,2,AddresseeFullName-13281592,ernalSystem-13281592,D-13281592,SearchTerm1-13281592,SearchTerm2-13281592,281592,CareOfName-13281592,CityName-13281592,ber-13281592,e-13281592,592,r-13281592,1592,DistrictName-13281592,1592,r-13281592,t-13281592,92,OrganizationName1-13281592,OrganizationName2-13281592,OrganizationName3-13281592,OrganizationName4-13281592,PersonFamilyName-13281592,PersonGivenName-13281592,x-13281592,POBoxDeviatingCityName-13281592,592,592,true,POBoxLobbyName-13281592,e-13281592,e-13281592,592,592,13281592,SecondaryRegionName-13281592,StreetName-13281592,StreetPrefixName1-13281592,StreetPrefixName2-13281592,StreetSuffixName1-13281592,StreetSuffixName2-13281592,iction-13281592,13281592,TertiaryRegionName-13281592,e-13281592,VillageName-13281592
n-13281593,n-13281593,3,AddresseeFullName-13281593,ernalSystem-13281593,D-13281593,SearchTerm1-13281593,SearchTerm2-13281593,281593,CareOfName-13281593,CityName-13281593,ber-13281593,e-13281593,593,r-13281593,1593,DistrictName-13281593,1593,r-13281593,t-13281593,93,OrganizationName1-13281593,OrganizationName2-13281593,OrganizationName3-13281593,OrganizationName4-13281593,PersonFamilyName-13281593,PersonGivenName-13281593,x-13281593,POBoxDeviatingCityName-13281593,593,593,false,POBoxLobbyName-13281593,e-13281593,e-13281593,593,593,13281593,SecondaryRegionName-13281593,StreetName-13281593,StreetPrefixName1-13281593,StreetPrefixName2-13281593,StreetSuffixName1-13281593,StreetSuffixName2-13281593,iction-13281593,13281593,TertiaryRegionName-13281593,e-13281593,VillageName-13281593
n-13281594,n-13281594,4,AddresseeFullName-13281594,ernalSystem-13281594,D-13281594,SearchTerm1-13281594,SearchTerm2-13281594,281594,CareOfName-13281594,CityName-13281594,ber-13281594,e-13281594,594,r-13281594,1594,DistrictName-13281594,1594,r-13281594,t-13281594,94,OrganizationName1-13281594,OrganizationName2-13281594,OrganizationName3-13281594,OrganizationName4-13281594,PersonFamilyName-13281594,PersonGivenName-13281594,x-13281594,POBoxDeviatingCityName-13281594,594,594,true,POBoxLobbyName-13281594,e-13281594,e-13281594,594,594,13281594,SecondaryRegionName-13281594,StreetName-13281594,StreetPrefixName1-13281594,StreetPrefixName2-13281594,StreetSuffixName1-13281594,StreetSuffixName2-13281594,iction-13281594,13281594,TertiaryRegionName-13281594,e-13281594,VillageName-13281594
n-13281595,n-13281595,5,AddresseeFullName-13281595,ernalSystem-13281595,D-13281595,SearchTerm1-13281595,SearchTerm2-13281595,281595,CareOfName-13281595,CityName-13281595,ber-13281595,e-13281595,595,r-13281595,1595,DistrictName-13281595,1595,r-13281595,t-13281595,95,OrganizationName1-13281595,OrganizationName2-13281595,OrganizationName3-13281595,OrganizationName4-13281595,PersonFamilyName-13281595,PersonGivenName-13281595,x-13281595,POBoxDeviatingCityName-13281595,595,595,false,POBoxLobbyName-13281595,e-13281595,e-13281595,595,595,13281595,SecondaryRegionName-13281595,StreetName-13281595,StreetPrefixName1-13281595,StreetPrefixName2-13281595,StreetSuffixName1-13281595,StreetSuffixName2-13281595,iction-13281595,13281595,TertiaryRegionName-13281595,e-13281595,VillageName-13281595
n-13281596,n-13281596,6,AddresseeFullName-13281596,ernalSystem-13281596,D-13281596,SearchTerm1-13281596,SearchTerm2-13281596,281596,CareOfName-13281596,CityName-13281596,ber-13281596,e-13281596,596,r-13281596,1596,DistrictName-13281596,1596,r-13281596,t-13281596,96,OrganizationName1-13281596,OrganizationName2-13281596,OrganizationName3-13281596,OrganizationName4-13281596,PersonFamilyName-13281596,PersonGivenName-13281596,x-13281596,POBoxDeviatingCityName-13281596,596,596,true,POBoxLobbyName-13281596,e-13281596,e-13281596,596,596,13281596,SecondaryRegionName-13281596,StreetName-13281596,StreetPrefixName1-13281596,StreetPrefixName2-13281596,StreetSuffixName1-13281596,StreetSuffixName2-13281596,iction-13281596,13281596,TertiaryRegionName-13281596,e-13281596,VillageName-13281596
