BusinessPartner,Customer,Supplier,AcademicTitle,AuthorizationGroup,BusinessPartnerCategory,BusinessPartnerFullName,BusinessPartnerGrouping,BusinessPartnerName,BusinessPartnerUUID,CorrespondenceLanguage,CreatedByUser,CreationDate,CreationTime,FirstName,FormOfAddress,Industry,InternationalLocationNumber1,InternationalLocationNumber2,IsFemale,IsMale,IsNaturalPerson,IsSexUnknown,GenderCodeName,Language,LastChangeDate,LastChangeTime,LastChangedByUser,LastName,LegalForm,OrganizationBPName1,OrganizationBPName2,OrganizationBPName3,OrganizationBPName4,OrganizationFoundationDate,OrganizationLiquidationDate,SearchTerm1,SearchTerm2,AdditionalLastName,BirthDate,BusinessPartnerBirthDateStatus,BusinessPartnerBirthplaceName,BusinessPartnerDeathDate,BusinessPartnerIsBlocked,BusinessPartnerType,ETag,GroupBusinessPartnerName1,GroupBusinessPartnerName2,IndependentAddressID,InternationalLocationNumber3,MiddleName,NameCountry,NameFormat,PersonFullName,PersonNumber,IsMarkedForArchiving,BusinessPartnerIDByExtSystem,BusinessPartnerPrintFormat,BusinessPartnerOccupation,BusPartMaritalStatus,BusPartNationality,BusinessPartnerBirthName,BusinessPartnerSupplementName,NaturalPersonEmployerName,LastNamePrefix,LastNameSecondPrefix,Initials,BPDataControllerIsNotRequired,TradingPartner,to_BPCreditWorthiness_BusinessPartner,to_BPFinServicesReporting_BusinessPartner,to_BusinessPartner_BusinessPartner,to_BusinessPartnerIsBank_BusinessPartner,to_Customer_Customer,to_Supplier_Supplier
r-29041820,r-29041820,r-29041820,1820,1820,0,BusinessPartnerFullName-29041820,1820,BusinessPartnerName-29041820,29041820-ba08-48b0-83d4-b099e0734a01,20,ser-29041820,2015-03-18,22:59:53,FirstName-29041820,1820,y-29041820,9041820,41820,true,true,0,true,0,20,2007-06-24,22:59:53,ser-29041820,LastName-29041820,20,OrganizationBPName1-29041820,OrganizationBPName2-29041820,OrganizationBPName3-29041820,OrganizationBPName4-29041820,2007-04-14,2007-05-05,SearchTerm1-29041820,SearchTerm2-29041820,AdditionalLastName-29041820,2007-05-11,0,BusinessPartnerBirthplaceName-29041820,2019-10-10,true,1820,ETag-29041820,GroupBusinessPartnerName1-29041820,GroupBusinessPartnerName2-29041820,D-29041820,0,MiddleName-29041820,820,20,PersonFullName-29041820,r-29041820,true,ByExtSystem-29041820,0,1820,0,820,BusinessPartnerBirthName-29041820,1820,NaturalPersonEmployerName-29041820,1820,1820,s-29041820,true,041820,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041821,r-29041821,r-29041821,1821,1821,1,BusinessPartnerFullName-29041821,1821,BusinessPartnerName-29041821,29041821-3058-4dae-be07-857b991e80d4,21,ser-29041821,2022-04-09,22:59:53,FirstName-29041821,1821,y-29041821,9041821,41821,false,false,1,false,1,21,2014-06-21,22:59:53,ser-29041821,LastName-29041821,21,OrganizationBPName1-29041821,OrganizationBPName2-29041821,OrganizationBPName3-29041821,OrganizationBPName4-29041821,2011-03-02,2011-02-13,SearchTerm1-29041821,SearchTerm2-29041821,AdditionalLastName-29041821,2010-03-01,1,BusinessPartnerBirthplaceName-29041821,2004-09-23,false,1821,ETag-29041821,GroupBusinessPartnerName1-29041821,GroupBusinessPartnerName2-29041821,D-29041821,1,MiddleName-29041821,821,21,PersonFullName-29041821,r-29041821,false,ByExtSystem-29041821,1,1821,1,821,BusinessPartnerBirthName-29041821,1821,NaturalPersonEmployerName-29041821,1821,1821,s-29041821,false,041821,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041822,r-29041822,r-29041822,1822,1822,2,BusinessPartnerFullName-29041822,1822,BusinessPartnerName-29041822,29041822-1336-47cb-9591-912dd408d30e,22,ser-29041822,2016-05-04,22:59:53,FirstName-29041822,1822,y-29041822,9041822,41822,true,true,2,true,2,22,2009-04-26,22:59:53,ser-29041822,LastName-29041822,22,OrganizationBPName1-29041822,OrganizationBPName2-29041822,OrganizationBPName3-29041822,OrganizationBPName4-29041822,2014-10-17,2016-06-29,SearchTerm1-29041822,SearchTerm2-29041822,AdditionalLastName-29041822,2023-03-23,2,BusinessPartnerBirthplaceName-29041822,2002-07-23,true,1822,ETag-29041822,GroupBusinessPartnerName1-29041822,GroupBusinessPartnerName2-29041822,D-29041822,2,MiddleName-29041822,822,22,PersonFullName-29041822,r-29041822,true,ByExtSystem-29041822,2,1822,2,822,BusinessPartnerBirthName-29041822,1822,NaturalPersonEmployerName-29041822,1822,1822,s-29041822,true,041822,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041823,r-29041823,r-29041823,1823,1823,3,BusinessPartnerFullName-29041823,1823,BusinessPartnerName-29041823,29041823-de6c-4507-ac1c-8e4a7e2905f1,23,ser-29041823,2016-05-18,22:59:53,FirstName-29041823,1823,y-29041823,9041823,41823,false,false,3,false,3,23,2008-09-08,22:59:53,ser-29041823,LastName-29041823,23,OrganizationBPName1-29041823,OrganizationBPName2-29041823,OrganizationBPName3-29041823,OrganizationBPName4-29041823,2007-11-15,2016-03-06,SearchTerm1-29041823,SearchTerm2-29041823,AdditionalLastName-29041823,2019-03-05,3,BusinessPartnerBirthplaceName-29041823,2012-12-18,false,1823,ETag-29041823,GroupBusinessPartnerName1-29041823,GroupBusinessPartnerName2-29041823,D-29041823,3,MiddleName-29041823,823,23,PersonFullName-29041823,r-29041823,false,ByExtSystem-29041823,3,1823,3,823,BusinessPartnerBirthName-29041823,1823,NaturalPersonEmployerName-29041823,1823,1823,s-29041823,false,041823,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041824,r-29041824,r-29041824,1824,1824,4,BusinessPartnerFullName-29041824,1824,BusinessPartnerName-29041824,29041824-d01e-4b1e-90ff-a9c43522dd88,24,ser-29041824,2022-02-13,22:59:53,FirstName-29041824,1824,y-29041824,9041824,41824,true,true,4,true,4,24,2016-05-13,22:59:53,ser-29041824,LastName-29041824,24,OrganizationBPName1-29041824,OrganizationBPName2-29041824,OrganizationBPName3-29041824,OrganizationBPName4-29041824,2003-01-07,2021-09-28,SearchTerm1-29041824,SearchTerm2-29041824,AdditionalLastName-29041824,2012-04-17,4,BusinessPartnerBirthplaceName-29041824,2006-06-02,true,1824,ETag-29041824,GroupBusinessPartnerName1-29041824,GroupBusinessPartnerName2-29041824,D-29041824,4,MiddleName-29041824,824,24,PersonFullName-29041824,r-29041824,true,ByExtSystem-29041824,4,1824,4,824,BusinessPartnerBirthName-29041824,1824,NaturalPersonEmployerName-29041824,1824,1824,s-29041824,true,041824,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041825,r-29041825,r-29041825,1825,1825,5,BusinessPartnerFullName-29041825,1825,BusinessPartnerName-29041825,29041825-2787-4f91-a89a-c81de618cb53,25,ser-29041825,2013-02-12,22:59:53,FirstName-29041825,1825,y-29041825,9041825,41825,false,false,5,false,5,25,2000-08-23,22:59:53,ser-29041825,LastName-29041825,25,OrganizationBPName1-29041825,OrganizationBPName2-29041825,OrganizationBPName3-29041825,OrganizationBPName4-29041825,2009-06-11,2009-08-16,SearchTerm1-29041825,SearchTerm2-29041825,AdditionalLastName-29041825,2005-04-21,5,BusinessPartnerBirthplaceName-29041825,2012-04-30,false,1825,ETag-29041825,GroupBusinessPartnerName1-29041825,GroupBusinessPartnerName2-29041825,D-29041825,5,MiddleName-29041825,825,25,PersonFullName-29041825,r-29041825,false,ByExtSystem-29041825,5,1825,5,825,BusinessPartnerBirthName-29041825,1825,NaturalPersonEmployerName-29041825,1825,1825,s-29041825,false,041825,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041826,r-29041826,r-29041826,1826,1826,6,BusinessPartnerFullName-29041826,1826,BusinessPartnerName-29041826,29041826-f471-4312-ba10-934dde8c9cb9,26,ser-29041826,2013-12-28,22:59:53,FirstName-29041826,1826,y-29041826,9041826,41826,true,true,6,true,6,26,2018-11-29,22:59:53,ser-29041826,LastName-29041826,26,OrganizationBPName1-29041826,OrganizationBPName2-29041826,OrganizationBPName3-29041826,OrganizationBPName4-29041826,2007-03-02,2013-09-27,SearchTerm1-29041826,SearchTerm2-29041826,AdditionalLastName-29041826,2012-02-08,6,BusinessPartnerBirthplaceName-29041826,2015-06-04,true,1826,ETag-29041826,GroupBusinessPartnerName1-29041826,GroupBusinessPartnerName2-29041826,D-29041826,6,MiddleName-29041826,826,26,PersonFullName-29041826,r-29041826,true,ByExtSystem-29041826,6,1826,6,826,BusinessPartnerBirthName-29041826,1826,NaturalPersonEmployerName-29041826,1826,1826,s-29041826,true,041826,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041827,r-29041827,r-29041827,1827,1827,7,BusinessPartnerFullName-29041827,1827,BusinessPartnerName-29041827,29041827-25cf-41b1-9836-d13541d4fe8e,27,ser-29041827,2018-03-15,22:59:53,FirstName-29041827,1827,y-29041827,9041827,41827,false,false,7,false,7,27,2014-06-23,22:59:53,ser-29041827,LastName-29041827,27,OrganizationBPName1-29041827,OrganizationBPName2-29041827,OrganizationBPName3-29041827,OrganizationBPName4-29041827,2008-05-06,2014-11-29,SearchTerm1-29041827,SearchTerm2-29041827,AdditionalLastName-29041827,2020-08-04,7,BusinessPartnerBirthplaceName-29041827,2014-11-23,false,1827,ETag-29041827,GroupBusinessPartnerName1-29041827,GroupBusinessPartnerName2-29041827,D-29041827,7,MiddleName-29041827,827,27,PersonFullName-29041827,r-29041827,false,ByExtSystem-29041827,7,1827,7,827,BusinessPartnerBirthName-29041827,1827,NaturalPersonEmployerName-29041827,1827,1827,s-29041827,false,041827,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041828,r-29041828,r-29041828,1828,1828,8,BusinessPartnerFullName-29041828,1828,BusinessPartnerName-29041828,29041828-d75d-440d-9aec-06793d93955c,28,ser-29041828,2011-06-27,22:59:53,FirstName-29041828,1828,y-29041828,9041828,41828,true,true,8,true,8,28,2000-02-17,22:59:53,ser-29041828,LastName-29041828,28,OrganizationBPName1-29041828,OrganizationBPName2-29041828,OrganizationBPName3-29041828,OrganizationBPName4-29041828,2001-07-15,2023-10-31,SearchTerm1-29041828,SearchTerm2-29041828,AdditionalLastName-29041828,2012-09-10,8,BusinessPartnerBirthplaceName-29041828,2020-11-04,true,1828,ETag-29041828,GroupBusinessPartnerName1-29041828,GroupBusinessPartnerName2-29041828,D-29041828,8,MiddleName-29041828,828,28,PersonFullName-29041828,r-29041828,true,ByExtSystem-29041828,8,1828,8,828,BusinessPartnerBirthName-29041828,1828,NaturalPersonEmployerName-29041828,1828,1828,s-29041828,true,041828,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041829,r-29041829,r-29041829,1829,1829,9,BusinessPartnerFullName-29041829,1829,BusinessPartnerName-29041829,29041829-2f6e-4dcb-9bf7-c77f2aeb12ef,29,ser-29041829,2003-07-20,22:59:53,FirstName-29041829,1829,y-29041829,9041829,41829,false,false,9,false,9,29,2017-09-17,22:59:53,ser-29041829,LastName-29041829,29,OrganizationBPName1-29041829,OrganizationBPName2-29041829,OrganizationBPName3-29041829,OrganizationBPName4-29041829,2001-05-22,2017-07-22,SearchTerm1-29041829,SearchTerm2-29041829,AdditionalLastName-29041829,2013-07-02,9,BusinessPartnerBirthplaceName-29041829,2012-06-07,false,1829,ETag-29041829,GroupBusinessPartnerName1-29041829,GroupBusinessPartnerName2-29041829,D-29041829,9,MiddleName-29041829,829,29,PersonFullName-29041829,r-29041829,false,ByExtSystem-29041829,9,1829,9,829,BusinessPartnerBirthName-29041829,1829,NaturalPersonEmployerName-29041829,1829,1829,s-29041829,false,041829,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041830,r-29041830,r-29041830,1830,1830,0,BusinessPartnerFullName-29041830,1830,BusinessPartnerName-29041830,29041830-0c5f-4e86-8406-80009ecd2401,30,ser-29041830,2017-07-25,22:59:53,FirstName-29041830,1830,y-29041830,9041830,41830,true,true,0,true,0,30,2017-02-25,22:59:53,ser-29041830,LastName-29041830,30,OrganizationBPName1-29041830,OrganizationBPName2-29041830,OrganizationBPName3-29041830,OrganizationBPName4-29041830,2019-01-13,2001-04-22,SearchTerm1-29041830,SearchTerm2-29041830,AdditionalLastName-29041830,2004-05-15,0,BusinessPartnerBirthplaceName-29041830,2017-04-13,true,1830,ETag-29041830,GroupBusinessPartnerName1-29041830,GroupBusinessPartnerName2-29041830,D-29041830,0,MiddleName-29041830,830,30,PersonFullName-29041830,r-29041830,true,ByExtSystem-29041830,0,1830,0,830,BusinessPartnerBirthName-29041830,1830,NaturalPersonEmployerName-29041830,1830,1830,s-29041830,true,041830,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041831,r-29041831,r-29041831,1831,1831,1,BusinessPartnerFullName-29041831,1831,BusinessPartnerName-29041831,29041831-d641-4377-851a-d2ee03b523fa,31,ser-29041831,2015-07-10,22:59:53,FirstName-29041831,1831,y-29041831,9041831,41831,false,false,1,false,1,31,2007-12-24,22:59:53,ser-29041831,LastName-29041831,31,OrganizationBPName1-29041831,OrganizationBPName2-29041831,OrganizationBPName3-29041831,OrganizationBPName4-29041831,2000-02-18,2016-10-21,SearchTerm1-29041831,SearchTerm2-29041831,AdditionalLastName-29041831,2018-12-02,1,BusinessPartnerBirthplaceName-29041831,2005-07-18,false,1831,ETag-29041831,GroupBusinessPartnerName1-29041831,GroupBusinessPartnerName2-29041831,D-29041831,1,MiddleName-29041831,831,31,PersonFullName-29041831,r-29041831,false,ByExtSystem-29041831,1,1831,1,831,BusinessPartnerBirthName-29041831,1831,NaturalPersonEmployerName-29041831,1831,1831,s-29041831,false,041831,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041832,r-29041832,r-29041832,1832,1832,2,BusinessPartnerFullName-29041832,1832,BusinessPartnerName-29041832,29041832-746f-46eb-9d47-aa1080364550,32,ser-29041832,2016-09-23,22:59:53,FirstName-29041832,1832,y-29041832,9041832,41832,true,true,2,true,2,32,2011-08-11,22:59:53,ser-29041832,LastName-29041832,32,OrganizationBPName1-29041832,OrganizationBPName2-29041832,OrganizationBPName3-29041832,OrganizationBPName4-29041832,2022-10-07,2022-02-26,SearchTerm1-29041832,SearchTerm2-29041832,AdditionalLastName-29041832,2018-12-22,2,BusinessPartnerBirthplaceName-29041832,2006-12-15,true,1832,ETag-29041832,GroupBusinessPartnerName1-29041832,GroupBusinessPartnerName2-29041832,D-29041832,2,MiddleName-29041832,832,32,PersonFullName-29041832,r-29041832,true,ByExtSystem-29041832,2,1832,2,832,BusinessPartnerBirthName-29041832,1832,NaturalPersonEmployerName-29041832,1832,1832,s-29041832,true,041832,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041833,r-29041833,r-29041833,1833,1833,3,BusinessPartnerFullName-29041833,1833,BusinessPartnerName-29041833,29041833-5ef4-4be7-a732-4e72c0184999,33,ser-29041833,2021-02-13,22:59:53,FirstName-29041833,1833,y-29041833,9041833,41833,false,false,3,false,3,33,2011-05-15,22:59:53,ser-29041833,LastName-29041833,33,OrganizationBPName1-29041833,OrganizationBPName2-29041833,OrganizationBPName3-29041833,OrganizationBPName4-29041833,2013-11-15,2020-01-11,SearchTerm1-29041833,SearchTerm2-29041833,AdditionalLastName-29041833,2001-08-02,3,BusinessPartnerBirthplaceName-29041833,2011-12-18,false,1833,ETag-29041833,GroupBusinessPartnerName1-29041833,GroupBusinessPartnerName2-29041833,D-29041833,3,MiddleName-29041833,833,33,PersonFullName-29041833,r-29041833,false,ByExtSystem-29041833,3,1833,3,833,BusinessPartnerBirthName-29041833,1833,NaturalPersonEmployerName-29041833,1833,1833,s-29041833,false,041833,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
