BusinessPartner,AddressID,Person,OrdinalNumber,DestinationLocationCountry,InternationalPhoneNumber,IsDefaultPhoneNumber,PhoneNumber,PhoneNumberExtension,PhoneNumberType,ValidityStartDate,ValidityEndDate
e-23481700,e-23481700,e-23481700,700,700,ernationalPhoneNumber-23481700,true,PhoneNumber-23481700,n-23481700,0,2023-07-12,2005-01-26
e-23481701,e-23481701,e-23481701,701,701,ernationalPhoneNumber-23481701,false,PhoneNumber-23481701,n-23481701,1,2023-05-23,2008-09-05
e-23481702,e-23481702,e-23481702,702,702,ernationalPhoneNumber-23481702,true,PhoneNumber-23481702,n-23481702,2,2017-06-26,2016-02-19
e-23481703,e-23481703,e-23481703,703,703,ernationalPhoneNumber-23481703,false,PhoneNumber-23481703,n-23481703,3,2020-10-15,2017-07-19
e-23481704,e-23481704,e-23481704,704,704,ernationalPhoneNumber-23481704,true,PhoneNumber-23481704,n-23481704,4,2022-02-02,2001-10-31
e-23481705,e-23481705,e-23481705,705,705,ernationalPhoneNumber-23481705,false,PhoneNumber-23481705,n-23481705,5,2000-09-27,2002-11-09
e-23481706,e-23481706,e-23481706,706,706,ernationalPhoneNumber-23481706,true,PhoneNumber-23481706,n-23481706,6,2019-02-19,2004-08-20
e-23481707,e-23481707,e-23481707,707,707,ernationalPhoneNumber-23481707,false,PhoneNumber-23481707,n-23481707,7,2022-01-15,2015-01-14
e-23481708,e-23481708,e-23481708,708,708,ernationalPhoneNumber-23481708,true,PhoneNumber-23481708,n-23481708,8,2002-07-20,2007-06-27
e-23481709,e-23481709,e-23481709,709,709,ernationalPhoneNumber-23481709,false,PhoneNumber-23481709,n-23481709,9,2006-09-21,2002-05-16
e-23481710,e-23481710,e-23481710,710,710,ernationalPhoneNumber-23481710,true,PhoneNumber-23481710,n-23481710,0,2021-04-14,2021-01-24
e-23481711,e-23481711,e-23481711,711,711,ernationalPhoneNumber-23481711,false,PhoneNumber-23481711,n-23481711,1,2021-01-31,2017-03-03
e-23481712,e-23481712,e-23481712,712,712,ernationalPhoneNumber-23481712,true,PhoneNumber-23481712,n-23481712,2,2000-02-21,2020-01-26
e-23481713,e-23481713,e-23481713,713,713,ernationalPhoneNumber-23481713,false,PhoneNumber-23481713,n-23481713,3,2009-06-24,2018-02-07
e-23481714,e-23481714,e-23481714,714,714,ernationalPhoneNumber-23481714,true,PhoneNumber-23481714,n-23481714,4,2023-10-03,2000-11-22
e-23481715,e-23481715,e-23481715,715,715,ernationalPhoneNumber-23481715,false,PhoneNumber-23481715,n-23481715,5,2020-11-20,2016-11-19
e-23481716,e-23481716,e-23481716,716,716,ernationalPhoneNumber-23481716,true,PhoneNumber-23481716,n-23481716,6,2011-03-29,2022-11-14
e-23481717,e-23481717,e-23481717,717,717,ernationalPhoneNumber-23481717,false,PhoneNumber-23481717,n-23481717,7,2015-11-08,2018-12-25
e-23481718,e-23481718,e-23481718,718,718,ernationalPhoneNumber-23481718,true,PhoneNumber-23481718,n-23481718,8,2004-07-29,2008-01-22
e-23481719,e-23481719,e-23481719,719,719,ernationalPhoneNumber-23481719,false,PhoneNumber-23481719,n-23481719,9,2010-04-16,2005-06-13
e-23481720,e-23481720,e-23481720,720,720,ernationalPhoneNumber-23481720,true,PhoneNumber-23481720,n-23481720,0,2004-05-06,2023-09-16
e-23481721,e-23481721,e-23481721,721,721,ernationalPhoneNumber-23481721,false,PhoneNumber-23481721,n-23481721,1,2013-06-02,2012-04-03
e-23481722,e-23481722,e-23481722,722,722,ernationalPhoneNumber-23481722,true,PhoneNumber-23481722,n-23481722,2,2002-03-22,2019-08-15
e-23481723,e-23481723,e-23481723,723,723,ernationalPhoneNumber-23481723,false,PhoneNumber-23481723,n-23481723,3,2000-08-23,2008-06-08
e-23481724,e-23481724,e-23481724,724,724,ernationalPhoneNumber-23481724,true,PhoneNumber-23481724,n-23481724,4,2022-09-21,2014-02-01
e-23481725,e-23481725,e-23481725,725,725,ernationalPhoneNumber-23481725,false,PhoneNumber-23481725,n-23481725,5,2009-05-12,2004-07-22
e-23481726,e-23481726,e-23481726,726,726,ernationalPhoneNumber-23481726,true,PhoneNumber-23481726,n-23481726,6,2015-09-23,2012-07-10
e-23481727,e-23481727,e-23481727,727,727,ernationalPhoneNumber-23481727,false,PhoneNumber-23481727,n-23481727,7,2005-10-12,2013-08-11
e-23481728,e-23481728,e-23481728,728,728,ernationalPhoneNumber-23481728,true,PhoneNumber-23481728,n-23481728,8,2014-08-19,2021-06-11
e-23481729,e-23481729,e-23481729,729,729,ernationalPhoneNumber-23481729,false,PhoneNumber-23481729,n-23481729,9,2008-06-17,2017-12-10
e-23481730,e-23481730,e-23481730,730,730,ernationalPhoneNumber-23481730,true,PhoneNumber-23481730,n-23481730,0,2001-10-30,2017-02-02
e-23481731,e-23481731,e-23481731,731,731,ernationalPhoneNumber-23481731,false,PhoneNumber-23481731,n-23481731,1,2017-05-26,2011-04-08
e-23481732,e-23481732,e-23481732,732,732,ernationalPhoneNumber-23481732,true,PhoneNumber-23481732,n-23481732,2,2002-08-25,2010-09-16
e-23481733,e-23481733,e-23481733,733,733,ernationalPhoneNumber-23481733,false,PhoneNumber-23481733,n-23481733,3,2018-05-11,2000-02-21
e-23481734,e-23481734,e-23481734,734,734,ernationalPhoneNumber-23481734,true,PhoneNumber-23481734,n-23481734,4,2009-05-16,2000-09-15
e-23481735,e-23481735,e-23481735,735,735,ernationalPhoneNumber-23481735,false,PhoneNumber-23481735,n-23481735,5,2018-03-24,2023-07-11
e-23481736,e-23481736,e-23481736,736,736,ernationalPhoneNumber-23481736,true,PhoneNumber-23481736,n-23481736,6,2006-01-09,2004-06-14
e-23481737,e-23481737,e-23481737,737,737,ernationalPhoneNumber-23481737,false,PhoneNumber-23481737,n-23481737,7,2018-01-28,2020-02-10
e-23481738,e-23481738,e-23481738,738,738,ernationalPhoneNumber-23481738,true,PhoneNumber-23481738,n-23481738,8,2002-03-15,2017-08-11
e-23481739,e-23481739,e-23481739,739,739,ernationalPhoneNumber-23481739,false,PhoneNumber-23481739,n-23481739,9,2018-08-26,2017-03-28
e-23481740,e-23481740,e-23481740,740,740,ernationalPhoneNumber-23481740,true,PhoneNumber-23481740,n-23481740,0,2021-11-26,2020-07-24
e-23481741,e-23481741,e-23481741,741,741,ernationalPhoneNumber-23481741,false,PhoneNumber-23481741,n-23481741,1,2001-10-25,2004-05-15
e-23481742,e-23481742,e-23481742,742,742,ernationalPhoneNumber-23481742,true,PhoneNumber-23481742,n-23481742,2,2000-11-07,2018-05-07
e-23481743,e-23481743,e-23481743,743,743,ernationalPhoneNumber-23481743,false,PhoneNumber-23481743,n-23481743,3,2015-12-30,2003-06-05
e-23481744,e-23481744,e-23481744,744,744,ernationalPhoneNumber-23481744,true,PhoneNumber-23481744,n-23481744,4,2021-02-28,2000-12-22
e-23481745,e-23481745,e-23481745,745,745,ernationalPhoneNumber-23481745,false,PhoneNumber-23481745,n-23481745,5,2018-06-20,2016-06-26
e-23481746,e-23481746,e-23481746,746,746,ernationalPhoneNumber-23481746,true,PhoneNumber-23481746,n-23481746,6,2006-01-29,2005-08-06
e-23481747,e-23481747,e-23481747,747,747,ernationalPhoneNumber-23481747,false,PhoneNumber-23481747,n-23481747,7,2015-03-10,2010-07-15
e-23481748,e-23481748,e-23481748,748,748,ernationalPhoneNumber-23481748,true,PhoneNumber-23481748,n-23481748,8,2007-11-24,2005-06-27
e-23481749,e-23481749,e-23481749,749,749,ernationalPhoneNumber-23481749,false,PhoneNumber-23481749,n-23481749,9,2018-10-02,2005-09-15
e-23481750,e-23481750,e-23481750,750,750,ernationalPhoneNumber-23481750,true,PhoneNumber-23481750,n-23481750,0,2003-06-20,2023-09-19
e-23481751,e-23481751,e-23481751,751,751,ernationalPhoneNumber-23481751,false,PhoneNumber-23481751,n-23481751,1,2010-07-05,2015-09-05
e-23481752,e-23481752,e-23481752,752,752,ernationalPhoneNumber-23481752,true,PhoneNumber-23481752,n-23481752,2,2021-07-10,2011-05-06
e-23481753,e-23481753,e-23481753,753,753,ernationalPhoneNumber-23481753,false,PhoneNumber-23481753,n-23481753,3,2005-09-13,2001-10-22
e-23481754,e-23481754,e-23481754,754,754,ernationalPhoneNumber-23481754,true,PhoneNumber-23481754,n-23481754,4,2019-06-29,2019-08-22
e-23481755,e-23481755,e-23481755,755,755,ernationalPhoneNumber-23481755,false,PhoneNumber-23481755,n-23481755,5,2013-07-29,2023-02-10
e-23481756,e-23481756,e-23481756,756,756,ernationalPhoneNumber-23481756,true,PhoneNumber-23481756,n-23481756,6,2016-10-21,2006-07-20
e-23481757,e-23481757,e-23481757,757,757,ernationalPhoneNumber-23481757,false,PhoneNumber-23481757,n-23481757,7,2013-03-16,2010-09-16
e-23481758,e-23481758,e-23481758,758,758,ernationalPhoneNumber-23481758,true,PhoneNumber-23481758,n-23481758,8,2016-08-17,2008-10-24
e-23481759,e-23481759,e-23481759,759,759,ernationalPhoneNumber-23481759,false,PhoneNumber-23481759,n-23481759,9,2012-04-21,2015-08-12
e-23481760,e-23481760,e-23481760,760,760,ernationalPhoneNumber-23481760,true,PhoneNumber-23481760,n-23481760,0,2017-08-17,2004-02-14
e-23481761,e-23481761,e-23481761,761,761,ernationalPhoneNumber-23481761,false,PhoneNumber-23481761,n-23481761,1,2007-09-04,2011-03-05
e-23481762,e-23481762,e-23481762,762,762,ernationalPhoneNumber-23481762,true,PhoneNumber-23481762,n-23481762,2,2015-04-17,2020-03-14
e-23481763,e-23481763,e-23481763,763,763,ernationalPhoneNumber-23481763,false,PhoneNumber-23481763,n-23481763,3,2004-07-02,2023-10-10
e-23481764,e-23481764,e-23481764,764,764,ernationalPhoneNumber-23481764,true,PhoneNumber-23481764,n-23481764,4,2014-10-12,2020-04-02
e-23481765,e-23481765,e-23481765,765,765,ernationalPhoneNumber-23481765,false,PhoneNumber-23481765,n-23481765,5,2006-05-21,2010-12-05
e-23481766,e-23481766,e-23481766,766,766,ernationalPhoneNumber-23481766,true,PhoneNumber-23481766,n-23481766,6,2009-03-28,2007-02-14
e-23481767,e-23481767,e-23481767,767,767,ernationalPhoneNumber-23481767,false,PhoneNumber-23481767,n-23481767,7,2004-11-14,2019-05-28
e-23481768,e-23481768,e-23481768,768,768,ernationalPhoneNumber-23481768,true,PhoneNumber-23481768,n-23481768,8,2001-08-04,2022-08-14
e-23481769,e-23481769,e-23481769,769,769,ernationalPhoneNumber-23481769,false,PhoneNumber-23481769,n-23481769,9,2002-09-13,2004-08-09
e-23481770,e-23481770,e-23481770,770,770,ernationalPhoneNumber-23481770,true,PhoneNumber-23481770,n-23481770,0,2015-03-22,2021-03-17
e-23481771,e-23481771,e-23481771,771,771,ernationalPhoneNumber-23481771,false,PhoneNumber-23481771,n-23481771,1,2009-12-29,2022-01-20
e-23481772,e-23481772,e-23481772,772,772,ernationalPhoneNumber-23481772,true,PhoneNumber-23481772,n-23481772,2,2023-01-22,2020-12-14
e-23481773,e-23481773,e-23481773,773,773,ernationalPhoneNumber-23481773,false,PhoneNumber-23481773,n-23481773,3,2008-04-06,2014-02-22
e-23481774,e-23481774,e-23481774,774,774,ernationalPhoneNumber-23481774,true,PhoneNumber-23481774,n-23481774,4,2017-12-04,2002-06-05
e-23481775,e-23481775,e-23481775,775,775,ernationalPhoneNumber-23481775,false,PhoneNumber-23481775,n-23481775,5,2012-03-22,2019-08-22
e-23481776,e-23481776,e-23481776,776,776,ernationalPhoneNumber-23481776,true,PhoneNumber-23481776,n-23481776,6,2003-10-15,2012-06-20
e-23481777,e-23481777,e-23481777,777,777,ernationalPhoneNumber-23481777,false,PhoneNumber-23481777,n-23481777,7,2002-04-25,2018-12-22
e-23481778,e-23481778,e-23481778,778,778,ernationalPhoneNumber-23481778,true,PhoneNumber-23481778,n-23481778,8,2023-03-14,2006-04-29
e-23481779,e-23481779,e-23481779,779,779,ernationalPhoneNumber-23481779,false,PhoneNumber-23481779,n-23481779,9,2000-12-10,2007-01-19
e-23481780,e-23481780,e-23481780,780,780,ernationalPhoneNumber-23481780,true,PhoneNumber-23481780,n-23481780,0,2016-03-18,2019-06-23
e-23481781,e-23481781,e-23481781,781,781,ernationalPhoneNumber-23481781,false,PhoneNumber-23481781,n-23481781,1,2005-02-03,2010-05-23
e-23481782,e-23481782,e-23481782,782,782,ernationalPhoneNumber-23481782,true,PhoneNumber-23481782,n-23481782,2,2015-02-23,2010-05-23
e-23481783,e-23481783,e-23481783,783,783,ernationalPhoneNumber-23481783,false,PhoneNumber-23481783,n-23481783,3,2014-03-06,2006-11-23
