AddressID,Person,OrdinalNumber,IsDefaultFaxNumber,FaxCountry,FaxNumber,FaxNumberExtension,InternationalFaxNumber,AddressCommunicationRemarkText
r-10739710,r-10739710,710,true,710,FaxNumber-10739710,n-10739710,nternationalFaxNumber-10739710,AddressCommunicationRemarkText-10739710
r-10739711,r-10739711,711,false,711,FaxNumber-10739711,n-10739711,nternationalFaxNumber-10739711,AddressCommunicationRemarkText-10739711
r-10739712,r-10739712,712,true,712,FaxNumber-10739712,n-10739712,nternationalFaxNumber-10739712,AddressCommunicationRemarkText-10739712
r-10739713,r-10739713,713,false,713,FaxNumber-10739713,n-10739713,nternationalFaxNumber-10739713,AddressCommunicationRemarkText-10739713
r-10739714,r-10739714,714,true,714,FaxNumber-10739714,n-10739714,nternationalFaxNumber-10739714,AddressCommunicationRemarkText-10739714
r-10739715,r-10739715,715,false,715,FaxNumber-10739715,n-10739715,nternationalFaxNumber-10739715,AddressCommunicationRemarkText-10739715
r-10739716,r-10739716,716,true,716,FaxNumber-10739716,n-10739716,nternationalFaxNumber-10739716,AddressCommunicationRemarkText-10739716
r-10739717,r-10739717,717,false,717,FaxNumber-10739717,n-10739717,nternationalFaxNumber-10739717,AddressCommunicationRemarkText-10739717
r-10739718,r-10739718,718,true,718,FaxNumber-10739718,n-10739718,nternationalFaxNumber-10739718,AddressCommunicationRemarkText-10739718
r-10739719,r-10739719,719,false,719,FaxNumber-10739719,n-10739719,nternationalFaxNumber-10739719,AddressCommunicationRemarkText-10739719
r-10739720,r-10739720,720,true,720,FaxNumber-10739720,n-10739720,nternationalFaxNumber-10739720,AddressCommunicationRemarkText-10739720
r-10739721,r-10739721,721,false,721,FaxNumber-10739721,n-10739721,nternationalFaxNumber-10739721,AddressCommunicationRemarkText-10739721
r-10739722,r-10739722,722,true,722,FaxNumber-10739722,n-10739722,nternationalFaxNumber-10739722,AddressCommunicationRemarkText-10739722
r-10739723,r-10739723,723,false,723,FaxNumber-10739723,n-10739723,nternationalFaxNumber-10739723,AddressCommunicationRemarkText-10739723
r-10739724,r-10739724,724,true,724,FaxNumber-10739724,n-10739724,nternationalFaxNumber-10739724,AddressCommunicationRemarkText-10739724
r-10739725,r-10739725,725,false,725,FaxNumber-10739725,n-10739725,nternationalFaxNumber-10739725,AddressCommunicationRemarkText-10739725
r-10739726,r-10739726,726,true,726,FaxNumber-10739726,n-10739726,nternationalFaxNumber-10739726,AddressCommunicationRemarkText-10739726
r-10739727,r-10739727,727,false,727,FaxNumber-10739727,n-10739727,nternationalFaxNumber-10739727,AddressCommunicationRemarkText-10739727
r-10739728,r-10739728,728,true,728,FaxNumber-10739728,n-10739728,nternationalFaxNumber-10739728,AddressCommunicationRemarkText-10739728
r-10739729,r-10739729,729,false,729,FaxNumber-10739729,n-10739729,nternationalFaxNumber-10739729,AddressCommunicationRemarkText-10739729
r-10739730,r-10739730,730,true,730,FaxNumber-10739730,n-10739730,nternationalFaxNumber-10739730,AddressCommunicationRemarkText-10739730
r-10739731,r-10739731,731,false,731,FaxNumber-10739731,n-10739731,nternationalFaxNumber-10739731,AddressCommunicationRemarkText-10739731
r-10739732,r-10739732,732,true,732,FaxNumber-10739732,n-10739732,nternationalFaxNumber-10739732,AddressCommunicationRemarkText-10739732
r-10739733,r-10739733,733,false,733,FaxNumber-10739733,n-10739733,nternationalFaxNumber-10739733,AddressCommunicationRemarkText-10739733
r-10739734,r-10739734,734,true,734,FaxNumber-10739734,n-10739734,nternationalFaxNumber-10739734,AddressCommunicationRemarkText-10739734
r-10739735,r-10739735,735,false,735,FaxNumber-10739735,n-10739735,nternationalFaxNumber-10739735,AddressCommunicationRemarkText-10739735
r-10739736,r-10739736,736,true,736,FaxNumber-10739736,n-10739736,nternationalFaxNumber-10739736,AddressCommunicationRemarkText-10739736
r-10739737,r-10739737,737,false,737,FaxNumber-10739737,n-10739737,nternationalFaxNumber-10739737,AddressCommunicationRemarkText-10739737
r-10739738,r-10739738,738,true,738,FaxNumber-10739738,n-10739738,nternationalFaxNumber-10739738,AddressCommunicationRemarkText-10739738
r-10739739,r-10739739,739,false,739,FaxNumber-10739739,n-10739739,nternationalFaxNumber-10739739,AddressCommunicationRemarkText-10739739
r-10739740,r-10739740,740,true,740,FaxNumber-10739740,n-10739740,nternationalFaxNumber-10739740,AddressCommunicationRemarkText-10739740
r-10739741,r-10739741,741,false,741,FaxNumber-10739741,n-10739741,nternationalFaxNumber-10739741,AddressCommunicationRemarkText-10739741
r-10739742,r-10739742,742,true,742,FaxNumber-10739742,n-10739742,nternationalFaxNumber-10739742,AddressCommunicationRemarkText-10739742
r-10739743,r-10739743,743,false,743,FaxNumber-10739743,n-10739743,nternationalFaxNumber-10739743,AddressCommunicationRemarkText-10739743
r-10739744,r-10739744,744,true,744,FaxNumber-10739744,n-10739744,nternationalFaxNumber-10739744,AddressCommunicationRemarkText-10739744
r-10739745,r-10739745,745,false,745,FaxNumber-10739745,n-10739745,nternationalFaxNumber-10739745,AddressCommunicationRemarkText-10739745
r-10739746,r-10739746,746,true,746,FaxNumber-10739746,n-10739746,nternationalFaxNumber-10739746,AddressCommunicationRemarkText-10739746
r-10739747,r-10739747,747,false,747,FaxNumber-10739747,n-10739747,nternationalFaxNumber-10739747,AddressCommunicationRemarkText-10739747
r-10739748,r-10739748,748,true,748,FaxNumber-10739748,n-10739748,nternationalFaxNumber-10739748,AddressCommunicationRemarkText-10739748
r-10739749,r-10739749,749,false,749,FaxNumber-10739749,n-10739749,nternationalFaxNumber-10739749,AddressCommunicationRemarkText-10739749
r-10739750,r-10739750,750,true,750,FaxNumber-10739750,n-10739750,nternationalFaxNumber-10739750,AddressCommunicationRemarkText-10739750
r-10739751,r-10739751,751,false,751,FaxNumber-10739751,n-10739751,nternationalFaxNumber-10739751,AddressCommunicationRemarkText-10739751
r-10739752,r-10739752,752,true,752,FaxNumber-10739752,n-10739752,nternationalFaxNumber-10739752,AddressCommunicationRemarkText-10739752
r-10739753,r-10739753,753,false,753,FaxNumber-10739753,n-10739753,nternationalFaxNumber-10739753,AddressCommunicationRemarkText-10739753
r-10739754,r-10739754,754,true,754,FaxNumber-10739754,n-10739754,nternationalFaxNumber-10739754,AddressCommunicationRemarkText-10739754
r-10739755,r-10739755,755,false,755,FaxNumber-10739755,n-10739755,nternationalFaxNumber-10739755,AddressCommunicationRemarkText-10739755
r-10739756,r-10739756,756,true,756,FaxNumber-10739756,n-10739756,nternationalFaxNumber-10739756,AddressCommunicationRemarkText-10739756
r-10739757,r-10739757,757,false,757,FaxNumber-10739757,n-10739757,nternationalFaxNumber-10739757,AddressCommunicationRemarkText-10739757
r-10739758,r-10739758,758,true,758,FaxNumber-10739758,n-10739758,nternationalFaxNumber-10739758,AddressCommunicationRemarkText-10739758
r-10739759,r-10739759,759,false,759,FaxNumber-10739759,n-10739759,nternationalFaxNumber-10739759,AddressCommunicationRemarkText-10739759
r-10739760,r-10739760,760,true,760,FaxNumber-10739760,n-10739760,nternationalFaxNumber-10739760,AddressCommunicationRemarkText-10739760
r-10739761,r-10739761,761,false,761,FaxNumber-10739761,n-10739761,nternationalFaxNumber-10739761,AddressCommunicationRemarkText-10739761
r-10739762,r-10739762,762,true,762,FaxNumber-10739762,n-10739762,nternationalFaxNumber-10739762,AddressCommunicationRemarkText-10739762
r-10739763,r-10739763,763,false,763,FaxNumber-10739763,n-10739763,nternationalFaxNumber-10739763,AddressCommunicationRemarkText-10739763
r-10739764,r-10739764,764,true,764,FaxNumber-10739764,n-10739764,nternationalFaxNumber-10739764,AddressCommunicationRemarkText-10739764
r-10739765,r-10739765,765,false,765,FaxNumber-10739765,n-10739765,nternationalFaxNumber-10739765,AddressCommunicationRemarkText-10739765
r-10739766,r-10739766,766,true,766,FaxNumber-10739766,n-10739766,nternationalFaxNumber-10739766,AddressCommunicationRemarkText-10739766
r-10739767,r-10739767,767,false,767,FaxNumber-10739767,n-10739767,nternationalFaxNumber-10739767,AddressCommunicationRemarkText-10739767
r-10739768,r-10739768,768,true,768,FaxNumber-10739768,n-10739768,nternationalFaxNumber-10739768,AddressCommunicationRemarkText-10739768
r-10739769,r-10739769,769,false,769,FaxNumber-10739769,n-10739769,nternationalFaxNumber-10739769,AddressCommunicationRemarkText-10739769
r-10739770,r-10739770,770,true,770,FaxNumber-10739770,n-10739770,nternationalFaxNumber-10739770,AddressCommunicationRemarkText-10739770
r-10739771,r-10739771,771,false,771,FaxNumber-10739771,n-10739771,nternationalFaxNumber-10739771,AddressCommunicationRemarkText-10739771
r-10739772,r-10739772,772,true,772,FaxNumber-10739772,n-10739772,nternationalFaxNumber-10739772,AddressCommunicationRemarkText-10739772
r-10739773,r-10739773,773,false,773,FaxNumber-10739773,n-10739773,nternationalFaxNumber-10739773,AddressCommunicationRemarkText-10739773
r-10739774,r-10739774,774,true,774,FaxNumber-10739774,n-10739774,nternationalFaxNumber-10739774,AddressCommunicationRemarkText-10739774
r-10739775,r-10739775,775,false,775,FaxNumber-10739775,n-10739775,nternationalFaxNumber-10739775,AddressCommunicationRemarkText-10739775
r-10739776,r-10739776,776,true,776,FaxNumber-10739776,n-10739776,nternationalFaxNumber-10739776,AddressCommunicationRemarkText-10739776
r-10739777,r-10739777,777,false,777,FaxNumber-10739777,n-10739777,nternationalFaxNumber-10739777,AddressCommunicationRemarkText-10739777
r-10739778,r-10739778,778,true,778,FaxNumber-10739778,n-10739778,nternationalFaxNumber-10739778,AddressCommunicationRemarkText-10739778
r-10739779,r-10739779,779,false,779,FaxNumber-10739779,n-10739779,nternationalFaxNumber-10739779,AddressCommunicationRemarkText-10739779
r-10739780,r-10739780,780,true,780,FaxNumber-10739780,n-10739780,nternationalFaxNumber-10739780,AddressCommunicationRemarkText-10739780
r-10739781,r-10739781,781,false,781,FaxNumber-10739781,n-10739781,nternationalFaxNumber-10739781,AddressCommunicationRemarkText-10739781
r-10739782,r-10739782,782,true,782,FaxNumber-10739782,n-10739782,nternationalFaxNumber-10739782,AddressCommunicationRemarkText-10739782
r-10739783,r-10739783,783,false,783,FaxNumber-10739783,n-10739783,nternationalFaxNumber-10739783,AddressCommunicationRemarkText-10739783
r-10739784,r-10739784,784,true,784,FaxNumber-10739784,n-10739784,nternationalFaxNumber-10739784,AddressCommunicationRemarkText-10739784
r-10739785,r-10739785,785,false,785,FaxNumber-10739785,n-10739785,nternationalFaxNumber-10739785,AddressCommunicationRemarkText-10739785
r-10739786,r-10739786,786,true,786,FaxNumber-10739786,n-10739786,nternationalFaxNumber-10739786,AddressCommunicationRemarkText-10739786
r-10739787,r-10739787,787,false,787,FaxNumber-10739787,n-10739787,nternationalFaxNumber-10739787,AddressCommunicationRemarkText-10739787
r-10739788,r-10739788,788,true,788,FaxNumber-10739788,n-10739788,nternationalFaxNumber-10739788,AddressCommunicationRemarkText-10739788
r-10739789,r-10739789,789,false,789,FaxNumber-10739789,n-10739789,nternationalFaxNumber-10739789,AddressCommunicationRemarkText-10739789
r-10739790,r-10739790,790,true,790,FaxNumber-10739790,n-10739790,nternationalFaxNumber-10739790,AddressCommunicationRemarkText-10739790
r-10739791,r-10739791,791,false,791,FaxNumber-10739791,n-10739791,nternationalFaxNumber-10739791,AddressCommunicationRemarkText-10739791
r-10739792,r-10739792,792,true,792,FaxNumber-10739792,n-10739792,nternationalFaxNumber-10739792,AddressCommunicationRemarkText-10739792
r-10739793,r-10739793,793,false,793,FaxNumber-10739793,n-10739793,nternationalFaxNumber-10739793,AddressCommunicationRemarkText-10739793
r-10739794,r-10739794,794,true,794,FaxNumber-10739794,n-10739794,nternationalFaxNumber-10739794,AddressCommunicationRemarkText-10739794
