BusinessPartner,AddressID,Person,OrdinalNumber,InternationalPhoneNumber,IsDefaultPhoneNumber,MobilePhoneCountry,MobilePhoneNumber,PhoneNumberExtension,PhoneNumberType,ValidityStartDate,ValidityEndDate
e-11391359,e-11391359,e-11391359,359,ernationalPhoneNumber-11391359,false,359,MobilePhoneNumber-11391359,n-11391359,9,2014-05-21,2002-09-28
e-11391360,e-11391360,e-11391360,360,ernationalPhoneNumber-11391360,true,360,MobilePhoneNumber-11391360,n-11391360,0,2000-12-21,2001-09-26
e-11391361,e-11391361,e-11391361,361,ernationalPhoneNumber-11391361,false,361,MobilePhoneNumber-11391361,n-11391361,1,2008-09-18,2011-02-12
e-11391362,e-11391362,e-11391362,362,ernationalPhoneNumber-11391362,true,362,MobilePhoneNumber-11391362,n-11391362,2,2002-03-07,2009-01-30
e-11391363,e-11391363,e-11391363,363,ernationalPhoneNumber-11391363,false,363,MobilePhoneNumber-11391363,n-11391363,3,2001-06-09,2009-10-23
e-11391364,e-11391364,e-11391364,364,ernationalPhoneNumber-11391364,true,364,MobilePhoneNumber-11391364,n-11391364,4,2018-11-17,2006-01-23
e-11391365,e-11391365,e-11391365,365,ernationalPhoneNumber-11391365,false,365,MobilePhoneNumber-11391365,n-11391365,5,2011-10-22,2008-02-10
e-11391366,e-11391366,e-11391366,366,ernationalPhoneNumber-11391366,true,366,MobilePhoneNumber-11391366,n-11391366,6,2007-03-26,2001-09-29
e-11391367,e-11391367,e-11391367,367,ernationalPhoneNumber-11391367,false,367,MobilePhoneNumber-11391367,n-11391367,7,2012-01-02,2015-11-30
e-11391368,e-11391368,e-11391368,368,ernationalPhoneNumber-11391368,true,368,MobilePhoneNumber-11391368,n-11391368,8,2019-03-15,2010-03-24
e-11391369,e-11391369,e-11391369,369,ernationalPhoneNumber-11391369,false,369,MobilePhoneNumber-11391369,n-11391369,9,2022-05-19,2001-11-24
e-11391370,e-11391370,e-11391370,370,ernationalPhoneNumber-11391370,true,370,MobilePhoneNumber-11391370,n-11391370,0,2010-10-22,2018-09-14
e-11391371,e-11391371,e-11391371,371,ernationalPhoneNumber-11391371,false,371,MobilePhoneNumber-11391371,n-11391371,1,2020-06-19,2010-12-24
e-11391372,e-11391372,e-11391372,372,ernationalPhoneNumber-11391372,true,372,MobilePhoneNumber-11391372,n-11391372,2,2018-04-04,2015-05-28
e-11391373,e-11391373,e-11391373,373,ernationalPhoneNumber-11391373,false,373,MobilePhoneNumber-11391373,n-11391373,3,2000-03-07,2019-04-29
e-11391374,e-11391374,e-11391374,374,ernationalPhoneNumber-11391374,true,374,MobilePhoneNumber-11391374,n-11391374,4,2008-02-23,2014-02-08
e-11391375,e-11391375,e-11391375,375,ernationalPhoneNumber-11391375,false,375,MobilePhoneNumber-11391375,n-11391375,5,2017-09-26,2020-08-03
e-11391376,e-11391376,e-11391376,376,ernationalPhoneNumber-11391376,true,376,MobilePhoneNumber-11391376,n-11391376,6,2008-08-08,2004-12-15
e-11391377,e-11391377,e-11391377,377,ernationalPhoneNumber-11391377,false,377,MobilePhoneNumber-11391377,n-11391377,7,2015-12-13,2017-11-08
e-11391378,e-11391378,e-11391378,378,ernationalPhoneNumber-11391378,true,378,MobilePhoneNumber-11391378,n-11391378,8,2019-01-09,2011-08-27
e-11391379,e-11391379,e-11391379,379,ernationalPhoneNumber-11391379,false,379,MobilePhoneNumber-11391379,n-11391379,9,2010-06-08,2014-06-29
e-11391380,e-11391380,e-11391380,380,ernationalPhoneNumber-11391380,true,380,MobilePhoneNumber-11391380,n-11391380,0,2016-11-24,2003-05-28
e-11391381,e-11391381,e-11391381,381,ernationalPhoneNumber-11391381,false,381,MobilePhoneNumber-11391381,n-11391381,1,2022-09-22,2023-09-24
e-11391382,e-11391382,e-11391382,382,ernationalPhoneNumber-11391382,true,382,MobilePhoneNumber-11391382,n-11391382,2,2018-02-21,2001-08-04
e-11391383,e-11391383,e-11391383,383,ernationalPhoneNumber-11391383,false,383,MobilePhoneNumber-11391383,n-11391383,3,2016-06-30,2016-10-12
e-11391384,e-11391384,e-11391384,384,ernationalPhoneNumber-11391384,true,384,MobilePhoneNumber-11391384,n-11391384,4,2019-03-20,2013-11-09
e-11391385,e-11391385,e-11391385,385,ernationalPhoneNumber-11391385,false,385,MobilePhoneNumber-11391385,n-11391385,5,2009-09-17,2000-02-06
e-11391386,e-11391386,e-11391386,386,ernationalPhoneNumber-11391386,true,386,MobilePhoneNumber-11391386,n-11391386,6,2013-01-14,2004-10-09
e-11391387,e-11391387,e-11391387,387,ernationalPhoneNumber-11391387,false,387,MobilePhoneNumber-11391387,n-11391387,7,2022-01-21,2012-04-13
e-11391388,e-11391388,e-11391388,388,ernationalPhoneNumber-11391388,true,388,MobilePhoneNumber-11391388,n-11391388,8,2003-06-02,2017-12-17
e-11391389,e-11391389,e-11391389,389,ernationalPhoneNumber-11391389,false,389,MobilePhoneNumber-11391389,n-11391389,9,2020-12-09,2015-09-15
e-11391390,e-11391390,e-11391390,390,ernationalPhoneNumber-11391390,true,390,MobilePhoneNumber-11391390,n-11391390,0,2005-03-26,2000-01-02
e-11391391,e-11391391,e-11391391,391,ernationalPhoneNumber-11391391,false,391,MobilePhoneNumber-11391391,n-11391391,1,2013-02-20,2010-12-15
e-11391392,e-11391392,e-11391392,392,ernationalPhoneNumber-11391392,true,392,MobilePhoneNumber-11391392,n-11391392,2,2012-10-05,2017-06-19
e-11391393,e-11391393,e-11391393,393,ernationalPhoneNumber-11391393,false,393,MobilePhoneNumber-11391393,n-11391393,3,2003-11-25,2010-10-13
e-11391394,e-11391394,e-11391394,394,ernationalPhoneNumber-11391394,true,394,MobilePhoneNumber-11391394,n-11391394,4,2004-01-12,2016-08-08
e-11391395,e-11391395,e-11391395,395,ernationalPhoneNumber-11391395,false,395,MobilePhoneNumber-11391395,n-11391395,5,2018-02-10,2017-04-12
e-11391396,e-11391396,e-11391396,396,ernationalPhoneNumber-11391396,true,396,MobilePhoneNumber-11391396,n-11391396,6,2006-12-14,2013-03-13
e-11391397,e-11391397,e-11391397,397,ernationalPhoneNumber-11391397,false,397,MobilePhoneNumber-11391397,n-11391397,7,2007-12-02,2020-01-10
e-11391398,e-11391398,e-11391398,398,ernationalPhoneNumber-11391398,true,398,MobilePhoneNumber-11391398,n-11391398,8,2002-01-07,2001-01-20
e-11391399,e-11391399,e-11391399,399,ernationalPhoneNumber-11391399,false,399,MobilePhoneNumber-11391399,n-11391399,9,2016-05-13,2010-12-05
e-11391400,e-11391400,e-11391400,400,ernationalPhoneNumber-11391400,true,400,MobilePhoneNumber-11391400,n-11391400,0,2009-05-22,2017-04-02
e-11391401,e-11391401,e-11391401,401,ernationalPhoneNumber-11391401,false,401,MobilePhoneNumber-11391401,n-11391401,1,2020-03-23,2008-02-14
e-11391402,e-11391402,e-11391402,402,ernationalPhoneNumber-11391402,true,402,MobilePhoneNumber-11391402,n-11391402,2,2019-10-22,2018-01-20
e-11391403,e-11391403,e-11391403,403,ernationalPhoneNumber-11391403,false,403,MobilePhoneNumber-11391403,n-11391403,3,2008-06-21,2009-07-22
e-11391404,e-11391404,e-11391404,404,ernationalPhoneNumber-11391404,true,404,MobilePhoneNumber-11391404,n-11391404,4,2023-10-12,2013-04-14
e-11391405,e-11391405,e-11391405,405,ernationalPhoneNumber-11391405,false,405,MobilePhoneNumber-11391405,n-11391405,5,2018-06-29,2002-12-04
e-11391406,e-11391406,e-11391406,406,ernationalPhoneNumber-11391406,true,406,MobilePhoneNumber-11391406,n-11391406,6,2005-06-16,2016-12-14
e-11391407,e-11391407,e-11391407,407,ernationalPhoneNumber-11391407,false,407,MobilePhoneNumber-11391407,n-11391407,7,2019-01-17,2019-02-09
e-11391408,e-11391408,e-11391408,408,ernationalPhoneNumber-11391408,true,408,MobilePhoneNumber-11391408,n-11391408,8,2008-02-29,2017-04-27
e-11391409,e-11391409,e-11391409,409,ernationalPhoneNumber-11391409,false,409,MobilePhoneNumber-11391409,n-11391409,9,2019-05-14,2011-03-03
e-11391410,e-11391410,e-11391410,410,ernationalPhoneNumber-11391410,true,410,MobilePhoneNumber-11391410,n-11391410,0,2002-02-19,2015-03-09
