Customer,AuthorizationGroup,BillingIsBlockedForCustomer,CreatedByUser,CreationDate,CustomerAccountGroup,CustomerClassification,CustomerFullName,BPCustomerFullName,CustomerName,BPCustomerName,DeliveryIsBlocked,FreeDefinedAttribute01,FreeDefinedAttribute02,FreeDefinedAttribute03,FreeDefinedAttribute04,FreeDefinedAttribute05,FreeDefinedAttribute06,FreeDefinedAttribute07,FreeDefinedAttribute08,FreeDefinedAttribute09,FreeDefinedAttribute10,NFPartnerIsNaturalPerson,OrderIsBlockedForCustomer,PostingIsBlocked,Supplier,CustomerCorporateGroup,FiscalAddress,Industry,IndustryCode1,IndustryCode2,IndustryCode3,IndustryCode4,IndustryCode5,InternationalLocationNumber1,InternationalLocationNumber2,InternationalLocationNumber3,NielsenRegion,PaymentReason,ResponsibleType,TaxNumber1,TaxNumber2,TaxNumber3,TaxNumber4,TaxNumber5,TaxNumberType,VATRegistration,DeletionIndicator,ExpressTrainStationName,TrainStationName,CityCode,County,BR_ICMSTaxPayerType
r-29274037,4037,37,ser-29274037,2015-05-29,4037,37,CustomerFullName-29274037,BPCustomerFullName-29274037,CustomerName-29274037,BPCustomerName-29274037,37,37,37,37,37,37,037,037,037,037,037,7,37,false,r-29274037,p-29274037,s-29274037,4037,1-29274037,2-29274037,3-29274037,4-29274037,5-29274037,9274037,74037,7,37,4037,37,Number1-29274037,r2-29274037,axNumber3-29274037,axNumber4-29274037,TaxNumber5-29274037,37,egistration-29274037,false,TrainStationName-29274037,TrainStationName-29274037,4037,037,37
r-29274038,4038,38,ser-29274038,2015-03-23,4038,38,CustomerFullName-29274038,BPCustomerFullName-29274038,CustomerName-29274038,BPCustomerName-29274038,38,38,38,38,38,38,038,038,038,038,038,8,38,true,r-29274038,p-29274038,s-29274038,4038,1-29274038,2-29274038,3-29274038,4-29274038,5-29274038,9274038,74038,8,38,4038,38,Number1-29274038,r2-29274038,axNumber3-29274038,axNumber4-29274038,TaxNumber5-29274038,38,egistration-29274038,true,TrainStationName-29274038,TrainStationName-29274038,4038,038,38
r-29274039,4039,39,ser-29274039,2003-07-18,4039,39,CustomerFullName-29274039,BPCustomerFullName-29274039,CustomerName-29274039,BPCustomerName-29274039,39,39,39,39,39,39,039,039,039,039,039,9,39,false,r-29274039,p-29274039,s-29274039,4039,1-29274039,2-29274039,3-29274039,4-29274039,5-29274039,9274039,74039,9,39,4039,39,Number1-29274039,r2-29274039,axNumber3-29274039,axNumber4-29274039,TaxNumber5-29274039,39,egistration-29274039,false,TrainStationName-29274039,TrainStationName-29274039,4039,039,39
r-29274040,4040,40,ser-29274040,2016-07-18,4040,40,CustomerFullName-29274040,BPCustomerFullName-29274040,CustomerName-29274040,BPCustomerName-29274040,40,40,40,40,40,40,040,040,040,040,040,0,40,true,r-29274040,p-29274040,s-29274040,4040,1-29274040,2-29274040,3-29274040,4-29274040,5-29274040,9274040,74040,0,40,4040,40,Number1-29274040,r2-29274040,axNumber3-29274040,axNumber4-29274040,TaxNumber5-29274040,40,egistration-29274040,true,TrainStationName-29274040,TrainStationName-29274040,4040,040,40
r-29274041,4041,41,ser-29274041,2014-11-20,4041,41,CustomerFullName-29274041,BPCustomerFullName-29274041,CustomerName-29274041,BPCustomerName-29274041,41,41,41,41,41,41,041,041,041,041,041,1,41,false,r-29274041,p-29274041,s-29274041,4041,1-29274041,2-29274041,3-29274041,4-29274041,5-29274041,9274041,74041,1,41,4041,41,Number1-29274041,r2-29274041,axNumber3-29274041,axNumber4-29274041,TaxNumber5-29274041,41,egistration-29274041,false,TrainStationName-29274041,TrainStationName-29274041,4041,041,41
r-29274042,4042,42,ser-29274042,2000-07-22,4042,42,CustomerFullName-29274042,BPCustomerFullName-29274042,CustomerName-29274042,BPCustomerName-29274042,42,42,42,42,42,42,042,042,042,042,042,2,42,true,r-29274042,p-29274042,s-29274042,4042,1-29274042,2-29274042,3-29274042,4-29274042,5-29274042,9274042,74042,2,42,4042,42,Number1-29274042,r2-29274042,axNumber3-29274042,axNumber4-29274042,TaxNumber5-29274042,42,egistration-29274042,true,TrainStationName-29274042,TrainStationName-29274042,4042,042,42
r-29274043,4043,43,ser-29274043,2005-09-30,4043,43,CustomerFullName-29274043,BPCustomerFullName-29274043,CustomerName-29274043,BPCustomerName-29274043,43,43,43,43,43,43,043,043,043,043,043,3,43,false,r-29274043,p-29274043,s-29274043,4043,1-29274043,2-29274043,3-29274043,4-29274043,5-29274043,9274043,74043,3,43,4043,43,Number1-29274043,r2-29274043,axNumber3-29274043,axNumber4-29274043,TaxNumber5-29274043,43,egistration-29274043,false,TrainStationName-29274043,TrainStationName-29274043,4043,043,43
r-29274044,4044,44,ser-29274044,2023-09-24,4044,44,CustomerFullName-29274044,BPCustomerFullName-29274044,CustomerName-29274044,BPCustomerName-29274044,44,44,44,44,44,44,044,044,044,044,044,4,44,true,r-29274044,p-29274044,s-29274044,4044,1-29274044,2-29274044,3-29274044,4-29274044,5-29274044,9274044,74044,4,44,4044,44,Number1-29274044,r2-29274044,axNumber3-29274044,axNumber4-29274044,TaxNumber5-29274044,44,egistration-29274044,true,TrainStationName-29274044,TrainStationName-29274044,4044,044,44
r-29274045,4045,45,ser-29274045,2007-05-23,4045,45,CustomerFullName-29274045,BPCustomerFullName-29274045,CustomerName-29274045,BPCustomerName-29274045,45,45,45,45,45,45,045,045,045,045,045,5,45,false,r-29274045,p-29274045,s-29274045,4045,1-29274045,2-29274045,3-29274045,4-29274045,5-29274045,9274045,74045,5,45,4045,45,Number1-29274045,r2-29274045,axNumber3-29274045,axNumber4-29274045,TaxNumber5-29274045,45,egistration-29274045,false,TrainStationName-29274045,TrainStationName-29274045,4045,045,45
r-29274046,4046,46,ser-29274046,2021-06-13,4046,46,CustomerFullName-29274046,BPCustomerFullName-29274046,CustomerName-29274046,BPCustomerName-29274046,46,46,46,46,46,46,046,046,046,046,046,6,46,true,r-29274046,p-29274046,s-29274046,4046,1-29274046,2-29274046,3-29274046,4-29274046,5-29274046,9274046,74046,6,46,4046,46,Number1-29274046,r2-29274046,axNumber3-29274046,axNumber4-29274046,TaxNumber5-29274046,46,egistration-29274046,true,TrainStationName-29274046,TrainStationName-29274046,4046,046,46
r-29274047,4047,47,ser-29274047,2000-10-15,4047,47,CustomerFullName-29274047,BPCustomerFullName-29274047,CustomerName-29274047,BPCustomerName-29274047,47,47,47,47,47,47,047,047,047,047,047,7,47,false,r-29274047,p-29274047,s-29274047,4047,1-29274047,2-29274047,3-29274047,4-29274047,5-29274047,9274047,74047,7,47,4047,47,Number1-29274047,r2-29274047,axNumber3-29274047,axNumber4-29274047,TaxNumber5-29274047,47,egistration-29274047,false,TrainStationName-29274047,TrainStationName-29274047,4047,047,47
r-29274048,4048,48,ser-29274048,2009-05-25,4048,48,CustomerFullName-29274048,BPCustomerFullName-29274048,CustomerName-29274048,BPCustomerName-29274048,48,48,48,48,48,48,048,048,048,048,048,8,48,true,r-29274048,p-29274048,s-29274048,4048,1-29274048,2-29274048,3-29274048,4-29274048,5-29274048,9274048,74048,8,48,4048,48,Number1-29274048,r2-29274048,axNumber3-29274048,axNumber4-29274048,TaxNumber5-29274048,48,egistration-29274048,true,TrainStationName-29274048,TrainStationName-29274048,4048,048,48
r-29274049,4049,49,ser-29274049,2001-11-11,4049,49,CustomerFullName-29274049,BPCustomerFullName-29274049,CustomerName-29274049,BPCustomerName-29274049,49,49,49,49,49,49,049,049,049,049,049,9,49,false,r-29274049,p-29274049,s-29274049,4049,1-29274049,2-29274049,3-29274049,4-29274049,5-29274049,9274049,74049,9,49,4049,49,Number1-29274049,r2-29274049,axNumber3-29274049,axNumber4-29274049,TaxNumber5-29274049,49,egistration-29274049,false,TrainStationName-29274049,TrainStationName-29274049,4049,049,49
r-29274050,4050,50,ser-29274050,2008-04-30,4050,50,CustomerFullName-29274050,BPCustomerFullName-29274050,CustomerName-29274050,BPCustomerName-29274050,50,50,50,50,50,50,050,050,050,050,050,0,50,true,r-29274050,p-29274050,s-29274050,4050,1-29274050,2-29274050,3-29274050,4-29274050,5-29274050,9274050,74050,0,50,4050,50,Number1-29274050,r2-29274050,axNumber3-29274050,axNumber4-29274050,TaxNumber5-29274050,50,egistration-29274050,true,TrainStationName-29274050,TrainStationName-29274050,4050,050,50
r-29274051,4051,51,ser-29274051,2016-10-01,4051,51,CustomerFullName-29274051,BPCustomerFullName-29274051,CustomerName-29274051,BPCustomerName-29274051,51,51,51,51,51,51,051,051,051,051,051,1,51,false,r-29274051,p-29274051,s-29274051,4051,1-29274051,2-29274051,3-29274051,4-29274051,5-29274051,9274051,74051,1,51,4051,51,Number1-29274051,r2-29274051,axNumber3-29274051,axNumber4-29274051,TaxNumber5-29274051,51,egistration-29274051,false,TrainStationName-29274051,TrainStationName-29274051,4051,051,51
r-29274052,4052,52,ser-29274052,2010-11-02,4052,52,CustomerFullName-29274052,BPCustomerFullName-29274052,CustomerName-29274052,BPCustomerName-29274052,52,52,52,52,52,52,052,052,052,052,052,2,52,true,r-29274052,p-29274052,s-29274052,4052,1-29274052,2-29274052,3-29274052,4-29274052,5-29274052,9274052,74052,2,52,4052,52,Number1-29274052,r2-29274052,axNumber3-29274052,axNumber4-29274052,TaxNumber5-29274052,52,egistration-29274052,true,TrainStationName-29274052,TrainStationName-29274052,4052,052,52
r-29274053,4053,53,ser-29274053,2016-11-13,4053,53,CustomerFullName-29274053,BPCustomerFullName-29274053,CustomerName-29274053,BPCustomerName-29274053,53,53,53,53,53,53,053,053,053,053,053,3,53,false,r-29274053,p-29274053,s-29274053,4053,1-29274053,2-29274053,3-29274053,4-29274053,5-29274053,9274053,74053,3,53,4053,53,Number1-29274053,r2-29274053,axNumber3-29274053,axNumber4-29274053,TaxNumber5-29274053,53,egistration-29274053,false,TrainStationName-29274053,TrainStationName-29274053,4053,053,53
r-29274054,4054,54,ser-29274054,2001-05-07,4054,54,CustomerFullName-29274054,BPCustomerFullName-29274054,CustomerName-29274054,BPCustomerName-29274054,54,54,54,54,54,54,054,054,054,054,054,4,54,true,r-29274054,p-29274054,s-29274054,4054,1-29274054,2-29274054,3-29274054,4-29274054,5-29274054,9274054,74054,4,54,4054,54,Number1-29274054,r2-29274054,axNumber3-29274054,axNumber4-29274054,TaxNumber5-29274054,54,egistration-29274054,true,TrainStationName-29274054,TrainStationName-29274054,4054,054,54
r-29274055,4055,55,ser-29274055,2023-05-31,4055,55,CustomerFullName-29274055,BPCustomerFullName-29274055,CustomerName-29274055,BPCustomerName-29274055,55,55,55,55,55,55,055,055,055,055,055,5,55,false,r-29274055,p-29274055,s-29274055,4055,1-29274055,2-29274055,3-29274055,4-29274055,5-29274055,9274055,74055,5,55,4055,55,Number1-29274055,r2-29274055,axNumber3-29274055,axNumber4-29274055,TaxNumber5-29274055,55,egistration-29274055,false,TrainStationName-29274055,TrainStationName-29274055,4055,055,55
r-29274056,4056,56,ser-29274056,2005-10-01,4056,56,CustomerFullName-29274056,BPCustomerFullName-29274056,CustomerName-29274056,BPCustomerName-29274056,56,56,56,56,56,56,056,056,056,056,056,6,56,true,r-29274056,p-29274056,s-29274056,4056,1-29274056,2-29274056,3-29274056,4-29274056,5-29274056,9274056,74056,6,56,4056,56,Number1-29274056,r2-29274056,axNumber3-29274056,axNumber4-29274056,TaxNumber5-29274056,56,egistration-29274056,true,TrainStationName-29274056,TrainStationName-29274056,4056,056,56
r-29274057,4057,57,ser-29274057,2015-05-31,4057,57,CustomerFullName-29274057,BPCustomerFullName-29274057,CustomerName-29274057,BPCustomerName-29274057,57,57,57,57,57,57,057,057,057,057,057,7,57,false,r-29274057,p-29274057,s-29274057,4057,1-29274057,2-29274057,3-29274057,4-29274057,5-29274057,9274057,74057,7,57,4057,57,Number1-29274057,r2-29274057,axNumber3-29274057,axNumber4-29274057,TaxNumber5-29274057,57,egistration-29274057,false,TrainStationName-29274057,TrainStationName-29274057,4057,057,57
r-29274058,4058,58,ser-29274058,2003-08-14,4058,58,CustomerFullName-29274058,BPCustomerFullName-29274058,CustomerName-29274058,BPCustomerName-29274058,58,58,58,58,58,58,058,058,058,058,058,8,58,true,r-29274058,p-29274058,s-29274058,4058,1-29274058,2-29274058,3-29274058,4-29274058,5-29274058,9274058,74058,8,58,4058,58,Number1-29274058,r2-29274058,axNumber3-29274058,axNumber4-29274058,TaxNumber5-29274058,58,egistration-29274058,true,TrainStationName-29274058,TrainStationName-29274058,4058,058,58
r-29274059,4059,59,ser-29274059,2019-05-22,4059,59,CustomerFullName-29274059,BPCustomerFullName-29274059,CustomerName-29274059,BPCustomerName-29274059,59,59,59,59,59,59,059,059,059,059,059,9,59,false,r-29274059,p-29274059,s-29274059,4059,1-29274059,2-29274059,3-29274059,4-29274059,5-29274059,9274059,74059,9,59,4059,59,Number1-29274059,r2-29274059,axNumber3-29274059,axNumber4-29274059,TaxNumber5-29274059,59,egistration-29274059,false,TrainStationName-29274059,TrainStationName-29274059,4059,059,59
r-29274060,4060,60,ser-29274060,2013-06-14,4060,60,CustomerFullName-29274060,BPCustomerFullName-29274060,CustomerName-29274060,BPCustomerName-29274060,60,60,60,60,60,60,060,060,060,060,060,0,60,true,r-29274060,p-29274060,s-29274060,4060,1-29274060,2-29274060,3-29274060,4-29274060,5-29274060,9274060,74060,0,60,4060,60,Number1-29274060,r2-29274060,axNumber3-29274060,axNumber4-29274060,TaxNumber5-29274060,60,egistration-29274060,true,TrainStationName-29274060,TrainStationName-29274060,4060,060,60
r-29274061,4061,61,ser-29274061,2000-05-21,4061,61,CustomerFullName-29274061,BPCustomerFullName-29274061,CustomerName-29274061,BPCustomerName-29274061,61,61,61,61,61,61,061,061,061,061,061,1,61,false,r-29274061,p-29274061,s-29274061,4061,1-29274061,2-29274061,3-29274061,4-29274061,5-29274061,9274061,74061,1,61,4061,61,Number1-29274061,r2-29274061,axNumber3-29274061,axNumber4-29274061,TaxNumber5-29274061,61,egistration-29274061,false,TrainStationName-29274061,TrainStationName-29274061,4061,061,61
r-29274062,4062,62,ser-29274062,2016-08-19,4062,62,CustomerFullName-29274062,BPCustomerFullName-29274062,CustomerName-29274062,BPCustomerName-29274062,62,62,62,62,62,62,062,062,062,062,062,2,62,true,r-29274062,p-29274062,s-29274062,4062,1-29274062,2-29274062,3-29274062,4-29274062,5-29274062,9274062,74062,2,62,4062,62,Number1-29274062,r2-29274062,axNumber3-29274062,axNumber4-29274062,TaxNumber5-29274062,62,egistration-29274062,true,TrainStationName-29274062,TrainStationName-29274062,4062,062,62
r-29274063,4063,63,ser-29274063,2014-03-20,4063,63,CustomerFullName-29274063,BPCustomerFullName-29274063,CustomerName-29274063,BPCustomerName-29274063,63,63,63,63,63,63,063,063,063,063,063,3,63,false,r-29274063,p-29274063,s-29274063,4063,1-29274063,2-29274063,3-29274063,4-29274063,5-29274063,9274063,74063,3,63,4063,63,Number1-29274063,r2-29274063,axNumber3-29274063,axNumber4-29274063,TaxNumber5-29274063,63,egistration-29274063,false,TrainStationName-29274063,TrainStationName-29274063,4063,063,63
r-29274064,4064,64,ser-29274064,2016-08-18,4064,64,CustomerFullName-29274064,BPCustomerFullName-29274064,CustomerName-29274064,BPCustomerName-29274064,64,64,64,64,64,64,064,064,064,064,064,4,64,true,r-29274064,p-29274064,s-29274064,4064,1-29274064,2-29274064,3-29274064,4-29274064,5-29274064,9274064,74064,4,64,4064,64,Number1-29274064,r2-29274064,axNumber3-29274064,axNumber4-29274064,TaxNumber5-29274064,64,egistration-29274064,true,TrainStationName-29274064,TrainStationName-29274064,4064,064,64
r-29274065,4065,65,ser-29274065,2011-11-24,4065,65,CustomerFullName-29274065,BPCustomerFullName-29274065,CustomerName-29274065,BPCustomerName-29274065,65,65,65,65,65,65,065,065,065,065,065,5,65,false,r-29274065,p-29274065,s-29274065,4065,1-29274065,2-29274065,3-29274065,4-29274065,5-29274065,9274065,74065,5,65,4065,65,Number1-29274065,r2-29274065,axNumber3-29274065,axNumber4-29274065,TaxNumber5-29274065,65,egistration-29274065,false,TrainStationName-29274065,TrainStationName-29274065,4065,065,65
r-29274066,4066,66,ser-29274066,2007-05-26,4066,66,CustomerFullName-29274066,BPCustomerFullName-29274066,CustomerName-29274066,BPCustomerName-29274066,66,66,66,66,66,66,066,066,066,066,066,6,66,true,r-29274066,p-29274066,s-29274066,4066,1-29274066,2-29274066,3-29274066,4-29274066,5-29274066,9274066,74066,6,66,4066,66,Number1-29274066,r2-29274066,axNumber3-29274066,axNumber4-29274066,TaxNumber5-29274066,66,egistration-29274066,true,TrainStationName-29274066,TrainStationName-29274066,4066,066,66
r-29274067,4067,67,ser-29274067,2009-01-27,4067,67,CustomerFullName-29274067,BPCustomerFullName-29274067,CustomerName-29274067,BPCustomerName-29274067,67,67,67,67,67,67,067,067,067,067,067,7,67,false,r-29274067,p-29274067,s-29274067,4067,1-29274067,2-29274067,3-29274067,4-29274067,5-29274067,9274067,74067,7,67,4067,67,Number1-29274067,r2-29274067,axNumber3-29274067,axNumber4-29274067,TaxNumber5-29274067,67,egistration-29274067,false,TrainStationName-29274067,TrainStationName-29274067,4067,067,67
r-29274068,4068,68,ser-29274068,2020-08-05,4068,68,CustomerFullName-29274068,BPCustomerFullName-29274068,CustomerName-29274068,BPCustomerName-29274068,68,68,68,68,68,68,068,068,068,068,068,8,68,true,r-29274068,p-29274068,s-29274068,4068,1-29274068,2-29274068,3-29274068,4-29274068,5-29274068,9274068,74068,8,68,4068,68,Number1-29274068,r2-29274068,axNumber3-29274068,axNumber4-29274068,TaxNumber5-29274068,68,egistration-29274068,true,TrainStationName-29274068,TrainStationName-29274068,4068,068,68
r-29274069,4069,69,ser-29274069,2019-08-28,4069,69,CustomerFullName-29274069,BPCustomerFullName-29274069,CustomerName-29274069,BPCustomerName-29274069,69,69,69,69,69,69,069,069,069,069,069,9,69,false,r-29274069,p-29274069,s-29274069,4069,1-29274069,2-29274069,3-29274069,4-29274069,5-29274069,9274069,74069,9,69,4069,69,Number1-29274069,r2-29274069,axNumber3-29274069,axNumber4-29274069,TaxNumber5-29274069,69,egistration-29274069,false,TrainStationName-29274069,TrainStationName-29274069,4069,069,69
r-29274070,4070,70,ser-29274070,2011-11-27,4070,70,CustomerFullName-29274070,BPCustomerFullName-29274070,CustomerName-29274070,BPCustomerName-29274070,70,70,70,70,70,70,070,070,070,070,070,0,70,true,r-29274070,p-29274070,s-29274070,4070,1-29274070,2-29274070,3-29274070,4-29274070,5-29274070,9274070,74070,0,70,4070,70,Number1-29274070,r2-29274070,axNumber3-29274070,axNumber4-29274070,TaxNumber5-29274070,70,egistration-29274070,true,TrainStationName-29274070,TrainStationName-29274070,4070,070,70
r-29274071,4071,71,ser-29274071,2005-09-24,4071,71,CustomerFullName-29274071,BPCustomerFullName-29274071,CustomerName-29274071,BPCustomerName-29274071,71,71,71,71,71,71,071,071,071,071,071,1,71,false,r-29274071,p-29274071,s-29274071,4071,1-29274071,2-29274071,3-29274071,4-29274071,5-29274071,9274071,74071,1,71,4071,71,Number1-29274071,r2-29274071,axNumber3-29274071,axNumber4-29274071,TaxNumber5-29274071,71,egistration-29274071,false,TrainStationName-29274071,TrainStationName-29274071,4071,071,71
r-29274072,4072,72,ser-29274072,2000-11-04,4072,72,CustomerFullName-29274072,BPCustomerFullName-29274072,CustomerName-29274072,BPCustomerName-29274072,72,72,72,72,72,72,072,072,072,072,072,2,72,true,r-29274072,p-29274072,s-29274072,4072,1-29274072,2-29274072,3-29274072,4-29274072,5-29274072,9274072,74072,2,72,4072,72,Number1-29274072,r2-29274072,axNumber3-29274072,axNumber4-29274072,TaxNumber5-29274072,72,egistration-29274072,true,TrainStationName-29274072,TrainStationName-29274072,4072,072,72
r-29274073,4073,73,ser-29274073,2004-06-03,4073,73,CustomerFullName-29274073,BPCustomerFullName-29274073,CustomerName-29274073,BPCustomerName-29274073,73,73,73,73,73,73,073,073,073,073,073,3,73,false,r-29274073,p-29274073,s-29274073,4073,1-29274073,2-29274073,3-29274073,4-29274073,5-29274073,9274073,74073,3,73,4073,73,Number1-29274073,r2-29274073,axNumber3-29274073,axNumber4-29274073,TaxNumber5-29274073,73,egistration-29274073,false,TrainStationName-29274073,TrainStationName-29274073,4073,073,73
r-29274074,4074,74,ser-29274074,2017-01-14,4074,74,CustomerFullName-29274074,BPCustomerFullName-29274074,CustomerName-29274074,BPCustomerName-29274074,74,74,74,74,74,74,074,074,074,074,074,4,74,true,r-29274074,p-29274074,s-29274074,4074,1-29274074,2-29274074,3-29274074,4-29274074,5-29274074,9274074,74074,4,74,4074,74,Number1-29274074,r2-29274074,axNumber3-29274074,axNumber4-29274074,TaxNumber5-29274074,74,egistration-29274074,true,TrainStationName-29274074,TrainStationName-29274074,4074,074,74
r-29274075,4075,75,ser-29274075,2001-11-04,4075,75,CustomerFullName-29274075,BPCustomerFullName-29274075,CustomerName-29274075,BPCustomerName-29274075,75,75,75,75,75,75,075,075,075,075,075,5,75,false,r-29274075,p-29274075,s-29274075,4075,1-29274075,2-29274075,3-29274075,4-29274075,5-29274075,9274075,74075,5,75,4075,75,Number1-29274075,r2-29274075,axNumber3-29274075,axNumber4-29274075,TaxNumber5-29274075,75,egistration-29274075,false,TrainStationName-29274075,TrainStationName-29274075,4075,075,75
