BusinessPartner,BusinessPartnerIsVIP,TradingPartner,FactoryCalendar,BusinessPartnerOfficeCountry,BusinessPartnerOfficeRegion,BPRegisteredOfficeName,BPBalanceSheetCurrency,BPLastCptlIncrAmtInBalShtCrcy,BPLastCapitalIncreaseYear,BPBalanceSheetDisplayType,BusinessPartnerCitizenship,BPMaritalPropertyRegime,BusinessPartnerIncomeCurrency,BPNumberOfChildren,BPNumberOfHouseholdMembers,BPAnnualNetIncAmtInIncomeCrcy,BPMonthlyNetIncAmtInIncomeCrcy,BPAnnualNetIncomeYear,BPMonthlyNetIncomeMonth,BPMonthlyNetIncomeYear,BPPlaceOfDeathName,CustomerIsUnwanted,UndesirabilityReason,UndesirabilityComment,LastCustomerContactDate,BPGroupingCharacter,BPLetterSalutation,BusinessPartnerTargetGroup,BusinessPartnerEmployeeGroup,BusinessPartnerIsEmployee,BPTermnBusRelationsBankDate
n-19908787,false,908787,87,787,787,BPRegisteredOfficeName-19908787,08787,536405450073.106,8787,7,787,87,08787,95,58,3435458219288.468,1232909040945.239,8787,87,8787,BPPlaceOfDeathName-19908787,false,87,UndesirabilityComment-19908787,2010-05-27,r-19908787,87,8787,8787,false,2006-01-11
n-19908788,true,908788,88,788,788,BPRegisteredOfficeName-19908788,08788,8289490429944.658,8788,8,788,88,08788,45,89,488030553785.091,2537224821633.495,8788,88,8788,BPPlaceOfDeathName-19908788,true,88,UndesirabilityComment-19908788,2007-12-04,r-19908788,88,8788,8788,true,2003-03-15
n-19908789,false,908789,89,789,789,BPRegisteredOfficeName-19908789,08789,6143510807610.393,8789,9,789,89,08789,57,4,4893601915332.93,5173976726524.531,8789,89,8789,BPPlaceOfDeathName-19908789,false,89,UndesirabilityComment-19908789,2003-01-07,r-19908789,89,8789,8789,false,2020-06-12
n-19908790,true,908790,90,790,790,BPRegisteredOfficeName-19908790,08790,4714363914518.822,8790,0,790,90,08790,60,15,8564716002594.808,673683545334.276,8790,90,8790,BPPlaceOfDeathName-19908790,true,90,UndesirabilityComment-19908790,2001-11-22,r-19908790,90,8790,8790,true,2012-12-21
n-19908791,false,908791,91,791,791,BPRegisteredOfficeName-19908791,08791,3991381807383.121,8791,1,791,91,08791,34,4,7684471266166.774,1919058451567.07,8791,91,8791,BPPlaceOfDeathName-19908791,false,91,UndesirabilityComment-19908791,2017-08-08,r-19908791,91,8791,8791,false,2011-05-05
n-19908792,true,908792,92,792,792,BPRegisteredOfficeName-19908792,08792,2909732356666.187,8792,2,792,92,08792,1,69,2788728398028.087,6875150193991.456,8792,92,8792,BPPlaceOfDeathName-19908792,true,92,UndesirabilityComment-19908792,2023-05-28,r-19908792,92,8792,8792,true,2003-06-06
n-19908793,false,908793,93,793,793,BPRegisteredOfficeName-19908793,08793,8690185026409.808,8793,3,793,93,08793,26,53,1134369508753.199,141133257963.247,8793,93,8793,BPPlaceOfDeathName-19908793,false,93,UndesirabilityComment-19908793,2013-03-03,r-19908793,93,8793,8793,false,2021-08-23
n-19908794,true,908794,94,794,794,BPRegisteredOfficeName-19908794,08794,414751306443.907,8794,4,794,94,08794,87,10,6991902144200.668,5602349817652.501,8794,94,8794,BPPlaceOfDeathName-19908794,true,94,UndesirabilityComment-19908794,2000-02-27,r-19908794,94,8794,8794,true,2020-06-04
n-19908795,false,908795,95,795,795,BPRegisteredOfficeName-19908795,08795,7736963790927.219,8795,5,795,95,08795,95,3,4849209952853.779,3605085378164.756,8795,95,8795,BPPlaceOfDeathName-19908795,false,95,UndesirabilityComment-19908795,2016-04-12,r-19908795,95,8795,8795,false,2013-07-24
n-19908796,true,908796,96,796,796,BPRegisteredOfficeName-19908796,08796,1952970980349.671,8796,6,796,96,08796,93,0,8635997174181.949,2830248342972.369,8796,96,8796,BPPlaceOfDeathName-19908796,true,96,UndesirabilityComment-19908796,2007-04-17,r-19908796,96,8796,8796,true,2011-05-03
n-19908797,false,908797,97,797,797,BPRegisteredOfficeName-19908797,08797,363937744377.96,8797,7,797,97,08797,91,85,782536975258.194,3475090550690.77,8797,97,8797,BPPlaceOfDeathName-19908797,false,97,UndesirabilityComment-19908797,2022-04-19,r-19908797,97,8797,8797,false,2000-02-24
n-19908798,true,908798,98,798,798,BPRegisteredOfficeName-19908798,08798,882223929753.326,8798,8,798,98,08798,90,85,6775843091038.916,7939404835890.816,8798,98,8798,BPPlaceOfDeathName-19908798,true,98,UndesirabilityComment-19908798,2019-06-02,r-19908798,98,8798,8798,true,2012-09-02
n-19908799,false,908799,99,799,799,BPRegisteredOfficeName-19908799,08799,2558798626819.754,8799,9,799,99,08799,88,70,8472460228253.41,8397305011535.559,8799,99,8799,BPPlaceOfDeathName-19908799,false,99,UndesirabilityComment-19908799,2017-11-21,r-19908799,99,8799,8799,false,2008-03-25
n-19908800,true,908800,00,800,800,BPRegisteredOfficeName-19908800,08800,1471504903200.916,8800,0,800,00,08800,67,85,1322191147337.173,6000959479187.412,8800,00,8800,BPPlaceOfDeathName-19908800,true,00,UndesirabilityComment-19908800,2010-05-24,r-19908800,00,8800,8800,true,2013-11-29
n-19908801,false,908801,01,801,801,BPRegisteredOfficeName-19908801,08801,5962334840109.513,8801,1,801,01,08801,67,1,5210311556311.366,4314893843610.957,8801,01,8801,BPPlaceOfDeathName-19908801,false,01,UndesirabilityComment-19908801,2007-01-19,r-19908801,01,8801,8801,false,2004-11-13
n-19908802,true,908802,02,802,802,BPRegisteredOfficeName-19908802,08802,2940032676673.308,8802,2,802,02,08802,47,16,6842290045951.808,7559455105953.916,8802,02,8802,BPPlaceOfDeathName-19908802,true,02,UndesirabilityComment-19908802,2012-08-15,r-19908802,02,8802,8802,true,2012-10-08
n-19908803,false,908803,03,803,803,BPRegisteredOfficeName-19908803,08803,8455444012148.235,8803,3,803,03,08803,12,85,9878485586349.926,5234442671873.65,8803,03,8803,BPPlaceOfDeathName-19908803,false,03,UndesirabilityComment-19908803,2002-08-14,r-19908803,03,8803,8803,false,2018-05-04
n-19908804,true,908804,04,804,804,BPRegisteredOfficeName-19908804,08804,7894161275837.144,8804,4,804,04,08804,25,73,2852462577227.919,743041541470.337,8804,04,8804,BPPlaceOfDeathName-19908804,true,04,UndesirabilityComment-19908804,2014-01-19,r-19908804,04,8804,8804,true,2014-12-19
n-19908805,false,908805,05,805,805,BPRegisteredOfficeName-19908805,08805,5232712097204.761,8805,5,805,05,08805,40,73,7545755273894.916,4517315691437.839,8805,05,8805,BPPlaceOfDeathName-19908805,false,05,UndesirabilityComment-19908805,2009-11-08,r-19908805,05,8805,8805,false,2005-08-31
n-19908806,true,908806,06,806,806,BPRegisteredOfficeName-19908806,08806,272350093335.394,8806,6,806,06,08806,10,42,1474483291756.999,6697309178258.801,8806,06,8806,BPPlaceOfDeathName-19908806,true,06,UndesirabilityComment-19908806,2008-04-02,r-19908806,06,8806,8806,true,2005-08-13
n-19908807,false,908807,07,807,807,BPRegisteredOfficeName-19908807,08807,9785685683329.762,8807,7,807,07,08807,26,5,3240007135040.032,1734588758937.796,8807,07,8807,BPPlaceOfDeathName-19908807,false,07,UndesirabilityComment-19908807,2005-05-25,r-19908807,07,8807,8807,false,2007-03-01
n-19908808,true,908808,08,808,808,BPRegisteredOfficeName-19908808,08808,8817739299862.217,8808,8,808,08,08808,48,63,6632663292418.847,8878181327467.52,8808,08,8808,BPPlaceOfDeathName-19908808,true,08,UndesirabilityComment-19908808,2019-02-24,r-19908808,08,8808,8808,true,2006-05-07
n-19908809,false,908809,09,809,809,BPRegisteredOfficeName-19908809,08809,6902889427136.227,8809,9,809,09,08809,67,25,1383088556202.686,251003821426.537,8809,09,8809,BPPlaceOfDeathName-19908809,false,09,UndesirabilityComment-19908809,2003-04-29,r-19908809,09,8809,8809,false,2007-11-09
n-19908810,true,908810,10,810,810,BPRegisteredOfficeName-19908810,08810,1499476390228.294,8810,0,810,10,08810,0,8,6822018813697.898,4823846129347.786,8810,10,8810,BPPlaceOfDeathName-19908810,true,10,UndesirabilityComment-19908810,2016-08-13,r-19908810,10,8810,8810,true,2021-02-03
n-19908811,false,908811,11,811,811,BPRegisteredOfficeName-19908811,08811,740960697733.115,8811,1,811,11,08811,52,80,846559740922.885,6752700470663.068,8811,11,8811,BPPlaceOfDeathName-19908811,false,11,UndesirabilityComment-19908811,2005-12-07,r-19908811,11,8811,8811,false,2022-02-28
n-19908812,true,908812,12,812,812,BPRegisteredOfficeName-19908812,08812,7754000777704.102,8812,2,812,12,08812,80,67,7729070935371.405,8378672144753.034,8812,12,8812,BPPlaceOfDeathName-19908812,true,12,UndesirabilityComment-19908812,2011-05-02,r-19908812,12,8812,8812,true,2006-08-14
n-19908813,false,908813,13,813,813,BPRegisteredOfficeName-19908813,08813,1072047735285.299,8813,3,813,13,08813,4,99,5008117241760.685,9681317145132.94,8813,13,8813,BPPlaceOfDeathName-19908813,false,13,UndesirabilityComment-19908813,2022-11-17,r-19908813,13,8813,8813,false,2006-10-30
n-19908814,true,908814,14,814,814,BPRegisteredOfficeName-19908814,08814,2239778091170.168,8814,4,814,14,08814,74,38,7879189397440.008,4763186009680.789,8814,14,8814,BPPlaceOfDeathName-19908814,true,14,UndesirabilityComment-19908814,2009-05-04,r-19908814,14,8814,8814,true,2007-03-22
n-19908815,false,908815,15,815,815,BPRegisteredOfficeName-19908815,08815,2085400697114.557,8815,5,815,15,08815,8,83,189859682148.044,9772834616478.547,8815,15,8815,BPPlaceOfDeathName-19908815,false,15,UndesirabilityComment-19908815,2003-04-08,r-19908815,15,8815,8815,false,2019-03-13
n-19908816,true,908816,16,816,816,BPRegisteredOfficeName-19908816,08816,345332257118.756,8816,6,816,16,08816,58,19,5501368787318.162,7449193676198.912,8816,16,8816,BPPlaceOfDeathName-19908816,true,16,UndesirabilityComment-19908816,2007-11-12,r-19908816,16,8816,8816,true,2009-12-20
n-19908817,false,908817,17,817,817,BPRegisteredOfficeName-19908817,08817,6877994202590.172,8817,7,817,17,08817,45,56,9537030836140.992,1485554060207.818,8817,17,8817,BPPlaceOfDeathName-19908817,false,17,UndesirabilityComment-19908817,2003-05-19,r-19908817,17,8817,8817,false,2009-07-26
n-19908818,true,908818,18,818,818,BPRegisteredOfficeName-19908818,08818,4643227508225.833,8818,8,818,18,08818,69,54,7935158806897.856,122376396560.703,8818,18,8818,BPPlaceOfDeathName-19908818,true,18,UndesirabilityComment-19908818,2010-07-29,r-19908818,18,8818,8818,true,2017-07-24
n-19908819,false,908819,19,819,819,BPRegisteredOfficeName-19908819,08819,4957058522817.686,8819,9,819,19,08819,68,81,1659217653107.492,35722094947.477,8819,19,8819,BPPlaceOfDeathName-19908819,false,19,UndesirabilityComment-19908819,2003-01-16,r-19908819,19,8819,8819,false,2001-12-23
n-19908820,true,908820,20,820,820,BPRegisteredOfficeName-19908820,08820,6511012925274.744,8820,0,820,20,08820,31,67,6628315927719.131,2873727339983.783,8820,20,8820,BPPlaceOfDeathName-19908820,true,20,UndesirabilityComment-19908820,2002-03-24,r-19908820,20,8820,8820,true,2023-07-28
n-19908821,false,908821,21,821,821,BPRegisteredOfficeName-19908821,08821,8672400924836.838,8821,1,821,21,08821,75,56,9174561830075.438,6392244961003.13,8821,21,8821,BPPlaceOfDeathName-19908821,false,21,UndesirabilityComment-19908821,2004-04-28,r-19908821,21,8821,8821,false,2023-10-06
n-19908822,true,908822,22,822,822,BPRegisteredOfficeName-19908822,08822,9408171472098.553,8822,2,822,22,08822,74,12,8010931164354.446,7158458705322.587,8822,22,8822,BPPlaceOfDeathName-19908822,true,22,UndesirabilityComment-19908822,2015-11-18,r-19908822,22,8822,8822,true,2013-01-24
n-19908823,false,908823,23,823,823,BPRegisteredOfficeName-19908823,08823,9579396713928.332,8823,3,823,23,08823,47,14,4941687281034.243,332810688663.561,8823,23,8823,BPPlaceOfDeathName-19908823,false,23,UndesirabilityComment-19908823,2010-09-15,r-19908823,23,8823,8823,false,2021-03-25
n-19908824,true,908824,24,824,824,BPRegisteredOfficeName-19908824,08824,4280909876303.314,8824,4,824,24,08824,13,61,2247947889026.305,2038855822957.218,8824,24,8824,BPPlaceOfDeathName-19908824,true,24,UndesirabilityComment-19908824,2001-04-08,r-19908824,24,8824,8824,true,2004-12-04
n-19908825,false,908825,25,825,825,BPRegisteredOfficeName-19908825,08825,3822945500398.834,8825,5,825,25,08825,5,20,5497102302359.535,7039024505994.338,8825,25,8825,BPPlaceOfDeathName-19908825,false,25,UndesirabilityComment-19908825,2017-03-01,r-19908825,25,8825,8825,false,2015-05-20
n-19908826,true,908826,26,826,826,BPRegisteredOfficeName-19908826,08826,2776230747317.522,8826,6,826,26,08826,50,95,41003825202.247,3909527419364.849,8826,26,8826,BPPlaceOfDeathName-19908826,true,26,UndesirabilityComment-19908826,2013-06-08,r-19908826,26,8826,8826,true,2019-04-20
n-19908827,false,908827,27,827,827,BPRegisteredOfficeName-19908827,08827,1132513680634.418,8827,7,827,27,08827,43,76,8187914603079.007,6209860518010.512,8827,27,8827,BPPlaceOfDeathName-19908827,false,27,UndesirabilityComment-19908827,2004-11-22,r-19908827,27,8827,8827,false,2020-01-18
n-19908828,true,908828,28,828,828,BPRegisteredOfficeName-19908828,08828,2309136087306.23,8828,8,828,28,08828,51,58,9120519687261.648,5321606799084.487,8828,28,8828,BPPlaceOfDeathName-19908828,true,28,UndesirabilityComment-19908828,2002-07-22,r-19908828,28,8828,8828,true,2002-01-30
n-19908829,false,908829,29,829,829,BPRegisteredOfficeName-19908829,08829,4683657936983.326,8829,9,829,29,08829,68,86,7552477733524.251,619357536663.284,8829,29,8829,BPPlaceOfDeathName-19908829,false,29,UndesirabilityComment-19908829,2017-10-04,r-19908829,29,8829,8829,false,2001-04-14
n-19908830,true,908830,30,830,830,BPRegisteredOfficeName-19908830,08830,167491241385.101,8830,0,830,30,08830,42,19,6596869444238.115,7458085726985.429,8830,30,8830,BPPlaceOfDeathName-19908830,true,30,UndesirabilityComment-19908830,2014-03-26,r-19908830,30,8830,8830,true,2016-01-11
n-19908831,false,908831,31,831,831,BPRegisteredOfficeName-19908831,08831,8471449703564.721,8831,1,831,31,08831,70,16,7940018514851.304,7654858896009.352,8831,31,8831,BPPlaceOfDeathName-19908831,false,31,UndesirabilityComment-19908831,2022-02-12,r-19908831,31,8831,8831,false,2020-05-28
n-19908832,true,908832,32,832,832,BPRegisteredOfficeName-19908832,08832,7919059018040.851,8832,2,832,32,08832,60,61,7101084443106.864,7294704561101.919,8832,32,8832,BPPlaceOfDeathName-19908832,true,32,UndesirabilityComment-19908832,2000-06-08,r-19908832,32,8832,8832,true,2020-11-10
n-19908833,false,908833,33,833,833,BPRegisteredOfficeName-19908833,08833,1602976966079.467,8833,3,833,33,08833,11,76,1205723062986.116,752421388354.564,8833,33,8833,BPPlaceOfDeathName-19908833,false,33,UndesirabilityComment-19908833,2014-01-06,r-19908833,33,8833,8833,false,2001-08-18
n-19908834,true,908834,34,834,834,BPRegisteredOfficeName-19908834,08834,8504610711649.161,8834,4,834,34,08834,11,2,7005338881075.286,8950554847604.734,8834,34,8834,BPPlaceOfDeathName-19908834,true,34,UndesirabilityComment-19908834,2007-03-16,r-19908834,34,8834,8834,true,2013-12-09
n-19908835,false,908835,35,835,835,BPRegisteredOfficeName-19908835,08835,1950010530101.136,8835,5,835,35,08835,98,8,6046338363318.213,5373215940849.949,8835,35,8835,BPPlaceOfDeathName-19908835,false,35,UndesirabilityComment-19908835,2017-02-05,r-19908835,35,8835,8835,false,2006-05-26
n-19908836,true,908836,36,836,836,BPRegisteredOfficeName-19908836,08836,9847438780960.771,8836,6,836,36,08836,75,2,6524180272820.991,8693226671104.875,8836,36,8836,BPPlaceOfDeathName-19908836,true,36,UndesirabilityComment-19908836,2021-03-19,r-19908836,36,8836,8836,true,2005-10-15
n-19908837,false,908837,37,837,837,BPRegisteredOfficeName-19908837,08837,863408532818.713,8837,7,837,37,08837,94,47,5709960469004.496,1069072493801.084,8837,37,8837,BPPlaceOfDeathName-19908837,false,37,UndesirabilityComment-19908837,2009-09-12,r-19908837,37,8837,8837,false,2017-03-05
n-19908838,true,908838,38,838,838,BPRegisteredOfficeName-19908838,08838,3043136406797.691,8838,8,838,38,08838,51,70,8371014060738.349,6120307134046.04,8838,38,8838,BPPlaceOfDeathName-19908838,true,38,UndesirabilityComment-19908838,2001-09-25,r-19908838,38,8838,8838,true,2000-10-23
n-19908839,false,908839,39,839,839,BPRegisteredOfficeName-19908839,08839,9280886273266.422,8839,9,839,39,08839,59,35,2902401882804.983,8081172858194.369,8839,39,8839,BPPlaceOfDeathName-19908839,false,39,UndesirabilityComment-19908839,2015-08-01,r-19908839,39,8839,8839,false,2003-04-30
n-19908840,true,908840,40,840,840,BPRegisteredOfficeName-19908840,08840,2665969317562.519,8840,0,840,40,08840,64,49,8463554330351.184,7121336163515.56,8840,40,8840,BPPlaceOfDeathName-19908840,true,40,UndesirabilityComment-19908840,2018-11-21,r-19908840,40,8840,8840,true,2004-08-14
n-19908841,false,908841,41,841,841,BPRegisteredOfficeName-19908841,08841,7383625383675.586,8841,1,841,41,08841,41,27,4936980835466.696,559851448150.33,8841,41,8841,BPPlaceOfDeathName-19908841,false,41,UndesirabilityComment-19908841,2017-12-07,r-19908841,41,8841,8841,false,2001-03-20
n-19908842,true,908842,42,842,842,BPRegisteredOfficeName-19908842,08842,1688470942395.596,8842,2,842,42,08842,0,79,8844866112874.572,8078142542957.565,8842,42,8842,BPPlaceOfDeathName-19908842,true,42,UndesirabilityComment-19908842,2007-07-30,r-19908842,42,8842,8842,true,2012-09-28
n-19908843,false,908843,43,843,843,BPRegisteredOfficeName-19908843,08843,202064340494.964,8843,3,843,43,08843,46,36,3791140250756.601,2778347467671.532,8843,43,8843,BPPlaceOfDeathName-19908843,false,43,UndesirabilityComment-19908843,2001-08-30,r-19908843,43,8843,8843,false,2002-04-07
n-19908844,true,908844,44,844,844,BPRegisteredOfficeName-19908844,08844,6343909717817.083,8844,4,844,44,08844,53,69,5483584685745.192,2309588321494.941,8844,44,8844,BPPlaceOfDeathName-19908844,true,44,UndesirabilityComment-19908844,2022-03-02,r-19908844,44,8844,8844,true,2009-02-16
n-19908845,false,908845,45,845,845,BPRegisteredOfficeName-19908845,08845,3129105590923.055,8845,5,845,45,08845,47,81,8530450687087.639,212212387553.841,8845,45,8845,BPPlaceOfDeathName-19908845,false,45,UndesirabilityComment-19908845,2012-08-08,r-19908845,45,8845,8845,false,2002-05-17
n-19908846,true,908846,46,846,846,BPRegisteredOfficeName-19908846,08846,6199336395895.918,8846,6,846,46,08846,78,74,9777591729898.97,5359794309918.808,8846,46,8846,BPPlaceOfDeathName-19908846,true,46,UndesirabilityComment-19908846,2023-02-05,r-19908846,46,8846,8846,true,2001-02-12
n-19908847,false,908847,47,847,847,BPRegisteredOfficeName-19908847,08847,1684783833316.491,8847,7,847,47,08847,40,99,3987156549062.136,2006200549277.096,8847,47,8847,BPPlaceOfDeathName-19908847,false,47,UndesirabilityComment-19908847,2009-11-07,r-19908847,47,8847,8847,false,2005-06-12
n-19908848,true,908848,48,848,848,BPRegisteredOfficeName-19908848,08848,5719620405259.593,8848,8,848,48,08848,29,92,87323369033.005,4276892954122.135,8848,48,8848,BPPlaceOfDeathName-19908848,true,48,UndesirabilityComment-19908848,2004-08-24,r-19908848,48,8848,8848,true,2018-08-14
n-19908849,false,908849,49,849,849,BPRegisteredOfficeName-19908849,08849,2236334565432.406,8849,9,849,49,08849,62,80,1068568332931.634,2449509642186.237,8849,49,8849,BPPlaceOfDeathName-19908849,false,49,UndesirabilityComment-19908849,2018-03-04,r-19908849,49,8849,8849,false,2012-09-05
n-19908850,true,908850,50,850,850,BPRegisteredOfficeName-19908850,08850,5378294055571.585,8850,0,850,50,08850,25,1,6584646218170.11,2582609370493.646,8850,50,8850,BPPlaceOfDeathName-19908850,true,50,UndesirabilityComment-19908850,2012-06-04,r-19908850,50,8850,8850,true,2011-06-28
n-19908851,false,908851,51,851,851,BPRegisteredOfficeName-19908851,08851,7391952220403.286,8851,1,851,51,08851,37,58,5779318465140.557,8728685041452.29,8851,51,8851,BPPlaceOfDeathName-19908851,false,51,UndesirabilityComment-19908851,2008-11-14,r-19908851,51,8851,8851,false,2002-05-22
n-19908852,true,908852,52,852,852,BPRegisteredOfficeName-19908852,08852,3601557196200.389,8852,2,852,52,08852,50,84,969270985900.118,2177571815229.066,8852,52,8852,BPPlaceOfDeathName-19908852,true,52,UndesirabilityComment-19908852,2001-05-11,r-19908852,52,8852,8852,true,2002-10-21
n-19908853,false,908853,53,853,853,BPRegisteredOfficeName-19908853,08853,127409193452.161,8853,3,853,53,08853,46,27,2724560867071.328,6462819615017.371,8853,53,8853,BPPlaceOfDeathName-19908853,false,53,UndesirabilityComment-19908853,2018-01-31,r-19908853,53,8853,8853,false,2022-10-29
n-19908854,true,908854,54,854,854,BPRegisteredOfficeName-19908854,08854,2674861368349.035,8854,4,854,54,08854,85,32,57009516618.733,9705366122126.152,8854,54,8854,BPPlaceOfDeathName-19908854,true,54,UndesirabilityComment-19908854,2018-03-05,r-19908854,54,8854,8854,true,2004-03-10
n-19908855,false,908855,55,855,855,BPRegisteredOfficeName-19908855,08855,3552929904770.12,8855,5,855,55,08855,38,45,8212812345282.714,9715106938122.398,8855,55,8855,BPPlaceOfDeathName-19908855,false,55,UndesirabilityComment-19908855,2009-10-03,r-19908855,55,8855,8855,false,2001-06-09
n-19908856,true,908856,56,856,856,BPRegisteredOfficeName-19908856,08856,8860799106936.812,8856,6,856,56,08856,65,70,5490784556136.353,2440582344198.513,8856,56,8856,BPPlaceOfDeathName-19908856,true,56,UndesirabilityComment-19908856,2022-04-27,r-19908856,56,8856,8856,true,2000-09-06
n-19908857,false,908857,57,857,857,BPRegisteredOfficeName-19908857,08857,918763633900.051,8857,7,857,57,08857,27,31,5784738037131.018,754516708621.884,8857,57,8857,BPPlaceOfDeathName-19908857,false,57,UndesirabilityComment-19908857,2017-08-22,r-19908857,57,8857,8857,false,2005-06-30
n-19908858,true,908858,58,858,858,BPRegisteredOfficeName-19908858,08858,2420736910731.035,8858,8,858,58,08858,53,38,8761194605717.49,4680209061224.465,8858,58,8858,BPPlaceOfDeathName-19908858,true,58,UndesirabilityComment-19908858,2023-08-19,r-19908858,58,8858,8858,true,2018-05-23
n-19908859,false,908859,59,859,859,BPRegisteredOfficeName-19908859,08859,2110076570769.874,8859,9,859,59,08859,57,30,8969717995949.857,374047711871.738,8859,59,8859,BPPlaceOfDeathName-19908859,false,59,UndesirabilityComment-19908859,2011-02-16,r-19908859,59,8859,8859,false,2000-05-25
n-19908860,true,908860,60,860,860,BPRegisteredOfficeName-19908860,08860,7734104361677.207,8860,0,860,60,08860,43,2,1061603548788.35,38791119165.143,8860,60,8860,BPPlaceOfDeathName-19908860,true,60,UndesirabilityComment-19908860,2010-10-29,r-19908860,60,8860,8860,true,2003-11-03
n-19908861,false,908861,61,861,861,BPRegisteredOfficeName-19908861,08861,2421045638454.014,8861,1,861,61,08861,5,83,2749383079555.512,5860015360227.182,8861,61,8861,BPPlaceOfDeathName-19908861,false,61,UndesirabilityComment-19908861,2001-10-10,r-19908861,61,8861,8861,false,2009-05-06
n-19908862,true,908862,62,862,862,BPRegisteredOfficeName-19908862,08862,9801071716348.414,8862,2,862,62,08862,79,60,5545264141901.593,9647691629280.285,8862,62,8862,BPPlaceOfDeathName-19908862,true,62,UndesirabilityComment-19908862,2012-05-14,r-19908862,62,8862,8862,true,2003-04-26
n-19908863,false,908863,63,863,863,BPRegisteredOfficeName-19908863,08863,3278482917632.437,8863,3,863,63,08863,48,15,958306903177.63,3811771822707.771,8863,63,8863,BPPlaceOfDeathName-19908863,false,63,UndesirabilityComment-19908863,2022-11-13,r-19908863,63,8863,8863,false,2011-06-16
