BusinessPartner,AddressID,Person,OrdinalNumber,EmailAddress,IsDefaultEmailAddress,ValidityStartDate,ValidityEndDate
l-16923421,l-16923421,l-16923421,421,EmailAddress-16923421,false,2021-07-29,2009-04-08
l-16923422,l-16923422,l-16923422,422,EmailAddress-16923422,true,2010-05-28,2011-06-14
l-16923423,l-16923423,l-16923423,423,EmailAddress-16923423,false,2014-05-30,2008-04-03
l-16923424,l-16923424,l-16923424,424,EmailAddress-16923424,true,2015-01-29,2004-07-26
l-16923425,l-16923425,l-16923425,425,EmailAddress-16923425,false,2004-11-10,2004-03-18
l-16923426,l-16923426,l-16923426,426,EmailAddress-16923426,true,2020-10-21,2013-08-06
l-16923427,l-16923427,l-16923427,427,EmailAddress-16923427,false,2004-08-09,2016-05-09
l-16923428,l-16923428,l-16923428,428,EmailAddress-16923428,true,2014-06-13,2012-02-17
l-16923429,l-16923429,l-16923429,429,EmailAddress-16923429,false,2021-03-11,2014-02-15
l-16923430,l-16923430,l-16923430,430,EmailAddress-16923430,true,2005-06-24,2006-11-15
l-16923431,l-16923431,l-16923431,431,EmailAddress-16923431,false,2011-05-03,2010-05-01
l-16923432,l-16923432,l-16923432,432,EmailAddress-16923432,true,2022-01-06,2004-02-14
l-16923433,l-16923433,l-16923433,433,EmailAddress-16923433,false,2012-12-03,2005-01-07
l-16923434,l-16923434,l-16923434,434,EmailAddress-16923434,true,2003-02-11,2017-09-17
l-16923435,l-16923435,l-16923435,435,EmailAddress-16923435,false,2016-02-09,2008-03-29
l-16923436,l-16923436,l-16923436,436,EmailAddress-16923436,true,2000-01-13,2020-03-03
l-16923437,l-16923437,l-16923437,437,EmailAddress-16923437,false,2018-03-07,2005-06-12
l-16923438,l-16923438,l-16923438,438,EmailAddress-16923438,true,2006-09-30,2005-03-27
l-16923439,l-16923439,l-16923439,439,EmailAddress-16923439,false,2014-03-30,2000-05-01
l-16923440,l-16923440,l-16923440,440,EmailAddress-16923440,true,2010-06-11,2000-04-02
l-16923441,l-16923441,l-16923441,441,EmailAddress-16923441,false,2013-01-28,2022-09-03
l-16923442,l-16923442,l-16923442,442,EmailAddress-16923442,true,2022-03-26,2013-11-10
l-16923443,l-16923443,l-16923443,443,EmailAddress-16923443,false,2009-12-06,2010-08-09
l-16923444,l-16923444,l-16923444,444,EmailAddress-16923444,true,2009-08-18,2020-04-12
l-16923445,l-16923445,l-16923445,445,EmailAddress-16923445,false,2016-10-13,2008-02-16
l-16923446,l-16923446,l-16923446,446,EmailAddress-16923446,true,2019-04-09,2006-01-09
l-16923447,l-16923447,l-16923447,447,EmailAddress-16923447,false,2002-01-23,2022-07-14
l-16923448,l-16923448,l-16923448,448,EmailAddress-16923448,true,2016-03-25,2012-12-03
l-16923449,l-16923449,l-16923449,449,EmailAddress-16923449,false,2001-02-19,2022-05-10
l-16923450,l-16923450,l-16923450,450,EmailAddress-16923450,true,2022-10-22,2020-04-13
l-16923451,l-16923451,l-16923451,451,EmailAddress-16923451,false,2011-03-20,2007-03-15
l-16923452,l-16923452,l-16923452,452,EmailAddress-16923452,true,2017-06-02,2003-10-30
l-16923453,l-16923453,l-16923453,453,EmailAddress-16923453,false,2012-08-05,2014-07-26
l-16923454,l-16923454,l-16923454,454,EmailAddress-16923454,true,2019-03-02,2019-01-10
l-16923455,l-16923455,l-16923455,455,EmailAddress-16923455,false,2023-06-18,2005-10-04
l-16923456,l-16923456,l-16923456,456,EmailAddress-16923456,true,2012-04-22,2005-09-21
l-16923457,l-16923457,l-16923457,457,EmailAddress-16923457,false,2013-05-14,2017-08-26
l-16923458,l-16923458,l-16923458,458,EmailAddress-16923458,true,2004-03-31,2010-07-25
l-16923459,l-16923459,l-16923459,459,EmailAddress-16923459,false,2004-03-08,2009-06-08
l-16923460,l-16923460,l-16923460,460,EmailAddress-16923460,true,2007-04-28,2004-04-09
l-16923461,l-16923461,l-16923461,461,EmailAddress-16923461,false,2000-04-27,2005-03-29
l-16923462,l-16923462,l-16923462,462,EmailAddress-16923462,true,2023-02-28,2007-09-27
l-16923463,l-16923463,l-16923463,463,EmailAddress-16923463,false,2020-09-26,2003-07-02
l-16923464,l-16923464,l-16923464,464,EmailAddress-16923464,true,2023-08-17,2010-02-04
l-16923465,l-16923465,l-16923465,465,EmailAddress-16923465,false,2010-04-12,2008-02-16
l-16923466,l-16923466,l-16923466,466,EmailAddress-16923466,true,2013-04-09,2023-01-20
l-16923467,l-16923467,l-16923467,467,EmailAddress-16923467,false,2003-01-28,2023-03-16
l-16923468,l-16923468,l-16923468,468,EmailAddress-16923468,true,2020-06-04,2000-11-19
l-16923469,l-16923469,l-16923469,469,EmailAddress-16923469,false,2016-08-14,2007-06-15
l-16923470,l-16923470,l-16923470,470,EmailAddress-16923470,true,2023-05-28,2019-07-02
l-16923471,l-16923471,l-16923471,471,EmailAddress-16923471,false,2019-11-01,2000-09-13
l-16923472,l-16923472,l-16923472,472,EmailAddress-16923472,true,2000-12-30,2014-04-10
l-16923473,l-16923473,l-16923473,473,EmailAddress-16923473,false,2022-04-25,2004-12-28
l-16923474,l-16923474,l-16923474,474,EmailAddress-16923474,true,2003-12-10,2001-04-14
l-16923475,l-16923475,l-16923475,475,EmailAddress-16923475,false,2009-09-07,2013-03-15
l-16923476,l-16923476,l-16923476,476,EmailAddress-16923476,true,2022-07-26,2010-12-09
l-16923477,l-16923477,l-16923477,477,EmailAddress-16923477,false,2007-04-09,2007-11-18
